name,text size,data size,rodata size,ovl size,bss size
ovl_0073F4D0,0x1B60,0x2E0,0x730,0x0,0x0
ovl_00741EA0,0xE0,0x0,0x0,0x0,0x0
ovl_00741FB0,0x1840,0xA0,0xC0,0x0,0xF0
ovl_00743B70,0x130,0x0,0x0,0x0,0x0
ovl_00743CD0,0x310,0x0,0x0,0x0,0x0
ovl_00744020,0xEE0,0x2A10,0x30,0x0,0x20170
ovl_00747AA0,0xAD0,0x70,0x10,0x0,0x0
ovl_007486E0,0xA00,0x100,0x20,0x0,0x0
ovl_007492E0,0xBD30,0x1C4F0,0x400,0x0,0x6370
ovl_007745B0,0x3C0,0x0,0x10,0x0,0x0
ovl_submenu,0x2210,0xCA0,0x40,0x0,0x10730
ovl_00777AE0,0x9610,0xBD0,0xA0,0x0,0x120
ovl_007829E0,0x22A0,0x110,0x50,0x0,0x300
ovl_00784FC0,0x6B0,0x10,0x10,0x0,0x130
ovl_00785700,0x3D30,0x3F0,0xA0,0x0,0x5E0
ovl_00789B60,0x970,0x20,0x0,0x0,0x10
ovl_0078A560,0x830,0x20,0x10,0x0,0x0
ovl_0078AE30,0x1020,0x90,0x0,0x0,0x20
ovl_0078BFB0,0x9E0,0x120,0x20,0x0,0x230
ovl_0078CB80,0x33C0,0x5A0,0x50,0x0,0x30
ovl_007908A0,0x1910,0x430,0x30,0x0,0xC0
ovl_00792700,0x17B0,0x380,0x10,0x0,0x1A0
ovl_00794380,0xE20,0xF0,0x0,0x0,0x30
ovl_00795350,0x2110,0x3E0,0x30,0x0,0x3F80
ovl_00797A50,0x1970,0x70,0x20,0x0,0x80
ovl_00799580,0xB50,0x100,0x10,0x0,0x10
ovl_0079A290,0x890,0x4B0,0x0,0x0,0x10
ovl_0079B120,0xD70,0x70,0x10,0x0,0x30
ovl_0079C020,0x1650,0x220,0x20,0x0,0x30
ovl_0079DA50,0x8E0,0x40,0x0,0x0,0x10
ovl_0079E430,0x1270,0xC0,0x10,0x0,0x6D80
ovl_0079F810,0x1300,0x420,0x10,0x0,0x10
ovl_007A10E0,0x16B0,0x90,0x0,0x0,0x170
ovl_007A28F0,0x36E0,0x61C0,0x70,0x0,0x3120
ovl_player_actor,0x2AF00,0x2510,0x370,0x0,0x0
ovl_007DE050,0xFA0,0x20,0x60,0x0,0x0
ovl_007DF180,0x1500,0xD0,0x30,0x0,0x0
ovl_007E08D0,0xEC0,0x20,0x40,0x0,0x0
ovl_007E18F0,0x9D0,0xA0,0x20,0x0,0x0
ovl_007E2440,0xBC0,0xB0,0x10,0x0,0x0
ovl_007E3170,0x740,0x20,0x20,0x0,0x0
ovl_007E3990,0x680,0x20,0x40,0x0,0x0
ovl_007E4130,0xB40,0xA0,0x20,0x0,0x0
ovl_007E4DF0,0x650,0x140,0x30,0x0,0x20
ovl_007E5640,0x1C0,0x40,0x10,0x0,0x0
ovl_007E5880,0x7AF0,0x1D90,0xF0,0x0,0x490
