File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,1AE90,1060,0,19E30,N,,,,,,
dmadata,1AE90,21060,1AE90,0,61D0,N,,,,,,
Audiobank,21060,47450,21060,0,263F0,N,,,,,,
Audioseq,47450,988D0,47450,0,51480,N,,,,,,
Audiotable,988D0,5E1040,988D0,0,548770,N,,,,,,
kanji,5E1040,65D340,5E1040,0,7C300,N,,,,,,
link_animetion,65E000,966800,65D340,0,308800,N,,,,,object,
icon_item_static_old,967000,9FCEC0,FFFFFFFF,FFFFFFFF,95EC0,Y,,,,,,
icon_item_24_static_old,9FD000,A04700,FFFFFFFF,FFFFFFFF,7700,Y,,,,,,
icon_item_field_static,A05000,A19AF0,965B40,96FE60,14AF0,Y,,,,,,
icon_item_dungeon_static,A1A000,A1EB80,96FE60,971200,4B80,Y,,,,,,
icon_item_gameover_static,A1F000,A22300,971200,972900,3300,Y,,,,,,
icon_item_jpn_static,A23000,A2AA00,972900,975DE0,7A00,Y,,,,,,
icon_item_vtx_static,A2B000,A2B2E0,975DE0,975ED0,2E0,Y,,,,,,
map_i_static,A2C000,A2D310,975ED0,0,1310,N,,,,,,
map_grand_static,A2D310,A36660,9771E0,0,9350,N,,,,,,
item_name_static,A36660,A442F0,980530,0,DC90,N,,,,,,
map_name_static,A442F0,A45C10,98E1C0,0,1920,N,,,,,,
icon_item_static_test,A45C10,A8AEC0,98FAE0,0,452B0,N,,,,,,
icon_item_24_static_test,A8AEC0,A8F780,9D4D90,0,48C0,N,,,,,,
schedule_dma_static_old,A8F780,A9A9A0,FFFFFFFF,FFFFFFFF,B220,Y,,,,,,
schedule_dma_static_test,A9B000,AA1A10,9D9650,0,6A10,N,,,,,,
schedule_static,AA1A10,AA80E0,9E0060,9E22C0,66D0,Y,,,,,,
story_static,AA9000,ACEC00,9E22C0,9FD760,25C00,Y,,,,,,
do_action_static,ACF000,AD2F00,9FD760,0,3F00,N,,,,,,
message_static,AD3000,AD8180,A01660,0,5180,N,,,,,,
message_texture_static,AD9000,ADA200,A067E0,0,1200,N,,,,,,
nes_font_static,ADB000,ADFE00,A079E0,0,4E00,N,,,,,,
message_data_static,AE0000,B49AE0,A0C7E0,0,69AE0,N,,,,,,
staff_message_data_static,B4A000,B4AE60,A762C0,0,E60,N,,,,,,
code,B4B000,C86D30,A77120,B338F0,13BD30,Y,,,,,,
ovl_title,C86D30,C875B0,B338F0,B33F50,880,Y,80800000,80800880,880,0,gamestate,2
ovl_select,C875B0,C8AA90,B33F50,B35E90,34E0,Y,80800880,80803D60,34E0,0,gamestate,1
ovl_opening,C8AA90,C8ACB0,B35E90,B36070,220,Y,80803D60,80803F80,220,0,gamestate,4
ovl_file_choose,C8ACB0,C9B990,B36070,B3F840,10CE0,Y,80803F80,80814C90,10D10,30,gamestate,5
ovl_daytelop,C9B990,C9CB80,B3F840,B3FF90,11F0,Y,80814C90,80815E80,11F0,0,gamestate,6
