offset,vram,.text
0,80080060,boot_main
100,80080160,idle
5B0,80080610,viconfig
790,800807F0,z_std_dma
E40,80080EA0,yaz0
1260,800812C0,file_001260
12D0,80081330,irqmgr
18A0,80081900,CIC6105
19A0,80081A00,syncprintf
1A00,80081A60,fault
49C0,80084A20,boot_80084940
4A20,80084A80,file_004A20
4DA0,80084E00,padutils
4F90,80084FF0,stackcheck
51E0,80085240,gfxprint
5F50,80085FB0,mtxuty-cvt
60C0,80086120,file_0060C0
6190,800861F0,assert
61F0,80086250,boot_800862E0
6530,80086590,padsetup
6670,800866D0,boot_80086760
6B80,80086BE0,fp
6CE0,80086D40,system_malloc
6EB0,80086F10,rand
7070,800870D0,__osMalloc
7E20,80087E80,sprintf
7EF0,80087F50,printutils
7F50,80087FB0,sleep
80F0,80088150,setcause
8100,80088160,sendmesg
8250,800882B0,pfsfreeblocks
83F0,80088450,viextend
8400,80088460,stopthread
84C0,80088520,recvmesg
8600,80088660,setintmask
86A0,80088700,getintmask
8700,80088760,voicesetword
8890,800888F0,[PADDING]
88A0,80088900,guScale
8950,800889B0,sinf
8B10,80088B70,sins
8B80,80088BE0,sptask
8E40,80088EA0,ll
9100,80089160,exceptasm
9A30,80089A90,thread
9A70,80089AD0,destroythread
9B80,80089BE0,voicecheckresult
9C30,80089C90,bzero
9CD0,80089D30,motor
A0A0,8008A100,siacs
A160,8008A1C0,controller
A440,8008A4A0,createthread
A590,8008A5F0,contreaddata
A770,8008A7D0,voicegetreaddata
AB40,8008ABA0,virtualtophysical
ABC0,8008AC20,getsr
ABD0,8008AC30,setsr
ABE0,8008AC40,writebackdcache
AC60,8008ACC0,initialize
AFB0,8008B010,[PADDING]
B010,8008B070,vigetnextframebuf
B050,8008B0B0,perspective
B2E0,8008B340,sprawdma
B370,8008B3D0,sirawdma
B420,8008B480,epilinkhandle
B470,8008B4D0,viblack
B4E0,8008B540,sirawread
B530,8008B590,getthreadid
B550,8008B5B0,sptaskyield
B570,8008B5D0,pfsreadwritefile
B9C0,8008BA20,pfsgetstatus
BBF0,8008BC50,[PADDING]
BC00,8008BC60,guMtxIdentF
BC50,8008BCB0,visetmode
BCB0,8008BD10,getconfig
BCC0,8008BD20,setconfig
BCD0,8008BD30,lookat
BFF0,8008C050,pfsallocatefile
C470,8008C4D0,stoptimer
C560,8008C5C0,probetlb
C620,8008C680,pimgr
C790,8008C7F0,piacs
C850,8008C8B0,[PADDING]
C860,8008C8C0,devmgr
CC70,8008CCD0,pirawdma
CD40,8008CDA0,contpfs
D8C0,8008D920,getcount
D8D0,8008D930,[PADDING]
D8E0,8008D940,guMtxL2F
