File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,1AE90,1060,0,19E30,N,,,,,,
dmadata,1AE90,21030,1AE90,0,61A0,N,,,,,,
Audiobank,21030,47420,21030,0,263F0,N,,,,,,
Audioseq,47420,988A0,47420,0,51480,N,,,,,,
Audiotable,988A0,5E1010,988A0,0,548770,N,,,,,,
kanji,5E1010,65D310,5E1010,0,7C300,N,,,,,,
link_animetion,65E000,966800,65D310,0,308800,N,,,,,object,
icon_item_static_old,967000,9FCEC0,FFFFFFFF,FFFFFFFF,95EC0,Y,,,,,,
icon_item_24_static_old,9FD000,A04700,FFFFFFFF,FFFFFFFF,7700,Y,,,,,,
icon_item_field_static,A05000,A19AF0,965B10,96FE30,14AF0,Y,,,,,,
icon_item_dungeon_static,A1A000,A1EB80,96FE30,9711D0,4B80,Y,,,,,,
icon_item_gameover_static,A1F000,A22300,9711D0,9728D0,3300,Y,,,,,,
icon_item_jpn_static,A23000,A2A780,9728D0,975A90,7780,Y,,,,,,
icon_item_vtx_static,A2B000,A2B2E0,975A90,975B80,2E0,Y,,,,,,
map_i_static,A2C000,A2D310,975B80,0,1310,N,,,,,,
map_grand_static,A2D310,A36660,976E90,0,9350,N,,,,,,
item_name_static,A36660,A45B30,9801E0,0,F4D0,N,,,,,,
map_name_static,A45B30,A47720,98F6B0,0,1BF0,N,,,,,,
icon_item_static_test,A47720,A8C9D0,9912A0,0,452B0,N,,,,,,
icon_item_24_static_test,A8C9D0,A91290,9D6550,0,48C0,N,,,,,,
schedule_dma_static_old,A91290,A9C4B0,FFFFFFFF,FFFFFFFF,B220,Y,,,,,,
schedule_dma_static_test,A9D000,AA3A10,9DAE10,0,6A10,N,,,,,,
schedule_static,AA3A10,AA7080,9E1820,9E2B50,3670,Y,,,,,,
story_static,AA8000,ACDC00,9E2B50,9FDFF0,25C00,Y,,,,,,
do_action_static,ACE000,AD1F00,9FDFF0,0,3F00,N,,,,,,
message_static,AD2000,AD7180,A01EF0,0,5180,N,,,,,,
message_texture_static,AD8000,AD9200,A07070,0,1200,N,,,,,,
nes_font_static,ADA000,ADEE00,A08270,0,4E00,N,,,,,,
message_data_static,ADF000,B43660,A0D070,0,64660,N,,,,,,
staff_message_data_static,B44000,B44CE0,A716D0,0,CE0,N,,,,,,
code,B45000,C80D40,A723B0,B2EB00,13BD40,Y,,,,,,
ovl_title,C80D40,C815C0,B2EB00,B2F160,880,Y,80800000,80800880,880,0,gamestate,2
ovl_select,C815C0,C84AA0,B2F160,B310A0,34E0,Y,80800880,80803D60,34E0,0,gamestate,1
ovl_opening,C84AA0,C84CC0,B310A0,B31280,220,Y,80803D60,80803F80,220,0,gamestate,4
ovl_file_choose,C84CC0,C96ED0,B31280,B3B620,12210,Y,80803F80,808161B0,12230,20,gamestate,5
ovl_daytelop,C96ED0,C980C0,B3B620,B3BD70,11F0,Y,808161B0,808173A0,11F0,0,gamestate,6
