80080060,bootproc
80080160,Idle_ClearMemory
80080190,Idle_InitFramebuffer
800801AC,Idle_InitScreen
8008020C,Idle_InitMemory
80080270,Idle_InitCodeAndMemory
80080320,Main_ThreadEntry
800803C0,Idle_InitVideo
80080548,Idle_ThreadEntry
80080C6C,DmaMgr_SendRequestImpl
80080E68,DmaMgr_Stop
80081834,IrqMgr_Init
80081AD0,Fault_AddClient
80081BB4,Fault_RemoveClient
80084FF0,StackCheck_Init
80088520,osRecvMesg
80089C90,bzero
8008A4A0,osCreateThread
8008B4D0,osViBlack
8008F8A0,osCreateMesgQueue
80090260,osSetThreadPri
800904C0,osViSwapBuffer
80095900,osCreateViManager
80095E10,osStartThread
800B2854,EffectSsGRipple_Spawn
800B3E80,Actor_PrintLists
800B5BC4,func_800B5814
800B75DC,Actor_SpawnHorse
800B7C68,Actor_UpdateBgCheckInfo
800B81B4,Hilite_Draw
800B8390,Hilite_DrawOpa
800B83C8,Hilite_DrawXlu
800B869C,func_800B82EC
800B9520,Actor_InitContext
800BAD64,Actor_CleanupContext
800BB1C4,Actor_SpawnAsChildAndCutscene
800BB9B4,func_800BB604
800BBC9C,func_800BB8EC
800C5334,BgCheck_EntityCheckCeiling
800FF5EC,Math_StepToF
8016ACDC,Play_GetOriginalSceneId
80173E80,Main
80180A2C,Matrix_MtxFCopy
8019DBB8,play_sound
