File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,1AE90,1060,0,19E30,N,,,,,,
dmadata,1AE90,211C0,1AE90,0,6330,N,,,,,,
Audiobank,211C0,475B0,211C0,0,263F0,N,,,,,,
Audioseq,475B0,98A30,475B0,0,51480,N,,,,,,
Audiotable,98A30,5E11A0,98A30,0,548770,N,,,,,,
link_animetion,5E11A0,8E99A0,5E11A0,0,308800,N,,,,,object,
icon_item_static_old,8EA000,97FEC0,FFFFFFFF,FFFFFFFF,95EC0,Y,,,,,,
icon_item_24_static_old,980000,987700,FFFFFFFF,FFFFFFFF,7700,Y,,,,,,
icon_item_field_static,988000,99CAF0,8E99A0,8F3CC0,14AF0,Y,,,,,,
icon_item_dungeon_static,99D000,9A1B80,8F3CC0,8F5060,4B80,Y,,,,,,
icon_item_gameover_static,9A2000,9A5300,8F5060,8F6760,3300,Y,,,,,,
nes_map_name_static,9A6000,9ADA00,8F6760,8F9C40,7A00,Y,,,,,,
ger_map_name_static,9AE000,9B5D00,8F9C40,8FD1C0,7D00,Y,,,,,,
fra_map_name_static,9B6000,9BDC00,8FD1C0,900920,7C00,Y,,,,,,
esp_map_name_static,9BE000,9C5C00,900920,903EF0,7C00,Y,,,,,,
icon_item_vtx_static,9C6000,9C62E0,903EF0,903FE0,2E0,Y,,,,,,
map_i_static,9C7000,9C8310,903FE0,0,1310,N,,,,,,
map_grand_static,9C8310,9D1660,9052F0,0,9350,N,,,,,,
nes_item_name_static,9D1660,9DF2F0,90E640,0,DC90,N,,,,,,
ger_item_name_static,9DF2F0,9EBD40,91C2D0,0,CA50,N,,,,,,
fra_item_name_static,9EBD40,9F94E0,928D20,0,D7A0,N,,,,,,
esp_item_name_static,9F94E0,A06F20,9364C0,0,DA40,N,,,,,,
DBG_00A02F20,A06F20,A08840,943F00,0,1920,N,,,,,,
DBG_00A04840,A08840,A0A330,945820,0,1AF0,N,,,,,,
DBG_00A06330,A0A330,A0C200,947310,0,1ED0,N,,,,,,
DBG_00A08200,A0C200,A0DE70,9491E0,0,1C70,N,,,,,,
icon_item_static,A0DE70,A53120,94AE50,0,452B0,N,,,,,,
icon_item_24_static,A53120,A579E0,990100,0,48C0,N,,,,,,
schedule_dma_static_old,A579E0,A62C00,FFFFFFFF,FFFFFFFF,B220,Y,,,,,,
schedule_dma_static,A63000,A69A10,9949C0,0,6A10,N,,,,,,
schedule_static,A69A10,A700E0,99B3D0,99D630,66D0,Y,,,,,,
story_static,A71000,A96C00,99D630,9B8AD0,25C00,Y,,,,,,
nes_do_action_static,A97000,A9AF00,9B8AD0,0,3F00,N,,,,,,
ger_do_action_static,A9B000,A9EF00,9BC9D0,0,3F00,N,,,,,,
fra_do_action_static,A9F000,AA2F00,9C08D0,0,3F00,N,,,,,,
esp_do_action_static,AA3000,AA6F00,9C47D0,0,3F00,N,,,,,,
message_static,AA7000,AAC180,9C86D0,0,5180,N,,,,,,
message_texture_static,AAD000,AAE200,9CD850,0,1200,N,,,,,,
