File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,1A500,1060,0,194A0,N,,,,,,
dmadata,1A500,20700,1A500,0,6200,N,,,,,,
Audiobank,20700,46AF0,20700,0,263F0,N,,,,,,
Audioseq,46AF0,97F70,46AF0,0,51480,N,,,,,,
Audiotable,97F70,5E06E0,97F70,0,548770,N,,,,,,
kanji,5E06E0,65C9E0,5E06E0,0,7C300,N,,,,,,
link_animetion,65D000,956DA0,65C9E0,0,2F9DA0,N,,,,,object,
icon_item_static_old,957000,9ECEC0,FFFFFFFF,FFFFFFFF,95EC0,Y,,,,,,
icon_item_24_static_old,9ED000,9F4700,FFFFFFFF,FFFFFFFF,7700,Y,,,,,,
icon_item_field_static,9F5000,A09AF0,956780,960AA0,14AF0,Y,,,,,,
icon_item_dungeon_static,A0A000,A0EB80,960AA0,961E40,4B80,Y,,,,,,
icon_item_gameover_static,A0F000,A12300,961E40,963540,3300,Y,,,,,,
icon_item_jpn_static,A13000,A1BA00,963540,967260,8A00,Y,,,,,,
icon_item_vtx_static,A1C000,A1C2E0,967260,967350,2E0,Y,,,,,,
map_i_static,A1D000,A1E310,967350,0,1310,N,,,,,,
map_grand_static,A1E310,A27660,968660,0,9350,N,,,,,,
item_name_static,A27660,A352F0,9719B0,0,DC90,N,,,,,,
map_name_static,A352F0,A36C10,97F640,0,1920,N,,,,,,
icon_item_static_test,A36C10,A7BEE0,980F60,0,452D0,N,,,,,,
icon_item_24_static_test,A7BEE0,A807A0,9C6230,0,48C0,N,,,,,,
schedule_dma_static_old,A807A0,A8B9C0,FFFFFFFF,FFFFFFFF,B220,Y,,,,,,
schedule_dma_static_test,A8C000,A92A10,9CAAF0,0,6A10,N,,,,,,
schedule_static,A92A10,A990E0,9D1500,9D3760,66D0,Y,,,,,,
story_static,A9A000,ABFC00,9D3760,9EEC00,25C00,Y,,,,,,
do_action_static,AC0000,AC3F00,9EEC00,0,3F00,N,,,,,,
message_static,AC4000,AC9180,9F2B00,0,5180,N,,,,,,
message_texture_static,ACA000,ACB200,9F7C80,0,1200,N,,,,,,
nes_font_static,ACC000,AD0E00,9F8E80,0,4E00,N,,,,,,
message_data_static,AD1000,B3A9F0,9FDC80,0,699F0,N,,,,,,
staff_message_data_static,B3B000,B3BE60,A67670,0,E60,N,,,,,,
code,B3C000,C7A4E0,A684D0,B26590,13E4E0,Y,,,,,,
ovl_title,C7A4E0,C7ADF0,B26590,B26C80,910,Y,80800000,80800910,910,0,gamestate,2
ovl_select,C7ADF0,C7E2D0,B26C80,B28BC0,34E0,Y,80800910,80803DF0,34E0,0,gamestate,1
ovl_opening,C7E2D0,C7E4F0,B28BC0,B28DA0,220,Y,80803DF0,80804010,220,0,gamestate,4
ovl_file_choose,C7E4F0,C8F360,B28DA0,B326E0,10E70,Y,80804010,80814EB0,10EA0,30,gamestate,5
ovl_daytelop,C8F360,C90550,B326E0,B32E30,11F0,Y,80814EB0,808160A0,11F0,0,gamestate,6
ovl_kaleido_scope,C90550,CA7F00,B32E30,B41010,179B0,Y,808160A0,8082DA90,179F0,40,kaleido,0
ovl_Player_Actor,CA7F00,CDCF60,B41010,B64BF0,35060,Y,8082DA90,80862B70,350E0,80,kaleido,1
ovl_En_Test,CDCF60,CDDC60,B64BF0,B65680,D00,Y,80862B70,80863870,D00,0,actor,1
ovl_En_GirlA,CDDC60,CDF760,B65680,B66340,1B00,Y,80863870,80865370,1B00,0,actor,2
ovl_En_Part,CDF760,CDFD80,B66340,B66890,620,Y,80865370,80865990,620,0,actor,3
