offset,vram,.text
0,80080060,boot_main
F0,80080150,idle
580,800805E0,viconfig
730,80080790,z_std_dma
DD0,80080E30,yaz0
11F0,80081250,irqmgr
17C0,80081820,CIC6105
18C0,80081920,syncprintf
1920,80081980,fault
3E50,80083EB0,fault_drawer
48E0,80084940,boot_80084940
4940,800849A0,loadfragment
4D50,80084DB0,loadfragment2
50D0,80085130,padutils
52C0,80085320,stackcheck
5510,80085570,gfxprint
60B0,80086110,mtxuty-cvt
6220,80086280,assert
6280,800862E0,boot_800862E0
65C0,80086620,padsetup
6700,80086760,boot_80086760
6C10,80086C70,fp
6D70,80086DD0,system_malloc
6F40,80086FA0,rand
7100,80087160,__osMalloc
77D0,80087830,sprintf
78A0,80087900,printutils
7900,80087960,sleep
7AA0,80087B00,setcause
7AB0,80087B10,sendmesg
7C00,80087C60,pfsfreeblocks
7DA0,80087E00,viextend
7DB0,80087E10,stopthread
7E70,80087ED0,recvmesg
7FB0,80088010,setintmask
8050,800880B0,getintmask
80B0,80088110,voicesetword
8240,800882A0,guScale
82F0,80088350,sinf
84B0,80088510,sins
8520,80088580,sptask
87E0,80088840,ll
8AA0,80088B00,exceptasm
93D0,80089430,thread
9410,80089470,destroythread
9520,80089580,voicecheckresult
95D0,80089630,bzero
9670,800896D0,motor
9A40,80089AA0,siacs
9B00,80089B60,controller
9DE0,80089E40,createthread
9F30,80089F90,contreaddata
A110,8008A170,voicegetreaddata
A4E0,8008A540,virtualtophysical
A560,8008A5C0,getsr
A570,8008A5D0,setsr
A580,8008A5E0,writebackdcache
A600,8008A660,initialize
A950,8008A9B0,[PADDING]
A9B0,8008AA10,vigetnextframebuf
A9F0,8008AA50,perspective
AC80,8008ACE0,sprawdma
AD10,8008AD70,sirawdma
ADC0,8008AE20,epilinkhandle
AE10,8008AE70,viblack
AE80,8008AEE0,sirawread
AED0,8008AF30,getthreadid
AEF0,8008AF50,sptaskyield
AF10,8008AF70,pfsreadwritefile
B360,8008B3C0,pfsgetstatus
B590,8008B5F0,[PADDING]
B5A0,8008B600,guMtxIdentF
B5F0,8008B650,visetmode
B650,8008B6B0,getconfig
B660,8008B6C0,setconfig
B670,8008B6D0,lookat
B990,8008B9F0,pfsallocatefile
BE10,8008BE70,stoptimer
BF00,8008BF60,probetlb
BFC0,8008C020,pimgr
C130,8008C190,piacs
C1F0,8008C250,[PADDING]
C200,8008C260,devmgr
C610,8008C670,pirawdma
C6E0,8008C740,contpfs
D260,8008D2C0,getcount
D270,8008D2D0,[PADDING]
D280,8008D2E0,guMtxL2F
D2F0,8008D350,getmemsize
D410,8008D470,pfssearchfile
