offset,vram,.text
0,800A5AC0,z_en_a_keep
240,800A5D00,z_en_item00
2730,800A81F0,z_eff_blure
5B10,800AB5D0,z_eff_shield_particle
7130,800ACBF0,z_eff_spark
87E0,800AE2A0,z_eff_ss_dead
8E70,800AE930,z_eff_tire_mark
9C50,800AF710,z_effect
A590,800B0050,z_effect_soft_sprite
B050,800B0B10,z_effect_soft_sprite_old_init
D810,800B32D0,flg_set
DDC0,800B3880,z_DLF
E010,800B3AD0,z_actor
19EE0,800BF9A0,z_actor_dlftbls
1A0C0,800BFB80,z_bgcheck
25010,800CAAD0,z_bg_collect
25350,800CAE10,z_bg_item
25540,800CB000,code_800CB000
25750,800CB210,z_camera
3A8E0,800E03A0,z_collision_btltbls
3A950,800E0410,z_collision_check
433E0,800E8EA0,code_800E8EA0
438A0,800E9360,z_common_data
43920,800E93E0,z_debug
439B0,800E9470,z_debug_display
441D0,800E9C90,z_debug_mode
445A0,800EA060,z_demo
48860,800EE320,z_draw
4A3A0,800EFE60,z_eff_footmark
4A8D0,800F0390,code_800F0390
4AB00,800F05C0,z_elf_message
4AD00,800F07C0,code_800F07C0
4B790,800F1250,z_face_reaction
4B810,800F12D0,z_env_flags
4B9A0,800F1460,z_eventmgr
4C920,800F23E0,z_fcurve_data
4CB60,800F2620,z_fcurve_data_skelanime
4D270,800F2D30,z_fireobj
4DE80,800F3940,z_horse
4E7E0,800F42A0,z_jpeg
4EF50,800F4A10,z_kaleido_setup
4F480,800F4F40,z_kanfont
4F5D0,800F5090,z_kankyo
591D0,800FEC90,z_lib
5AB00,801005C0,z_lifemeter
5BEE0,801019A0,z_lights
5D1A0,80102C60,z_malloc
5D380,80102E40,z_map_disp
639E0,801094A0,z_map_data
64540,8010A000,z_map_exp
64CA0,8010A760,z_msgevent
66600,8010C0C0,z_nmi_buff
666F0,8010C1B0,code_8010C1B0
66770,8010C230,z_olib
670C0,8010CB80,z_parameter
7CA20,801224E0,z_path
7CBA0,80122660,z_pause
7CC20,801226E0,z_player_lib
84430,80129EF0,z_prenmi
845C0,8012A080,z_quake
86190,8012BC50,z_rcp
87A50,8012D510,z_room
891C0,8012EC80,code_8012EC80
89820,8012F2E0,z_scene
8AD00,801307C0,z_scene_proc
8C800,801322C0,z_scene_table
8C910,801323D0,code_801323D0
8D620,801330E0,z_skelanime
91EB0,80137970,z_skin
92950,80138410,z_skin_awb
930E0,80138BA0,z_skin_matrix
94780,8013A240,z_snap
94D00,8013A7C0,z_sub_s
99150,8013EC10,code_8013EC10
993A0,8013EE60,z_view
9A7A0,80140260,z_vimode
9B3C0,80140E80,code_80140E80
9BDF0,801418B0,z_vismono
9C600,801420C0,code_801420C0
9C980,80142440,z_vr_box
9DAE0,801435A0,z_vr_box_draw
9DF50,80143A10,z_sram_NES
A1A60,80147520,z_message
B2E10,801588D0,z_message_nes
B8C90,8015E750,z_message_staff
BAFD0,80160A90,z_player_call
BB140,80160C00,z_shrink_window
BB6C0,80161180,db_camera
BDC40,80163700,z_kaleido_manager
BDEE0,801639A0,z_kaleido_scope_call
BE1D0,80163C90,z_fbdemo_dlftbls
BE300,80163DC0,z_fbdemo
BED10,801647D0,z_fbdemo_fade
BF030,80164AF0,z_fbdemo_circle
BF6F0,801651B0,z_overlay
BF9A0,80165460,z_play
C5150,8016AC10,z_play_hireso
CA230,8016FCF0,PreRender
CCD30,801727F0,TwoHeadGfxArena
CCF40,80172A00,TwoHeadArena
CD100,80172BC0,code_80172BC0
CD170,80172C30,audioMgr
CD670,80173130,title_setup
CD8A0,80173360,game
CE130,80173BF0,gamealloc
CE270,80173D30,graph
CEF80,80174A40,graphalloc
CEFE0,80174AA0,listalloc
CF130,80174BF0,main
CF450,80174F10,padmgr
D07C0,80176280,sched
D18D0,80177390,speed_meter
D2C90,80178750,sys_cmpdma
D3470,80178F30,sys_initial_check
D3840,80179300,sys_math
D3B30,801795F0,sys_math3d
DA3F0,8017FEB0,sys_math_atan
DA6A0,80180160,sys_matrix
DD1D0,80182C90,sys_ucode
DD220,80182CE0,code_80182CE0
DD5B0,80183070,code_80183070
DD5E0,801830A0,c_keyframe
DFBA0,80185660,sys_slowly
DFD00,801857C0,sys_flashrom
E04D0,80185F90,code_80185F90
E0FB0,80186A70,osFlash
E1D10,801877D0,audio_synthesis
E5630,8018B0F0,audio_heap
E90A0,8018EB60,audio_load
ED120,80192BE0,code_80192BE0
EEC50,80194710,code_80194710
EEE70,80194930,audio_playback
F0F40,80196A00,audio_effects
F1A10,801974D0,audio_seqplayer
F5380,8019AE40,code_8019AE40
F5400,8019AEC0,code_8019AEC0
F5440,8019AF00,code_8019AF00
FF730,801A51F0,code_801A51F0
100110,801A5BD0,code_801A5BD0
102050,801A7B10,code_801A7B10
104560,801AA020,code_801AA020
104B50,801AA610,z_game_over
104FE0,801AAAA0,z_construct
