80080060,bootproc
80080150,Idle_ClearMemory
80080180,Idle_InitFramebuffer
8008019C,Idle_InitScreen
800801EC,Idle_InitMemory
80080250,Idle_InitCodeAndMemory
80080300,Main_ThreadEntry
8008038C,Idle_InitVideo
80080514,Idle_ThreadEntry
800805E0,ViConfig_UpdateVi
80080748,ViConfig_UpdateBlack
80080790,DmaMgr_DMARomToRam
800808D4,DmaMgr_DmaCallback0
800808F4,DmaMgr_FindDmaEntry
80080950,DmaMgr_TranslateVromToRom
800809BC,DmaMgr_FindDmaIndex
800809F4,func_800809F4
80080A08,DmaMgr_ProcessMsg
80080B84,DmaMgr_ThreadEntry
80080C04,DmaMgr_SendRequestImpl
80080C90,DmaMgr_SendRequest0
80080D0C,DmaMgr_Start
80080E00,DmaMgr_Stop
80080E30,Yaz0_FirstDMA
80080ED0,Yaz0_NextDMA
80080FF0,Yaz0_DecompressImpl
80081178,Yaz0_Decompress
80081250,IrqMgr_AddClient
800812DC,IrqMgr_RemoveClient
80081368,IrqMgr_SendMesgForClient
800813B8,IrqMgr_JamMesgForClient
8008141C,IrqMgr_HandlePreNMI
800814B4,IrqMgr_CheckStack
800814D4,IrqMgr_HandlePRENMI450
80081550,IrqMgr_HandlePRENMI480
800815A8,IrqMgr_HandlePRENMI500
800815CC,IrqMgr_HandleRetrace
80081684,IrqMgr_ThreadEntry
80081754,IrqMgr_Init
80081820,CIC6105_Nop80081820
80081828,CIC6105_Nop80081828
80081830,CIC6105_PrintRomInfo
8008189C,CIC6105_AddRomInfoFaultPage
800818D0,CIC6105_RemoveRomInfoFaultPage
800818F4,func_800818F4
80081920,__osSyncVPrintf
8008193C,osSyncPrintf
80081958,rmonPrintf
80081980,Fault_SleepImpl
800819F0,Fault_AddClient
80081AD4,Fault_RemoveClient
80081BCC,Fault_AddAddrConvClient
80081CA4,Fault_RemoveAddrConvClient
80081D9C,Fault_ConvertAddress
80081E2C,Fault_Sleep
80081E68,Fault_PadCallback
80081EA4,Fault_UpdatePadImpl
80081EF0,Fault_WaitForInputImpl
8008203C,Fault_WaitForInput
80082078,Fault_DrawRec
800820D8,Fault_FillScreenBlack
8008212C,Fault_FillScreenRed
80082180,Fault_DrawCornerRec
800821D4,Fault_PrintFReg
80082280,osSyncPrintfFReg
80082330,Fault_PrintFPCR
800823D4,osSyncPrintfFPCR
8008246C,Fault_PrintThreadContext
800827BC,osSyncPrintfThreadContext
80082AB8,Fault_FindFaultedThread
80082B40,Fault_Wait5Seconds
80082BD0,Fault_WaitForButtonCombo
80082C6C,Fault_DrawMemDumpPage
80082DD8,Fault_DrawMemDump
80082FD0,Fault_FindNextStackCall
80083144,Fault_DrawStackTrace
800832D4,osSyncPrintfStackTrace
80083450,Fault_ResumeThread
800834CC,Fault_CommitFB
8008358C,Fault_ProcessClients
80083670,Fault_SetOptionsFromController3
800837E4,Fault_SetOptions
80083828,Fault_ThreadEntry
80083B70,Fault_SetFB
80083BC4,Fault_Start
80083CF8,Fault_HangupFaultClient
80083DF4,Fault_AddHungupAndCrashImpl
80083E4C,Fault_AddHungupAndCrash
80083EB0,FaultDrawer_SetOsSyncPrintfEnabled
80083EC4,FaultDrawer_DrawRecImpl
80083FE4,FaultDrawer_DrawChar
80084160,FaultDrawer_ColorToPrintColor
80084210,FaultDrawer_UpdatePrintColor
800842BC,FaultDrawer_SetForeColor
80084308,FaultDrawer_SetBackColor
80084354,FaultDrawer_SetFontColor
8008439C,FaultDrawer_SetCharPad
800843D4,FaultDrawer_SetCursor
800844D8,FaultDrawer_FillScreen
80084568,FaultDrawer_FormatStringFunc
8008477C,FaultDrawer_VPrintf
800847CC,FaultDrawer_Printf
8008481C,FaultDrawer_DrawText
8008486C,FaultDrawer_SetDrawerFB
800848A4,FaultDrawer_SetInputCallback
800848B8,FaultDrawer_Init
80084940,func_80084940
80084968,func_80084968
800849A0,Load_Relocate
80084C0C,Load_LoadOverlay
80084CD0,Load_AllocateAndLoad
80084DB0,Load2_Relocate
8008501C,Load2_LoadOverlay
800850C8,Overlay_AllocateAndLoad
80085130,PadUtils_Init
80085150,func_80085150
80085158,PadUtils_ResetPressRel
80085164,PadUtils_CheckCurExact
8008517C,PadUtils_CheckCur
80085198,PadUtils_CheckPressed
800851B4,PadUtils_CheckReleased
800851D0,PadUtils_GetCurButton
800851D8,PadUtils_GetPressButton
800851E0,PadUtils_GetCurX
800851E8,PadUtils_GetCurY
800851F0,PadUtils_SetRelXY
800851FC,PadUtils_GetRelXImpl
80085204,PadUtils_GetRelYImpl
8008520C,PadUtils_GetRelX
8008522C,PadUtils_GetRelY
8008524C,PadUtils_UpdateRelXY
80085320,StackCheck_Init
800853F8,StackCheck_Cleanup
80085468,StackCheck_GetState
800854E0,StackCheck_CheckAll
80085538,StackCheck_Check
80085570,GfxPrint_InitDlist
800859BC,GfxPrint_SetColor
80085A08,GfxPrint_SetPosPx
80085A2C,GfxPrint_SetPos
80085A54,GfxPrint_SetBasePosPx
80085A68,GfxPrint_PrintCharImpl
80085D74,GfxPrint_PrintChar
80085F30,GfxPrint_PrintStringWithSize
80085F8C,GfxPrint_PrintString
80085FE4,GfxPrint_Callback
80086010,GfxPrint_Init
80086064,GfxPrint_Destroy
8008606C,GfxPrint_Open
800860A0,GfxPrint_Close
800860B8,GfxPrint_VPrintf
800860D8,GfxPrint_Printf
80086110,MtxConv_F2L
80086258,MtxConv_L2F
80086280,__assert_retail
800862B4,func_800862B4
800862E0,SystemArena_MallocMin1
80086310,SystemArena_FreeNull
8008633C,func_8008633C
800863AC,func_800863AC
8008641C,func_8008641C
800864EC,func_800864EC
80086588,func_80086588
800865F8,SystemArena_Init
80086620,PadSetup_Init
80086760,func_80086760
80086794,func_80086794
800867B4,func_800867B4
800867D4,func_800867D4
800867F4,func_800867F4
80086814,func_80086814
80086834,func_80086834
80086880,func_80086880
800869A4,func_800869A4
80086AF0,func_80086AF0
80086B30,func_80086B30
80086C18,func_80086C18
80086C48,func_80086C48
80086C70,func_80086C70
80086C7C,func_80086C7C
80086C88,func_80086C88
80086C98,func_80086C98
80086CA8,func_80086CA8
80086CB4,func_80086CB4
80086CC0,func_80086CC0
80086CD0,func_80086CD0
80086CE0,func_80086CE0
80086CEC,func_80086CEC
80086CF8,func_80086CF8
80086D08,func_80086D08
80086D18,func_80086D18
80086D24,func_80086D24
80086D30,func_80086D30
80086D40,func_80086D40
80086D50,func_80086D50
80086D6C,func_80086D6C
80086D8C,func_80086D8C
80086DAC,func_80086DAC
80086DD0,SystemArena_Malloc
80086DF8,SystemArena_MallocR
80086E20,SystemArena_Realloc
80086E50,SystemArena_Free
80086E78,SystemArena_Calloc
80086ECC,SystemArena_GetSizes
80086F04,SystemArena_CheckArena
80086F28,SystemArena_InitArena
80086F58,SystemArena_Cleanup
80086F7C,SystemArena_IsInitialized
80086FA0,Rand_Next
80086FD0,Rand_Seed
80086FDC,Rand_ZeroOne
80087030,Rand_Centered
80087088,Rand_Seed_Variable
80087090,Rand_Next_Variable
800870B8,Rand_ZeroOne_Variable
80087104,Rand_Centered_Variable
80087160,ArenaImpl_LockInit
8008718C,ArenaImpl_Lock
800871B4,ArenaImpl_Unlock
800871DC,ArenaImpl_GetLastBlock
8008720C,__osMallocInit
8008725C,__osMallocAddHeap
800872FC,__osMallocCleanup
8008731C,__osMallocIsInitalized
80087324,__osMalloc
80087408,__osMallocR
800874EC,__osFree
800875E4,__osRealloc
80087714,__osGetSizes
800877C4,__osCheckArena
80087830,proutSprintf
80087854,vsprintf
800878A4,sprintf
80087900,PrintUtils_VPrintf
80087934,PrintUtils_Printf
80087960,Sleep_Cycles
800879CC,Sleep_Nsec
80087A1C,Sleep_Usec
80087A6C,Sleep_Msec
80087AC0,Sleep_Sec
80087B00,__osSetCause
80087B10,osSendMesg
80087C60,osPfsFreeBlocks
80087E00,osViExtendVStart
80087E10,osStopThread
80087ED0,osRecvMesg
80088010,osSetIntMask
800880B0,osGetIntMask
80088110,osVoiceSetWord
800882A0,guScale
80088350,__sinf
80088510,sins
80088580,_VirtualToPhysicalTask
8008868C,osSpTaskLoad
800887F4,osSpTaskStartGo
80088840,__ull_rshift
8008886C,__ull_rem
800888A8,__ull_div
800888E4,__ll_lshift
80088910,__ll_rem
8008894C,__ll_div
800889A8,__ll_mul
800889D8,__ull_divremi
80088A38,__ll_mod
80088AD4,__ll_rshift
80088B00,__osExceptionPreamble
80088B10,__osException
8008905C,send_mesg
80089110,handle_CpU
80089144,__osEnqueueAndYield
80089244,__osEnqueueThread
8008928C,__osPopThread
8008929C,__osNop
800892A4,__osDispatchThread
80089420,__osCleanupThread
80089430,__osDequeueThread
80089470,osDestroyThread
80089580,__osVoiceCheckResult
80089630,bzero
800896D0,__osMotorAccess
80089838,_MakeMotorData
80089944,osMotorInit
80089AA0,__osSiCreateAccessQueue
80089AF0,__osSiGetAccess
80089B34,__osSiRelAccess
80089B60,osContInit
80089CBC,__osContGetInitData
