makerom,0,1060,0,0
boot,1060,1A500,1060,0
dmadata,1A500,20710,1A500,0
Audiobank,20710,46B00,20710,0
Audioseq,46B00,97F80,46B00,0
Audiotable,97F80,5E06F0,97F80,0
kanji,5E06F0,65C9F0,5E06F0,0
link_animetion,65D000,956DA0,65C9F0,0
icon_item_static_old,957000,9ECEC0,FFFFFFFF,FFFFFFFF
icon_item_24_static_old,9ED000,9F4700,FFFFFFFF,FFFFFFFF
icon_item_field_static,9F5000,A09AF0,956790,960AB0
icon_item_dungeon_static,A0A000,A0EB80,960AB0,961E50
icon_item_gameover_static,A0F000,A12300,961E50,963550
icon_item_jpn_static,A13000,A1BA00,963550,967270
icon_item_vtx_static,A1C000,A1C2E0,967270,967360
map_i_static,A1D000,A1E310,967360,0
map_grand_static,A1E310,A27660,968670,0
item_name_static,A27660,A352F0,9719C0,0
map_name_static,A352F0,A36C10,97F650,0
icon_item_static_test,A36C10,A7BEE0,980F70,0
icon_item_24_static_test,A7BEE0,A807A0,9C6240,0
schedule_dma_static_old,A807A0,A8B9C0,FFFFFFFF,FFFFFFFF
schedule_dma_static_test,A8C000,A92A10,9CAB00,0
schedule_static,A92A10,A990E0,9D1510,9D3770
story_static,A9A000,ABFC00,9D3770,9EEC10
do_action_static,AC0000,AC3F00,9EEC10,0
message_static,AC4000,AC9180,9F2B10,0
message_texture_static,ACA000,ACB200,9F7C90,0
nes_font_static,ACC000,AD0E00,9F8E90,0
message_data_static,AD1000,B39710,9FDC90,0
staff_message_data_static,B3A000,B3AE60,A663A0,0
code,B3B000,C78740,A67200,B24A20
ovl_title,C78740,C79050,B24A20,B25100
ovl_select,C79050,C7C530,B25100,B27040
ovl_opening,C7C530,C7C750,B27040,B27220
ovl_file_choose,C7C750,C8C1C0,B27220,B30100
ovl_daytelop,C8C1C0,C8D3B0,B30100,B30850
ovl_kaleido_scope,C8D3B0,CA4D60,B30850,B3EA20
ovl_Player_Actor,CA4D60,CD9DC0,B3EA20,B62600
ovl_En_Test,CD9DC0,CDAAC0,B62600,B63090
ovl_En_GirlA,CDAAC0,CDC5C0,B63090,B63D50
ovl_En_Part,CDC5C0,CDCBE0,B63D50,B642A0
ovl_En_Light,CDCBE0,CDDA50,B642A0,B64CB0
ovl_En_Door,CDDA50,CDEE10,B64CB0,B65C40
ovl_En_Box,CDEE10,CE0FD0,B65C40,B674E0
ovl_En_Pametfrog,CE0FD0,CE5060,B674E0,B69F50
ovl_En_Okuta,CE5060,CE7FF0,B69F50,B6C080
ovl_En_Bom,CE7FF0,CEB890,B6C080,B6E520
ovl_En_Wallmas,CEB890,CED6F0,B6E520,B6FAA0
ovl_En_Dodongo,CED6F0,CF0770,B6FAA0,B71CE0
ovl_En_Firefly,CF0770,CF27B0,B71CE0,B73330
ovl_En_Horse,CF27B0,D012C0,B73330,B7BCC0
ovl_En_Arrow,D012C0,D03590,B7BCC0,B7D570
ovl_En_Elf,D03590,D080E0,B7D570,B808D0
ovl_En_Niw,D080E0,D0A870,B808D0,B82630
ovl_En_Tite,D0A870,D0DFB0,B82630,B84B60
ovl_En_Peehat,D0DFB0,D109E0,B84B60,B86870
ovl_En_Holl,D109E0,D11760,B86870,B872B0
ovl_En_Dinofos,D11760,D15960,B872B0,B89E50
ovl_En_Hata,D15960,D15E10,B89E50,B8A280
ovl_En_Zl1,D15E10,D15EA0,B8A280,B8A2E0
ovl_En_Viewer,D15EA0,D16550,B8A2E0,B8A7D0
ovl_En_Bubble,D16550,D17960,B8A7D0,B8B710
ovl_Door_Shutter,D17960,D19540,B8B710,B8CB30
ovl_En_Boom,D19540,D1A220,B8CB30,B8D630
ovl_En_Torch2,D1A220,D1A6E0,B8D630,B8DA50
ovl_En_Minifrog,D1A6E0,D1C0C0,B8DA50,B8ECE0
ovl_En_St,D1C0C0,D1E9A0,B8ECE0,B909A0
ovl_Obj_Wturn,D1E9A0,D1EEA0,B909A0,B90D90
ovl_En_River_Sound,D1EEA0,D1F110,B90D90,B90FD0
ovl_En_Ossan,D1F110,D23990,B90FD0,B93BA0
ovl_En_Famos,D23990,D25930,B93BA0,B95070
ovl_En_Bombf,D25930,D26D00,B95070,B96000
ovl_En_Am,D26D00,D28360,B96000,B97020
ovl_En_Dekubaba,D28360,D2C260,B97020,B99960
ovl_En_M_Fire1,D2C260,D2C3F0,B99960,B99AB0
ovl_En_M_Thunder,D2C3F0,D2E390,B99AB0,B9AF40
ovl_Bg_Breakwall,D2E390,D2F4C0,B9AF40,B9BB30
ovl_Door_Warp1,D2F4C0,D33030,B9BB30,B9E1F0
ovl_Obj_Syokudai,D33030,D33E00,B9E1F0,B9ED20
ovl_Item_B_Heart,D33E00,D341F0,B9ED20,B9F050
ovl_En_Dekunuts,D341F0,D36230,B9F050,BA05D0
ovl_En_Bbfall,D36230,D38040,BA05D0,BA1CD0
ovl_Arms_Hook,D38040,D38D50,BA1CD0,BA2730
ovl_En_Bb,D38D50,D3AA60,BA2730,BA3CE0
ovl_Bg_Keikoku_Spr,D3AA60,D3AC10,BA3CE0,BA3E50
ovl_En_Wood02,D3AC10,D3BF70,BA3E50,BA4D90
ovl_En_Death,D3BF70,D410A0,BA4D90,BA8600
ovl_En_Minideath,D410A0,D43240,BA8600,BA9DA0
ovl_En_Vm,D43240,D44720,BA9DA0,BAAD80
ovl_Demo_Effect,D44720,D45430,BAAD80,BAB820
ovl_Demo_Kankyo,D45430,D47660,BAB820,BACE70
ovl_En_Floormas,D47660,D4AE00,BACE70,BAF190
ovl_En_Rd,D4AE00,D4E530,BAF190,BB1260
ovl_Bg_F40_Flift,D4E530,D4E8B0,BB1260,BB1530
ovl_Obj_Mure,D4E8B0,D4F920,BB1530,BB20B0
ovl_En_Sw,D4F920,D52E60,BB20B0,BB4600
ovl_Object_Kankyo,D52E60,D55590,BB4600,BB60C0
ovl_En_Horse_Link_Child,D55590,D57170,BB60C0,BB7150
ovl_Door_Ana,D57170,D57800,BB7150,BB7690
ovl_En_Encount1,D57800,D57E10,BB7690,BB7B90
ovl_Demo_Tre_Lgt,D57E10,D58530,BB7B90,BB8170
ovl_En_Encount2,D58530,D58FB0,BB8170,BB8A30
ovl_En_Fire_Rock,D58FB0,D59040,BB8A30,BB8A90
ovl_Bg_Ctower_Rot,D59040,D595D0,BB8A90,BB8F00
ovl_Mir_Ray,D595D0,D5AEC0,BB8F00,BBA340
ovl_En_Sb,D5AEC0,D5BF90,BBA340,BBAF10
ovl_En_Bigslime,D5BF90,D681D0,BBAF10,BC2950
ovl_En_Karebaba,D681D0,D6A080,BC2950,BC3E70
ovl_En_In,D6A080,D6E480,BC3E70,BC6820
ovl_En_Bom_Chu,D6E480,D6FA70,BC6820,BC7960
ovl_En_Horse_Game_Check,D6FA70,D70DD0,BC7960,BC85E0
ovl_En_Rr,D70DD0,D73520,BC85E0,BCA2D0
ovl_En_Fr,D73520,D73690,BCA2D0,BCA3F0
ovl_En_Fishing,D73690,D87180,BCA3F0,BD7890
ovl_Obj_Oshihiki,D87180,D88A30,BD7890,BD89C0
ovl_Eff_Dust,D88A30,D89E20,BD89C0,BD9640
ovl_Bg_Umajump,D89E20,D8A790,BD9640,BD9D00
ovl_En_Insect,D8A790,D8BF90,BD9D00,BDACD0
ovl_En_Butte,D8BF90,D8D520,BDACD0,BDBC50
ovl_En_Fish,D8D520,D8FDE0,BDBC50,BDD7E0
ovl_Item_Etcetera,D8FDE0,D90230,BDD7E0,BDDB20
ovl_Arrow_Fire,D90230,D92310,BDDB20,BDF6F0
ovl_Arrow_Ice,D92310,D941D0,BDF6F0,BE0F60
ovl_Arrow_Light,D941D0,D96070,BE0F60,BE2820
ovl_Obj_Kibako,D96070,D97480,BE2820,BE3650
ovl_Obj_Tsubo,D97480,D997D0,BE3650,BE4C00
ovl_En_Ik,D997D0,D9C3F0,BE4C00,BE6A30
ovl_Demo_Shd,D9C3F0,D9C480,BE6A30,BE6A90
ovl_En_Dns,D9C480,D9DE50,BE6A90,BE7D40
ovl_Elf_Msg,D9DE50,D9E3D0,BE7D40,BE8150
ovl_En_Honotrap,D9E3D0,DA06A0,BE8150,BE9A30
ovl_En_Tubo_Trap,DA06A0,DA1420,BE9A30,BEA400
ovl_Obj_Ice_Poly,DA1420,DA2350,BEA400,BEAFF0
ovl_En_Fz,DA2350,DA48A0,BEAFF0,BEC9F0
ovl_En_Kusa,DA48A0,DA6990,BEC9F0,BEE2F0
ovl_Obj_Bean,DA6990,DA9050,BEE2F0,BEFC70
ovl_Obj_Bombiwa,DA9050,DAA870,BEFC70,BF0E40
ovl_Obj_Switch,DAA870,DAD050,BF0E40,BF2670
ovl_Obj_Lift,DAD050,DADB30,BF2670,BF2F80
ovl_Obj_Hsblock,DADB30,DAE0B0,BF2F80,BF33F0
ovl_En_Okarina_Tag,DAE0B0,DAE530,BF33F0,BF37E0
ovl_En_Goroiwa,DAE530,DB3140,BF37E0,BF6E60
ovl_En_Daiku,DB3140,DB3E70,BF6E60,BF78A0
ovl_En_Nwc,DB3E70,DB5180,BF78A0,BF8740
ovl_Item_Inbox,DB5180,DB52E0,BF8740,BF8850
ovl_En_Ge1,DB52E0,DB6330,BF8850,BF9460
ovl_Obj_Blockstop,DB6330,DB6560,BF9460,BF9650
ovl_En_Sda,DB6560,DB7B30,BF9650,BFA4D0
ovl_En_Clear_Tag,DB7B30,DBDAB0,BFA4D0,BFDED0
ovl_En_Gm,DBDAB0,DC21F0,BFDED0,C00CF0
ovl_En_Ms,DC21F0,DC2820,C00CF0,C011D0
ovl_En_Hs,DC2820,DC3660,C011D0,C01CC0
ovl_Bg_Ingate,DC3660,DC4530,C01CC0,C02840
ovl_En_Kanban,DC4530,DC7C90,C02840,C04A50
ovl_En_Attack_Niw,DC7C90,DC8EB0,C04A50,C05790
ovl_En_Mk,DC8EB0,DCA0E0,C05790,C064A0
ovl_En_Owl,DCA0E0,DCD2B0,C064A0,C08520
ovl_En_Ishi,DCD2B0,DCF6E0,C08520,C09F90
ovl_Obj_Hana,DCF6E0,DCF7C0,C09F90,C0A050
ovl_Obj_Lightswitch,DCF7C0,DD08C0,C0A050,C0ABB0
ovl_Obj_Mure2,DD08C0,DD12B0,C0ABB0,C0B310
ovl_En_Fu,DD12B0,DD5220,C0B310,C0DD30
ovl_En_Stream,DD5220,DD5780,C0DD30,C0E1D0
ovl_En_Mm,DD5780,DD5FE0,C0E1D0,C0E8A0
ovl_En_Weather_Tag,DD5FE0,DD75A0,C0E8A0,C0F650
ovl_En_Ani,DD75A0,DD8380,C0F650,C10070
ovl_En_Js,DD8380,DDAC70,C10070,C11B00
ovl_En_Okarina_Effect,DDAC70,DDAEE0,C11B00,C11CE0
ovl_En_Mag,DDAEE0,DDE810,C11CE0,C13BB0
ovl_Elf_Msg2,DDE810,DDED30,C13BB0,C13F20
ovl_Bg_F40_Swlift,DDED30,DDF1A0,C13F20,C142F0
ovl_En_Kakasi,DDF1A0,DE1F10,C142F0,C160A0
ovl_Obj_Makeoshihiki,DE1F10,DE2240,C160A0,C16390
ovl_Oceff_Spot,DE2240,DE3110,C16390,C17040
ovl_En_Torch,DE3110,DE3200,C17040,C17120
ovl_Shot_Sun,DE3200,DE3810,C17120,C17610
ovl_Obj_Roomtimer,DE3810,DE3AB0,C17610,C17830
ovl_En_Ssh,DE3AB0,DE6070,C17830,C19220
ovl_Oceff_Wipe,DE6070,DE6DC0,C19220,C19DA0
ovl_Effect_Ss_Dust,DE6DC0,DE75B0,C19DA0,C1A410
