File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,1A500,1060,0,194A0,N,,,,,,
dmadata,1A500,20710,1A500,0,6210,N,,,,,,
Audiobank,20710,46B00,20710,0,263F0,N,,,,,,
Audioseq,46B00,97F80,46B00,0,51480,N,,,,,,
Audiotable,97F80,5E06F0,97F80,0,548770,N,,,,,,
kanji,5E06F0,65C9F0,5E06F0,0,7C300,N,,,,,,
link_animetion,65D000,956DA0,65C9F0,0,2F9DA0,N,,,,,object,
icon_item_static_old,957000,9ECEC0,FFFFFFFF,FFFFFFFF,95EC0,Y,,,,,,
icon_item_24_static_old,9ED000,9F4700,FFFFFFFF,FFFFFFFF,7700,Y,,,,,,
icon_item_field_static,9F5000,A09AF0,956790,960AB0,14AF0,Y,,,,,,
icon_item_dungeon_static,A0A000,A0EB80,960AB0,961E50,4B80,Y,,,,,,
icon_item_gameover_static,A0F000,A12300,961E50,963550,3300,Y,,,,,,
icon_item_jpn_static,A13000,A1BA00,963550,967270,8A00,Y,,,,,,
icon_item_vtx_static,A1C000,A1C2E0,967270,967360,2E0,Y,,,,,,
map_i_static,A1D000,A1E310,967360,0,1310,N,,,,,,
map_grand_static,A1E310,A27660,968670,0,9350,N,,,,,,
item_name_static,A27660,A352F0,9719C0,0,DC90,N,,,,,,
map_name_static,A352F0,A36C10,97F650,0,1920,N,,,,,,
icon_item_static_test,A36C10,A7BEE0,980F70,0,452D0,N,,,,,,
icon_item_24_static_test,A7BEE0,A807A0,9C6240,0,48C0,N,,,,,,
schedule_dma_static_old,A807A0,A8B9C0,FFFFFFFF,FFFFFFFF,B220,Y,,,,,,
schedule_dma_static_test,A8C000,A92A10,9CAB00,0,6A10,N,,,,,,
schedule_static,A92A10,A990E0,9D1510,9D3770,66D0,Y,,,,,,
story_static,A9A000,ABFC00,9D3770,9EEC10,25C00,Y,,,,,,
do_action_static,AC0000,AC3F00,9EEC10,0,3F00,N,,,,,,
message_static,AC4000,AC9180,9F2B10,0,5180,N,,,,,,
message_texture_static,ACA000,ACB200,9F7C90,0,1200,N,,,,,,
nes_font_static,ACC000,AD0E00,9F8E90,0,4E00,N,,,,,,
message_data_static,AD1000,B39710,9FDC90,0,68710,N,,,,,,
staff_message_data_static,B3A000,B3AE60,A663A0,0,E60,N,,,,,,
code,B3B000,C78740,A67200,B24A20,13D740,Y,,,,,,
ovl_title,C78740,C79050,B24A20,B25100,910,Y,80800000,80800910,910,0,gamestate,2
ovl_select,C79050,C7C530,B25100,B27040,34E0,Y,80800910,80803DF0,34E0,0,gamestate,1
ovl_opening,C7C530,C7C750,B27040,B27220,220,Y,80803DF0,80804010,220,0,gamestate,4
ovl_file_choose,C7C750,C8C1C0,B27220,B30100,FA70,Y,80804010,80813AB0,FAA0,30,gamestate,5
ovl_daytelop,C8C1C0,C8D3B0,B30100,B30850,11F0,Y,80813AB0,80814CA0,11F0,0,gamestate,6
ovl_kaleido_scope,C8D3B0,CA4D60,B30850,B3EA20,179B0,Y,80814CA0,8082C690,179F0,40,kaleido,0
ovl_Player_Actor,CA4D60,CD9DC0,B3EA20,B62600,35060,Y,8082C690,80861770,350E0,80,kaleido,1
ovl_En_Test,CD9DC0,CDAAC0,B62600,B63090,D00,Y,80861770,80862470,D00,0,actor,1
ovl_En_GirlA,CDAAC0,CDC5C0,B63090,B63D50,1B00,Y,80862470,80863F70,1B00,0,actor,2
ovl_En_Part,CDC5C0,CDCBE0,B63D50,B642A0,620,Y,80863F70,80864590,620,0,actor,3
