makerom,0,1060,0,0
boot,1060,1AB50,1060,0
dmadata,1AB50,20D70,1AB50,0
Audiobank,20D70,47160,20D70,0
Audioseq,47160,985E0,47160,0
Audiotable,985E0,5E0D50,985E0,0
kanji,5E0D50,65D050,5E0D50,0
link_animetion,65E000,957DA0,65D050,0
icon_item_static_old,958000,9EDEC0,FFFFFFFF,FFFFFFFF
icon_item_24_static_old,9EE000,9F5700,FFFFFFFF,FFFFFFFF
icon_item_field_static,9F6000,A0AAF0,956DF0,961110
icon_item_dungeon_static,A0B000,A0FB80,961110,9624B0
icon_item_gameover_static,A10000,A13300,9624B0,963BB0
icon_item_jpn_static,A14000,A1CA00,963BB0,9678D0
icon_item_vtx_static,A1D000,A1D2E0,9678D0,9679C0
map_i_static,A1E000,A1F310,9679C0,0
map_grand_static,A1F310,A28660,968CD0,0
item_name_static,A28660,A362F0,972020,0
map_name_static,A362F0,A37C10,97FCB0,0
icon_item_static_test,A37C10,A7CEE0,9815D0,0
icon_item_24_static_test,A7CEE0,A817A0,9C68A0,0
schedule_dma_static_old,A817A0,A8C9C0,FFFFFFFF,FFFFFFFF
schedule_dma_static_test,A8D000,A93A10,9CB160,0
schedule_static,A93A10,A9A0E0,9D1B70,9D3E20
story_static,A9B000,AC0C00,9D3E20,9EF2C0
do_action_static,AC1000,AC4F00,9EF2C0,0
message_static,AC5000,ACA180,9F31C0,0
message_texture_static,ACB000,ACC200,9F8340,0
nes_font_static,ACD000,AD1E00,9F9540,0
message_data_static,AD2000,B3B770,9FE340,0
staff_message_data_static,B3C000,B3CCE0,A67AB0,0
code,B3D000,C7A690,A68790,B25F10
ovl_title,C7A690,C7AFA0,B25F10,B26600
ovl_select,C7AFA0,C7E480,B26600,B28540
ovl_opening,C7E480,C7E6A0,B28540,B28720
ovl_file_choose,C7E6A0,C912C0,B28720,B32E50
ovl_daytelop,C912C0,C924B0,B32E50,B335B0
ovl_kaleido_scope,C924B0,CA9E30,B335B0,B416F0
ovl_Player_Actor,CA9E30,CDECB0,B416F0,B65190
ovl_En_Test,CDECB0,CDF9B0,B65190,B65C20
ovl_En_GirlA,CDF9B0,CE14B0,B65C20,B668E0
ovl_En_Part,CE14B0,CE1AD0,B668E0,B66E30
ovl_En_Light,CE1AD0,CE2940,B66E30,B67840
ovl_En_Door,CE2940,CE3D00,B67840,B687D0
ovl_En_Box,CE3D00,CE5F10,B687D0,B6A0A0
ovl_En_Pametfrog,CE5F10,CE9FA0,B6A0A0,B6CB20
ovl_En_Okuta,CE9FA0,CECF30,B6CB20,B6EC50
ovl_En_Bom,CECF30,CF07D0,B6EC50,B710F0
ovl_En_Wallmas,CF07D0,CF2630,B710F0,B72670
ovl_En_Dodongo,CF2630,CF56B0,B72670,B748B0
ovl_En_Firefly,CF56B0,CF76F0,B748B0,B75F00
ovl_En_Horse,CF76F0,D06200,B75F00,B7E8A0
ovl_En_Arrow,D06200,D084D0,B7E8A0,B80150
ovl_En_Elf,D084D0,D0D020,B80150,B834B0
ovl_En_Niw,D0D020,D0F7B0,B834B0,B85210
ovl_En_Tite,D0F7B0,D12EF0,B85210,B87760
ovl_En_Peehat,D12EF0,D15920,B87760,B89470
ovl_En_Holl,D15920,D166A0,B89470,B89EB0
ovl_En_Dinofos,D166A0,D1A8A0,B89EB0,B8CA40
ovl_En_Hata,D1A8A0,D1AD50,B8CA40,B8CE70
ovl_En_Zl1,D1AD50,D1ADE0,B8CE70,B8CED0
ovl_En_Viewer,D1ADE0,D1B490,B8CED0,B8D3C0
ovl_En_Bubble,D1B490,D1C8A0,B8D3C0,B8E300
ovl_Door_Shutter,D1C8A0,D1E480,B8E300,B8F720
ovl_En_Boom,D1E480,D1F160,B8F720,B90220
ovl_En_Torch2,D1F160,D1F620,B90220,B90640
ovl_En_Minifrog,D1F620,D21000,B90640,B918C0
ovl_En_St,D21000,D238E0,B918C0,B93580
ovl_Obj_Wturn,D238E0,D23DE0,B93580,B93970
ovl_En_River_Sound,D23DE0,D24050,B93970,B93BB0
ovl_En_Ossan,D24050,D288D0,B93BB0,B96770
ovl_En_Famos,D288D0,D2A870,B96770,B97C40
ovl_En_Bombf,D2A870,D2BC80,B97C40,B98C00
ovl_En_Am,D2BC80,D2D2E0,B98C00,B99C20
ovl_En_Dekubaba,D2D2E0,D311E0,B99C20,B9C570
ovl_En_M_Fire1,D311E0,D31370,B9C570,B9C6C0
ovl_En_M_Thunder,D31370,D33310,B9C6C0,B9DB50
ovl_Bg_Breakwall,D33310,D34440,B9DB50,B9E740
ovl_Door_Warp1,D34440,D37BA0,B9E740,BA0B70
ovl_Obj_Syokudai,D37BA0,D38970,BA0B70,BA16A0
ovl_Item_B_Heart,D38970,D38D60,BA16A0,BA19D0
ovl_En_Dekunuts,D38D60,D3ADA0,BA19D0,BA2F40
ovl_En_Bbfall,D3ADA0,D3CBB0,BA2F40,BA4640
ovl_Arms_Hook,D3CBB0,D3D8C0,BA4640,BA5090
ovl_En_Bb,D3D8C0,D3F5D0,BA5090,BA6640
ovl_Bg_Keikoku_Spr,D3F5D0,D3F780,BA6640,BA67B0
ovl_En_Wood02,D3F780,D40AF0,BA67B0,BA7710
ovl_En_Death,D40AF0,D45C20,BA7710,BAAFA0
ovl_En_Minideath,D45C20,D47DC0,BAAFA0,BAC740
ovl_En_Vm,D47DC0,D492A0,BAC740,BAD720
ovl_Demo_Effect,D492A0,D49FB0,BAD720,BAE1C0
ovl_Demo_Kankyo,D49FB0,D4C1E0,BAE1C0,BAF810
ovl_En_Floormas,D4C1E0,D4F980,BAF810,BB1B30
ovl_En_Rd,D4F980,D530B0,BB1B30,BB3C10
ovl_Bg_F40_Flift,D530B0,D53430,BB3C10,BB3EE0
ovl_Obj_Mure,D53430,D544A0,BB3EE0,BB4A60
ovl_En_Sw,D544A0,D579E0,BB4A60,BB6FC0
ovl_Object_Kankyo,D579E0,D5A110,BB6FC0,BB8A90
ovl_En_Horse_Link_Child,D5A110,D5BCF0,BB8A90,BB9B20
ovl_Door_Ana,D5BCF0,D5C380,BB9B20,BBA060
ovl_En_Encount1,D5C380,D5C990,BBA060,BBA560
ovl_Demo_Tre_Lgt,D5C990,D5D0B0,BBA560,BBAB40
ovl_En_Encount2,D5D0B0,D5DB30,BBAB40,BBB400
ovl_En_Fire_Rock,D5DB30,D5DBC0,BBB400,BBB460
ovl_Bg_Ctower_Rot,D5DBC0,D5E150,BBB460,BBB8D0
ovl_Mir_Ray,D5E150,D5FA40,BBB8D0,BBCD10
ovl_En_Sb,D5FA40,D60B10,BBCD10,BBD8E0
ovl_En_Bigslime,D60B10,D6CD50,BBD8E0,BC5310
ovl_En_Karebaba,D6CD50,D6EC00,BC5310,BC6830
ovl_En_In,D6EC00,D73000,BC6830,BC91F0
ovl_En_Bom_Chu,D73000,D745F0,BC91F0,BCA340
ovl_En_Horse_Game_Check,D745F0,D75950,BCA340,BCAFC0
ovl_En_Rr,D75950,D780A0,BCAFC0,BCCCC0
ovl_En_Fr,D780A0,D78210,BCCCC0,BCCDE0
ovl_En_Fishing,D78210,D8BD00,BCCDE0,BDA370
ovl_Obj_Oshihiki,D8BD00,D8D5B0,BDA370,BDB4A0
ovl_Eff_Dust,D8D5B0,D8E9A0,BDB4A0,BDC120
ovl_Bg_Umajump,D8E9A0,D8F310,BDC120,BDC7E0
ovl_En_Insect,D8F310,D90B10,BDC7E0,BDD7C0
ovl_En_Butte,D90B10,D920A0,BDD7C0,BDE740
ovl_En_Fish,D920A0,D94960,BDE740,BE02D0
ovl_Item_Etcetera,D94960,D94DB0,BE02D0,BE0610
ovl_Arrow_Fire,D94DB0,D96E90,BE0610,BE21E0
ovl_Arrow_Ice,D96E90,D98D50,BE21E0,BE3A40
ovl_Arrow_Light,D98D50,D9ABF0,BE3A40,BE5300
ovl_Obj_Kibako,D9ABF0,D9C000,BE5300,BE6130
ovl_Obj_Tsubo,D9C000,D9E350,BE6130,BE76E0
ovl_En_Ik,D9E350,DA0F70,BE76E0,BE9510
ovl_Demo_Shd,DA0F70,DA1000,BE9510,BE9570
