File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,1AB50,1060,0,19AF0,N,,,,,,
dmadata,1AB50,20D70,1AB50,0,6220,N,,,,,,
Audiobank,20D70,47160,20D70,0,263F0,N,,,,,,
Audioseq,47160,985E0,47160,0,51480,N,,,,,,
Audiotable,985E0,5E0D50,985E0,0,548770,N,,,,,,
kanji,5E0D50,65D050,5E0D50,0,7C300,N,,,,,,
link_animetion,65E000,957DA0,65D050,0,2F9DA0,N,,,,,object,
icon_item_static_old,958000,9EDEC0,FFFFFFFF,FFFFFFFF,95EC0,Y,,,,,,
icon_item_24_static_old,9EE000,9F5700,FFFFFFFF,FFFFFFFF,7700,Y,,,,,,
icon_item_field_static,9F6000,A0AAF0,956DF0,961110,14AF0,Y,,,,,,
icon_item_dungeon_static,A0B000,A0FB80,961110,9624B0,4B80,Y,,,,,,
icon_item_gameover_static,A10000,A13300,9624B0,963BB0,3300,Y,,,,,,
icon_item_jpn_static,A14000,A1CA00,963BB0,9678D0,8A00,Y,,,,,,
icon_item_vtx_static,A1D000,A1D2E0,9678D0,9679C0,2E0,Y,,,,,,
map_i_static,A1E000,A1F310,9679C0,0,1310,N,,,,,,
map_grand_static,A1F310,A28660,968CD0,0,9350,N,,,,,,
item_name_static,A28660,A362F0,972020,0,DC90,N,,,,,,
map_name_static,A362F0,A37C10,97FCB0,0,1920,N,,,,,,
icon_item_static_test,A37C10,A7CEE0,9815D0,0,452D0,N,,,,,,
icon_item_24_static_test,A7CEE0,A817A0,9C68A0,0,48C0,N,,,,,,
schedule_dma_static_old,A817A0,A8C9C0,FFFFFFFF,FFFFFFFF,B220,Y,,,,,,
schedule_dma_static_test,A8D000,A93A10,9CB160,0,6A10,N,,,,,,
schedule_static,A93A10,A9A0E0,9D1B70,9D3E20,66D0,Y,,,,,,
story_static,A9B000,AC0C00,9D3E20,9EF2C0,25C00,Y,,,,,,
do_action_static,AC1000,AC4F00,9EF2C0,0,3F00,N,,,,,,
message_static,AC5000,ACA180,9F31C0,0,5180,N,,,,,,
message_texture_static,ACB000,ACC200,9F8340,0,1200,N,,,,,,
nes_font_static,ACD000,AD1E00,9F9540,0,4E00,N,,,,,,
message_data_static,AD2000,B3B770,9FE340,0,69770,N,,,,,,
staff_message_data_static,B3C000,B3CCE0,A67AB0,0,CE0,N,,,,,,
code,B3D000,C7A690,A68790,B25F10,13D690,Y,,,,,,
ovl_title,C7A690,C7AFA0,B25F10,B26600,910,Y,80800000,80800910,910,0,gamestate,2
ovl_select,C7AFA0,C7E480,B26600,B28540,34E0,Y,80800910,80803DF0,34E0,0,gamestate,1
ovl_opening,C7E480,C7E6A0,B28540,B28720,220,Y,80803DF0,80804010,220,0,gamestate,4
ovl_file_choose,C7E6A0,C912C0,B28720,B32E50,12C20,Y,80804010,80816C50,12C40,20,gamestate,5
ovl_daytelop,C912C0,C924B0,B32E50,B335B0,11F0,Y,80816C50,80817E40,11F0,0,gamestate,6
ovl_kaleido_scope,C924B0,CA9E30,B335B0,B416F0,17980,Y,80817E40,8082F800,179C0,40,kaleido,0
ovl_Player_Actor,CA9E30,CDECB0,B416F0,B65190,34E80,Y,8082F800,80864700,34F00,80,kaleido,1
ovl_En_Test,CDECB0,CDF9B0,B65190,B65C20,D00,Y,80864700,80865400,D00,0,actor,1
ovl_En_GirlA,CDF9B0,CE14B0,B65C20,B668E0,1B00,Y,80865400,80866F00,1B00,0,actor,2
ovl_En_Part,CE14B0,CE1AD0,B668E0,B66E30,620,Y,80866F00,80867520,620,0,actor,3
ovl_En_Light,CE1AD0,CE2940,B66E30,B67840,E70,Y,80867520,80868390,E70,0,actor,4
ovl_En_Door,CE2940,CE3D00,B67840,B687D0,13C0,Y,80868390,80869760,13D0,10,actor,5
ovl_En_Box,CE3D00,CE5F10,B687D0,B6A0A0,2210,Y,80869760,8086B970,2210,0,actor,6
ovl_En_Pametfrog,CE5F10,CE9FA0,B6A0A0,B6CB20,4090,Y,8086B970,8086FA00,4090,0,actor,7
ovl_En_Okuta,CE9FA0,CECF30,B6CB20,B6EC50,2F90,Y,8086FA00,80872990,2F90,0,actor,8
ovl_En_Bom,CECF30,CF07D0,B6EC50,B710F0,38A0,Y,80872990,808763F0,3A60,1C0,actor,9
ovl_En_Wallmas,CF07D0,CF2630,B710F0,B72670,1E60,Y,808763F0,80878250,1E60,0,actor,A
ovl_En_Dodongo,CF2630,CF56B0,B72670,B748B0,3080,Y,80878250,8087B2D0,3080,0,actor,B
ovl_En_Firefly,CF56B0,CF76F0,B748B0,B75F00,2040,Y,8087B2D0,8087D310,2040,0,actor,C
ovl_En_Horse,CF76F0,D06200,B75F00,B7E8A0,EB10,Y,8087D310,8088BE20,EB10,0,actor,D
ovl_En_Arrow,D06200,D084D0,B7E8A0,B80150,22D0,Y,8088BE20,8088E0F0,22D0,0,actor,F
ovl_En_Elf,D084D0,D0D020,B80150,B834B0,4B50,Y,8088E0F0,80892C40,4B50,0,actor,10
ovl_En_Niw,D0D020,D0F7B0,B834B0,B85210,2790,Y,80892C40,808953D0,2790,0,actor,11
