offset,vram,.text
0,80080060,boot_main
F0,80080150,idle
580,800805E0,viconfig
730,80080790,z_std_dma
DD0,80080E30,yaz0
11F0,80081250,irqmgr
17C0,80081820,CIC6105
18C0,80081920,syncprintf
1920,80081980,fault
3E50,80083EB0,fault_drawer
48E0,80084940,boot_80084940
4940,800849A0,loadfragment
4D50,80084DB0,loadfragment2
50D0,80085130,padutils
52C0,80085320,stackcheck
5510,80085570,gfxprint
60B0,80086110,mtxuty-cvt
6220,80086280,assert
6280,800862E0,boot_800862E0
65C0,80086620,padsetup
6700,80086760,boot_80086760
6C10,80086C70,fp
6D70,80086DD0,system_malloc
6F40,80086FA0,rand
7100,80087160,__osMalloc
7D30,80087D90,sprintf
7E00,80087E60,printutils
7E60,80087EC0,sleep
8000,80088060,setcause
8010,80088070,sendmesg
8160,800881C0,pfsfreeblocks
8300,80088360,viextend
8310,80088370,stopthread
83D0,80088430,recvmesg
8510,80088570,setintmask
85B0,80088610,getintmask
8610,80088670,voicesetword
87A0,80088800,guScale
8850,800888B0,sinf
8A10,80088A70,sins
8A80,80088AE0,sptask
8D40,80088DA0,ll
9000,80089060,exceptasm
9930,80089990,thread
9970,800899D0,destroythread
9A80,80089AE0,voicecheckresult
9B30,80089B90,bzero
9BD0,80089C30,motor
9FA0,8008A000,siacs
A060,8008A0C0,controller
A340,8008A3A0,createthread
A490,8008A4F0,contreaddata
A670,8008A6D0,voicegetreaddata
AA40,8008AAA0,virtualtophysical
AAC0,8008AB20,getsr
AAD0,8008AB30,setsr
AAE0,8008AB40,writebackdcache
AB60,8008ABC0,initialize
AF10,8008AF70,vigetnextframebuf
AF50,8008AFB0,perspective
B1E0,8008B240,sprawdma
B270,8008B2D0,sirawdma
B320,8008B380,epilinkhandle
B370,8008B3D0,viblack
B3E0,8008B440,sirawread
B430,8008B490,getthreadid
B450,8008B4B0,sptaskyield
B470,8008B4D0,pfsreadwritefile
B8C0,8008B920,pfsgetstatus
BB00,8008BB60,guMtxIdentF
BB50,8008BBB0,visetmode
BBB0,8008BC10,getconfig
BBC0,8008BC20,setconfig
BBD0,8008BC30,lookat
BEF0,8008BF50,pfsallocatefile
C370,8008C3D0,stoptimer
C460,8008C4C0,probetlb
C520,8008C580,pimgr
C690,8008C6F0,piacs
C760,8008C7C0,devmgr
CB70,8008CBD0,pirawdma
CC40,8008CCA0,contpfs
D7C0,8008D820,getcount
D7E0,8008D840,guMtxL2F
D850,8008D8B0,getmemsize
D970,8008D9D0,pfssearchfile
DB40,8008DBA0,seteventmesg
DC00,8008DC60,sqrtf
DC10,8008DC70,afterprenmi
DC30,8008DC90,contquery
DCD0,8008DD30,lookathil
E550,8008E5B0,xprintf
F230,8008F290,voicecleardictionary
F2E0,8008F340,unmaptlball
F330,8008F390,epidma
F3D0,8008F430,voicecontread2
F600,8008F660,voicecrc
F6A0,8008F700,string
F740,8008F7A0,createmesgqueue
F770,8008F7D0,invalicache
F7F0,8008F850,invaldcache
F8A0,8008F900,timerintr
FCD0,8008FD30,voicecontread36
FF00,8008FF60,sp
FF30,8008FF90,si
FF60,8008FFC0,guMtxIdent
FFB0,80090010,jammesg
10100,80090160,setthreadpri
101E0,80090240,getthreadpri
10200,80090260,epirawread
10360,800903C0,viswapbuf
103B0,80090410,position
105C0,80090620,epirawdma
107A0,80090800,sptaskyielded
10800,80090860,bcmp
10920,80090980,gettime
109B0,80090A10,rotate
10B80,80090BE0,setglobalintmask
10BD0,80090C30,voiceinit
10D10,80090D70,contchannelreset
10E00,80090E60,voicesetadconverter
10FF0,80091050,aisetfreq
11140,800911A0,contramread
11370,800913D0,voicecontwrite20
115A0,80091600,crc
11710,80091770,getactivequeue
11720,80091780,normalize
11780,800917E0,setcompare
11790,800917F0,getcompare
117A0,80091800,dpgetstat
117B0,80091810,dpsetstat
117C0,80091820,bcopy
11AD0,80091B30,resetglobalintmask
11B30,80091B90,pfsdeletefile
11DA0,80091E00,ortho
11F60,80091FC0,interrupt
11FF0,80092050,vi
12110,80092170,viswapcontext
12410,80092470,pigetcmdq
12440,800924A0,cosf
125B0,80092610,epiread
12600,80092660,visetspecial
12760,800927C0,coss
12790,800927F0,settime
127C0,80092820,voicestopread
128E0,80092940,visetevent
12940,800929A0,pfsisplug
12C30,80092C90,voicegetstatus
12E20,80092E80,cartrominit
12F80,80092FE0,guS2DInitBg
13100,80093160,pfsselectbank
13180,800931E0,contsetch
131E0,80093240,setfpccsr
131F0,80093250,getfpccsr
13200,80093260,pfsfilestate
133E0,80093440,pfsinitpak
136F0,80093750,pfschecker
140A0,80094100,aigetlen
140B0,80094110,epiwrite
14100,80094160,maptlbrdb
14160,800941C0,yieldthread
141C0,80094220,guTranslate
14290,800942F0,getcause
142A0,80094300,contramwrite
144F0,80094550,epirawwrite
14650,800946B0,settimer
147E0,80094840,xldtob
152F0,80095350,ldiv
15480,800954E0,xlitob
15720,80095780,sirawwrite
15770,800957D0,spgetstat
15780,800957E0,spsetstat
157A0,80095800,vimgr
15AB0,80095B10,vigetcurrcontext
15AC0,80095B20,writebackdcacheall
15AF0,80095B50,getcurrfaultthread
15B00,80095B60,voicemaskdictionary
15C30,80095C90,[PADDING]
15C40,80095CA0,guMtxF2L
15CB0,80095D10,startthread
15E00,80095E60,visetyscale
15E50,80095EB0,visetxscale
15F60,80095FC0,llcvt
16170,800961D0,voicecheckword
16860,800968C0,voicecontrolgain
16910,80096970,voicestartreaddata
169D0,80096A30,vigetcurrframebuf
16A10,80096A70,spsetpc
16A40,80096AA0,voicecontwrite4
16C70,80096CD0,gethwinterrupt
16CA0,80096D00,sethwinterrupt
16D10,80096D70,getwatchlo
16D20,80096D80,setwatchlo
16D30,80096D90,fmodf
16D80,80096DE0,__osMemset
16DB0,80096E10,__osStrcmp
16DF0,80096E50,__osStrcpy
16E30,80096E90,__osMemcpy
