801ED0B0,sActorFaultClient,FaultClient,0x10
801ED0C0,D_801ED8B0,CollisionPoly*,0x4
801ED0C4,D_801ED8B4,s32,0x4
801ED0C8,D_801ED8B8,Actor*,0x4
801ED0CC,D_801ED8BC,Actor*,0x4
801ED0D0,D_801ED8C0,Actor*,0x4
801ED0D4,D_801ED8C4,Actor*,0x4
801ED0D8,D_801ED8C8,f32,0x4
801ED0DC,sBgmEnemyDistSq,f32,0x4
801ED0E0,D_801ED8D0,f32,0x4
801ED0E4,D_801ED8D4,s32,0x4
801ED0E8,D_801ED8D8,s32,0x4
801ED0EC,D_801ED8DC,s16,0x2
801ED0F0,D_801ED8E0,Mtx,0x40
801ED130,D_801ED920,Actor*,0x4
801EEE80,gSaveContext,SaveContext,0x48E8
801F3770,gRegEditor,GameInfo*,0x4
80381CD0,gSystemHeap,u8,0x0
