makerom,0,1060,0,0
boot,1060,1C110,1060,0
dmadata,1C110,222F0,1C110,0
Audiobank,222F0,48160,222F0,0
Audioseq,48160,995D0,48160,0
Audiotable,995D0,5E0580,995D0,0
kanji,5E0580,65C880,5E0580,0
link_animetion,65D000,965800,65C880,0
icon_item_static,966000,A1C1A0,965080,9A8C90
icon_item_24_static,A1D000,A24700,9A8C90,0
icon_item_field_static,A25000,A39AF0,9B0390,9BA6B0
icon_item_dungeon_static,A3A000,A3EB80,9BA6B0,9BBA50
icon_item_gameover_static,A3F000,A42300,9BBA50,9BD150
icon_item_jpn_static,A43000,A4A780,9BD150,9C0310
map_i_static,A4B000,A4C310,9C0310,0
map_grand_static,A4C310,A55660,9C1620,0
item_name_static,A55660,A68270,9CA970,0
map_name_static,A68270,A69E60,9DD580,0
PLACEHOLDER_01,A69E60,AB2CF0,9DF170,0
PLACEHOLDER_02,AB2CF0,ABDF10,A28000,0
PLACEHOLDER_03,ABE000,AC1670,A33220,0
story_static,AC2000,AE7C00,A36890,A51D30
do_action_static,AE8000,AEBF00,A51D30,0
message_static,AEC000,AF1180,A55C30,0
message_texture_static,AF2000,AF3200,A5ADB0,0
nes_font_static,AF4000,AF8580,A5BFB0,0
jpn_message_data_static,AF9000,B5D110,A60530,0
staff_message_data_static,B5E000,B5ECE0,AC4640,0
code,B5F000,C9B6F0,AC5320,B820B0
ovl_title,C9B6F0,C9C1C0,B820B0,B82850
ovl_select,C9C1C0,C9F6D0,B82850,B847D0
ovl_opening,C9F6D0,C9F9C0,B847D0,B84A00
ovl_file_choose,C9F9C0,CB02C0,B84A00,B8E180
ovl_daytelop,CB02C0,CB14B0,B8E180,B8E8E0
ovl_kaleido_scope,CB14B0,CC9A20,B8E8E0,B9D030
ovl_Player_Actor,CC9A20,CFE660,B9D030,BC0950
ovl_En_Test,CFE660,CFF370,BC0950,BC13E0
ovl_En_GirlA,CFF370,D00E70,BC13E0,BC20A0
ovl_En_Part,D00E70,D01490,BC20A0,BC25F0
ovl_En_Light,D01490,D022F0,BC25F0,BC2FE0
ovl_En_Door,D022F0,D036B0,BC2FE0,BC3F70
ovl_En_Box,D036B0,D05860,BC3F70,BC5800
ovl_En_Pametfrog,D05860,D098F0,BC5800,BC8280
ovl_En_Okuta,D098F0,D0C8E0,BC8280,BCA400
ovl_En_Bom,D0C8E0,D10190,BCA400,BCC8B0
ovl_En_Wallmas,D10190,D11FF0,BCC8B0,BCDE20
ovl_En_Dodongo,D11FF0,D15070,BCDE20,BD0060
ovl_En_Firefly,D15070,D17040,BD0060,BD1680
ovl_En_Horse,D17040,D25C20,BD1680,BDA0E0
