offset,vram,.text
0,80080060,boot_main
F0,80080150,idle
580,800805E0,viconfig
730,80080790,z_std_dma
DC0,80080E20,yaz0
11E0,80081240,irqmgr
1A20,80081A80,syncprintf
1A80,80081AE0,nj0_80081AE0
1B30,80081B90,[PADDING]
1B40,80081BA0,fault
6CC0,80086D20,boot_800862E0
7000,80087060,padsetup
7140,800871A0,boot_80086760
7650,800876B0,fp
77B0,80087810,system_malloc
7980,800879E0,rand
7B40,80087BA0,__osMalloc
8340,800883A0,sprintf
8410,80088470,printutils
8470,800884D0,sleep
8610,80088670,setcause
8620,80088680,sendmesg
8770,800887D0,pfsfreeblocks
8910,80088970,viextend
8920,80088980,stopthread
89E0,80088A40,recvmesg
8B20,80088B80,setintmask
8BC0,80088C20,getintmask
8C20,80088C80,voicesetword
8DB0,80088E10,guScale
8E60,80088EC0,sinf
9020,80089080,sins
9090,800890F0,sptask
9350,800893B0,ll
9610,80089670,exceptasm
9F40,80089FA0,thread
9F80,80089FE0,destroythread
A090,8008A0F0,voicecheckresult
A140,8008A1A0,bzero
A1E0,8008A240,motor
A5B0,8008A610,siacs
A670,8008A6D0,controller
A950,8008A9B0,createthread
AAA0,8008AB00,contreaddata
AC80,8008ACE0,voicegetreaddata
B050,8008B0B0,virtualtophysical
B0D0,8008B130,getsr
B0E0,8008B140,setsr
B0F0,8008B150,writebackdcache
B170,8008B1D0,initialize
B4C0,8008B520,[PADDING]
B520,8008B580,vigetnextframebuf
B560,8008B5C0,perspective
B7F0,8008B850,sprawdma
B880,8008B8E0,sirawdma
B930,8008B990,epilinkhandle
B980,8008B9E0,viblack
B9F0,8008BA50,sirawread
BA40,8008BAA0,getthreadid
BA60,8008BAC0,sptaskyield
BA80,8008BAE0,pfsreadwritefile
BED0,8008BF30,pfsgetstatus
C100,8008C160,[PADDING]
C110,8008C170,guMtxIdentF
C160,8008C1C0,visetmode
C1C0,8008C220,getconfig
C1D0,8008C230,setconfig
C1E0,8008C240,lookat
C500,8008C560,pfsallocatefile
C980,8008C9E0,stoptimer
CA70,8008CAD0,probetlb
CB30,8008CB90,pimgr
CCA0,8008CD00,piacs
CD60,8008CDC0,[PADDING]
CD70,8008CDD0,devmgr
D180,8008D1E0,pirawdma
D250,8008D2B0,contpfs
DDD0,8008DE30,getcount
DDE0,8008DE40,[PADDING]
DDF0,8008DE50,guMtxL2F
DE60,8008DEC0,getmemsize
DF80,8008DFE0,pfssearchfile
E150,8008E1B0,seteventmesg
E210,8008E270,sqrtf
E220,8008E280,afterprenmi
E240,8008E2A0,contquery
E2E0,8008E340,lookathil
EB60,8008EBC0,xprintf
