801A9E60,gActorOverlayTable,ActorOverlay,0x5640
801D7200,Actor_PrintLists_SegName,asciz,0x4
801ED690,sActorFaultClient,FaultClient,0x10
801ED6A0,D_801ED8B0,CollisionPoly*,0x4
801ED6A4,D_801ED8B4,s32,0x4
801ED6A8,D_801ED8B8,Actor*,0x4
801ED6AC,D_801ED8BC,Actor*,0x4
801ED6B0,D_801ED8C0,Actor*,0x4
801ED6B8,D_801ED8E0,Mtx,0x40
801ED6F8,D_801ED8C4,Actor*,0x4
801ED6FC,D_801ED8C8,f32,0x4
801ED700,sBgmEnemyDistSq,f32,0x4
801ED704,D_801ED8D0,f32,0x4
801ED708,D_801ED8D4,s32,0x4
801ED70C,D_801ED8D8,s32,0x4
801ED710,D_801ED8DC,s16,0x2
801ED714,D_801ED920,Actor*,0x4
801EF460,gSaveContext,SaveContext,0x4C78
