File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,1C050,1060,0,1AFF0,N,,,,,,
dmadata,1C050,22230,1C050,0,61E0,N,,,,,,
Audiobank,22230,480A0,22230,0,25E70,N,,,,,,
Audioseq,480A0,99510,480A0,0,51470,N,,,,,,
Audiotable,99510,5E04C0,99510,0,546FB0,N,,,,,,
kanji,5E04C0,65C7C0,5E04C0,0,7C300,N,,,,,,
link_animetion,65D000,965800,65C7C0,0,308800,N,,,,,object,
icon_item_static,966000,A1C1A0,964FC0,9A8BD0,B61A0,Y,,,,,,
icon_item_24_static,A1D000,A24700,9A8BD0,0,7700,N,,,,,,
icon_item_field_static,A25000,A39AF0,9B02D0,9BA5F0,14AF0,Y,,,,,,
icon_item_dungeon_static,A3A000,A3EB80,9BA5F0,9BB990,4B80,Y,,,,,,
icon_item_gameover_static,A3F000,A42300,9BB990,9BD090,3300,Y,,,,,,
icon_item_jpn_static,A43000,A4A780,9BD090,9C0250,7780,Y,,,,,,
map_i_static,A4B000,A4C310,9C0250,0,1310,N,,,,,,
map_grand_static,A4C310,A55660,9C1560,0,9350,N,,,,,,
item_name_static,A55660,A68270,9CA8B0,0,12C10,N,,,,,,
map_name_static,A68270,A69E60,9DD4C0,0,1BF0,N,,,,,,
PLACEHOLDER_01,A69E60,AB2CF0,9DF0B0,0,48E90,N,,,,,,
PLACEHOLDER_02,AB2CF0,ABDF10,A27F40,0,B220,N,,,,,,
PLACEHOLDER_03,ABE000,AC1670,A33160,0,3670,N,,,,,,
story_static,AC2000,AE7C00,A367D0,A51C70,25C00,Y,,,,,,
do_action_static,AE8000,AEBF00,A51C70,0,3F00,N,,,,,,
message_static,AEC000,AF1180,A55B70,0,5180,N,,,,,,
message_texture_static,AF2000,AF3200,A5ACF0,0,1200,N,,,,,,
nes_font_static,AF4000,AF8580,A5BEF0,0,4580,N,,,,,,
jpn_message_data_static,AF9000,B5D0F0,A60470,0,640F0,N,,,,,,
staff_message_data_static,B5E000,B5ECE0,AC4560,0,CE0,N,,,,,,
code,B5F000,C9BA60,AC5240,B82260,13CA60,Y,,,,,,
ovl_title,C9BA60,C9C530,B82260,B82A00,AD0,Y,80800000,80800AD0,AD0,0,gamestate,2
ovl_select,C9C530,C9FA40,B82A00,B84980,3510,Y,80800AD0,80803FE0,3510,0,gamestate,1
ovl_opening,C9FA40,C9FD30,B84980,B84BB0,2F0,Y,80803FE0,808042D0,2F0,0,gamestate,4
ovl_file_choose,C9FD30,CB0630,B84BB0,B8E330,10900,Y,808042D0,80814BF0,10920,20,gamestate,5
ovl_daytelop,CB0630,CB1820,B8E330,B8EA90,11F0,Y,80814BF0,80815DE0,11F0,0,gamestate,6
ovl_kaleido_scope,CB1820,CC9C60,B8EA90,B9D130,18440,Y,80815DE0,8082E260,18480,40,kaleido,0
ovl_Player_Actor,CC9C60,CFE940,B9D130,BC0AC0,34CE0,Y,8082E260,80863060,34E00,120,kaleido,1
ovl_En_Test,CFE940,CFF650,BC0AC0,BC1550,D10,Y,80863060,80863D70,D10,0,actor,1
ovl_En_GirlA,CFF650,D01150,BC1550,BC2210,1B00,Y,80863D70,80865870,1B00,0,actor,2
ovl_En_Part,D01150,D01770,BC2210,BC2760,620,Y,80865870,80865E90,620,0,actor,3
ovl_En_Light,D01770,D025D0,BC2760,BC3150,E60,Y,80865E90,80866CF0,E60,0,actor,4
