801AA0A0,gActorOverlayTable,ActorOverlay,0x5640
801D7410,Actor_PrintLists_SegName,asciz,0x0
801ED940,sActorFaultClient,FaultClient,0x10
801ED950,D_801ED8B0,CollisionPoly*,0x4
801ED954,D_801ED8B4,s32,0x4
801ED958,D_801ED8B8,Actor*,0x4
801ED95C,D_801ED8BC,Actor*,0x4
801ED960,D_801ED8C0,Actor*,0x4
801ED968,D_801ED8E0,Mtx,0x40
801ED9A8,D_801ED8C4,Actor*,0x4
801ED9AC,D_801ED8C8,f32,0x4
801ED9B0,sBgmEnemyDistSq,f32,0x4
801ED9B4,D_801ED8D0,f32,0x4
801ED9B8,D_801ED8D4,s32,0x4
801ED9BC,D_801ED8D8,s32,0x4
801ED9C0,D_801ED8DC,s16,0x2
801ED9C4,D_801ED920,Actor*,0x4
801EF710,gSaveContext,SaveContext,0x4C78
