File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,1A650,1060,0,195F0,N,,,,,,
dmadata,1A650,209A0,1A650,0,6350,N,,,,,,
Audiobank,209A0,46D90,209A0,0,263F0,N,,,,,,
Audioseq,46D90,98210,46D90,0,51480,N,,,,,,
Audiotable,98210,5E0980,98210,0,548770,N,,,,,,
link_animetion,5E0980,8DA720,5E0980,0,2F9DA0,N,,,,,object,
icon_item_static_old,8DB000,970EC0,FFFFFFFF,FFFFFFFF,95EC0,Y,,,,,,
icon_item_24_static_old,971000,978700,FFFFFFFF,FFFFFFFF,7700,Y,,,,,,
icon_item_field_static,979000,98DAF0,8DA720,8E4A40,14AF0,Y,,,,,,
icon_item_dungeon_static,98E000,992B80,8E4A40,8E5DE0,4B80,Y,,,,,,
icon_item_gameover_static,993000,996300,8E5DE0,8E74E0,3300,Y,,,,,,
nes_map_name_static,997000,99EA00,8E74E0,8EA9C0,7A00,Y,,,,,,
ger_map_name_static,99F000,9A6D00,8EA9C0,8EDF40,7D00,Y,,,,,,
fra_map_name_static,9A7000,9AEC00,8EDF40,8F16A0,7C00,Y,,,,,,
esp_map_name_static,9AF000,9B6C00,8F16A0,8F4C70,7C00,Y,,,,,,
icon_item_vtx_static,9B7000,9B72E0,8F4C70,8F4D60,2E0,Y,,,,,,
map_i_static,9B8000,9B9310,8F4D60,0,1310,N,,,,,,
map_grand_static,9B9310,9C2660,8F6070,0,9350,N,,,,,,
nes_item_name_static,9C2660,9D02F0,8FF3C0,0,DC90,N,,,,,,
ger_item_name_static,9D02F0,9DCD40,90D050,0,CA50,N,,,,,,
fra_item_name_static,9DCD40,9EA4E0,919AA0,0,D7A0,N,,,,,,
esp_item_name_static,9EA4E0,9F7F20,927240,0,DA40,N,,,,,,
DBG_00A02F20,9F7F20,9F9840,934C80,0,1920,N,,,,,,
DBG_00A04840,9F9840,9FB330,9365A0,0,1AF0,N,,,,,,
DBG_00A06330,9FB330,9FD200,938090,0,1ED0,N,,,,,,
DBG_00A08200,9FD200,9FEE70,939F60,0,1C70,N,,,,,,
icon_item_static,9FEE70,A44140,93BBD0,0,452D0,N,,,,,,
icon_item_24_static,A44140,A48A00,980EA0,0,48C0,N,,,,,,
schedule_dma_static_old,A48A00,A53C20,FFFFFFFF,FFFFFFFF,B220,Y,,,,,,
schedule_dma_static,A54000,A5AA10,985760,0,6A10,N,,,,,,
schedule_static,A5AA10,A610E0,98C170,98E3D0,66D0,Y,,,,,,
story_static,A62000,A87C00,98E3D0,9A9870,25C00,Y,,,,,,
nes_do_action_static,A88000,A8BF00,9A9870,0,3F00,N,,,,,,
ger_do_action_static,A8C000,A8FF00,9AD770,0,3F00,N,,,,,,
fra_do_action_static,A90000,A93F00,9B1670,0,3F00,N,,,,,,
esp_do_action_static,A94000,A97F00,9B5570,0,3F00,N,,,,,,
message_static,A98000,A9D180,9B9470,0,5180,N,,,,,,
message_texture_static,A9E000,A9F200,9BE5F0,0,1200,N,,,,,,
nes_font_static,AA0000,AA4E00,9BF7F0,0,4E00,N,,,,,,
nes_message_data_static,AA5000,B0EA80,9C45F0,0,69A80,N,,,,,,
ger_message_data_static,B0F000,B83DF0,A2E070,0,74DF0,N,,,,,,
fra_message_data_static,B84000,BF5130,AA2E60,0,71130,N,,,,,,
esp_message_data_static,BF6000,C645C0,B13F90,0,6E5C0,N,,,,,,
staff_message_data_static,C65000,C65E80,B82550,0,E80,N,,,,,,
nes_message_table_static,C66000,C6EF70,B833D0,0,8F70,N,,,,,,
ger_message_table_static,C6F000,C77D00,B8C340,0,8D00,N,,,,,,
fra_message_table_static,C78000,C80CE0,B95040,0,8CE0,N,,,,,,
esp_message_table_static,C81000,C89CE0,B9DD20,0,8CE0,N,,,,,,
code,C8A000,DBF730,BA6A00,C5E200,135730,Y,,,,,,
ovl_title,DBF730,DC0060,C5E200,C5E900,930,Y,80800000,80800930,930,0,gamestate,2
ovl_select,DC0060,DC3540,C5E900,C60840,34E0,Y,80800930,80803E10,34E0,0,gamestate,1
