offset,vram,.text
0,80080060,boot_main
F0,80080150,idle
5A0,80080600,viconfig
780,800807E0,z_std_dma
E20,80080E80,yaz0
1240,800812A0,irqmgr
1810,80081870,CIC6105
1910,80081970,syncprintf
1970,800819D0,file_001970
1980,800819E0,fault
3EB0,80083F10,fault_drawer
4940,800849A0,boot_80084940
49A0,80084A00,loadfragment
4DB0,80084E10,loadfragment2
5130,80085190,padutils
5320,80085380,stackcheck
5570,800855D0,gfxprint
6110,80086170,mtxuty-cvt
6280,800862E0,assert
62E0,80086340,boot_800862E0
6620,80086680,padsetup
6760,800867C0,boot_80086760
6C70,80086CD0,fp
6DD0,80086E30,system_malloc
6FA0,80087000,rand
7160,800871C0,__osMalloc
7830,80087890,sprintf
7900,80087960,printutils
7960,800879C0,sleep
7B00,80087B60,setcause
7B10,80087B70,sendmesg
7C60,80087CC0,pfsfreeblocks
7E00,80087E60,viextend
7E10,80087E70,stopthread
7ED0,80087F30,recvmesg
8010,80088070,setintmask
80B0,80088110,getintmask
8110,80088170,voicesetword
82A0,80088300,guScale
8350,800883B0,sinf
8510,80088570,sins
8580,800885E0,sptask
8840,800888A0,ll
8B00,80088B60,exceptasm
9430,80089490,thread
9470,800894D0,destroythread
9580,800895E0,voicecheckresult
9630,80089690,bzero
96D0,80089730,motor
9AA0,80089B00,siacs
9B60,80089BC0,controller
9E40,80089EA0,createthread
9F90,80089FF0,file_009F90
9FA0,8008A000,contreaddata
A180,8008A1E0,voicegetreaddata
A550,8008A5B0,virtualtophysical
A5D0,8008A630,getsr
A5E0,8008A640,setsr
A5F0,8008A650,writebackdcache
A670,8008A6D0,initialize
A9C0,8008AA20,file_00A9C0
AA20,8008AA80,vigetnextframebuf
AA60,8008AAC0,perspective
ACF0,8008AD50,sprawdma
AD80,8008ADE0,sirawdma
AE30,8008AE90,epilinkhandle
AE80,8008AEE0,viblack
AEF0,8008AF50,sirawread
AF40,8008AFA0,getthreadid
AF60,8008AFC0,sptaskyield
AF80,8008AFE0,pfsreadwritefile
B3D0,8008B430,pfsgetstatus
B600,8008B660,guMtxIdentF
B650,8008B6B0,visetmode
B6B0,8008B710,getconfig
B6C0,8008B720,setconfig
B6D0,8008B730,lookat
B9F0,8008BA50,pfsallocatefile
BE70,8008BED0,stoptimer
BF60,8008BFC0,probetlb
C020,8008C080,pimgr
C190,8008C1F0,piacs
C250,8008C2B0,file_00C250
C260,8008C2C0,devmgr
C670,8008C6D0,pirawdma
C740,8008C7A0,contpfs
D2C0,8008D320,getcount
D2D0,8008D330,file_00D2D0
D2E0,8008D340,guMtxL2F
D350,8008D3B0,getmemsize
