name,text size,data size,rodata size,ovl size,bss size
ovl_title,0x880,0x20,0x10,0x80,0x0
ovl_select,0x1370,0x710,0x1410,0x650,0x0
ovl_opening,0x1D0,0x10,0x0,0x40,0x0
ovl_file_choose,0x11310,0x10B0,0x30,0x730,0x30
ovl_daytelop,0xB70,0x7D0,0x0,0x80,0x0
ovl_kaleido_scope,0x129A0,0x1160,0x110,0x1540,0x40
ovl_Player_Actor,0x2DFA0,0x29C0,0x360,0x4410,0x80
ovl_En_Test,0xC40,0x20,0x20,0x80,0x0
ovl_En_GirlA,0x11C0,0x580,0x90,0x330,0x0
ovl_En_Part,0x570,0x40,0x10,0x60,0x0
ovl_En_Light,0xD20,0xA0,0x20,0x90,0x0
ovl_En_Door,0xDD0,0x450,0x10,0x190,0x10
ovl_En_Box,0x1F60,0x70,0x40,0x1B0,0x0
ovl_En_Pametfrog,0x3BB0,0x100,0x60,0x380,0x0
ovl_En_Okuta,0x2A50,0x110,0xB0,0x380,0x0
ovl_En_Bom,0x1FF0,0x1620,0x40,0x250,0x1C0
ovl_En_Wallmas,0x1B30,0xB0,0x30,0x250,0x0
ovl_En_Dodongo,0x2A40,0x300,0x50,0x2F0,0x0
ovl_En_Firefly,0x1D60,0xB0,0x40,0x1F0,0x0
ovl_En_Horse,0xD790,0x360,0x1D0,0xE50,0x0
ovl_En_Arrow,0x1F80,0x1E0,0x30,0x140,0x0
ovl_En_Elf,0x44B0,0xD0,0x140,0x490,0x0
ovl_En_Niw,0x2400,0xA0,0x90,0x260,0x0
ovl_En_Tite,0x32C0,0x100,0x30,0x350,0x0
ovl_En_Peehat,0x24E0,0x1B0,0xA0,0x300,0x0
ovl_En_Holl,0xBD0,0xC0,0x10,0xE0,0x0
ovl_En_Dinofos,0x3A70,0x280,0x90,0x480,0x0
ovl_En_Hata,0x430,0x20,0x10,0x50,0x0
ovl_En_Zl1,0x40,0x20,0x0,0x30,0x0
ovl_En_Viewer,0x5C0,0x30,0x10,0xB0,0x10
ovl_En_Bubble,0x1200,0xA0,0x40,0x130,0x0
ovl_Door_Shutter,0x1870,0x190,0x20,0x1C0,0x0
ovl_En_Boom,0xB20,0xC0,0x10,0xF0,0x0
ovl_En_Torch2,0x400,0x70,0x0,0x50,0x0
ovl_En_Minifrog,0x16B0,0x90,0x50,0x250,0x0
ovl_En_St,0x2540,0x190,0x30,0x1E0,0x0
ovl_Obj_Wturn,0x470,0x30,0x0,0x60,0x0
ovl_En_River_Sound,0x210,0x30,0x0,0x30,0x0
ovl_En_Ossan,0x3F70,0x2C0,0x120,0x530,0x0
ovl_En_Famos,0x1CC0,0xF0,0x20,0x1D0,0x0
ovl_En_Bombf,0x1220,0xB0,0x20,0xE0,0x0
ovl_En_Am,0x1380,0x160,0x10,0x170,0x0
ovl_En_Dekubaba,0x3A10,0x170,0x70,0x310,0x0
ovl_En_M_Fire1,0x110,0x50,0x0,0x30,0x0
ovl_En_M_Thunder,0x1D40,0x80,0x60,0x180,0x0
ovl_Bg_Breakwall,0xDC0,0x230,0x10,0x130,0x0
ovl_Door_Warp1,0x3690,0x60,0xD0,0x3B0,0x10
ovl_Obj_Syokudai,0xC90,0xA0,0x10,0x90,0x10
ovl_Item_B_Heart,0x370,0x30,0x10,0x40,0x0
ovl_En_Dekunuts,0x1D30,0xD0,0x40,0x200,0x0
ovl_En_Bbfall,0x1AF0,0xF0,0x50,0x1E0,0x0
ovl_Arms_Hook,0xB70,0xC0,0x10,0xD0,0x0
ovl_En_Bb,0x1A40,0xA0,0x50,0x1E0,0x0
