80080150,Idle_ClearMemory
800807E0,DmaMgr_DMARomToRam
80080924,DmaMgr_DmaCallback0
80080944,DmaMgr_FindDmaEntry
800809A0,DmaMgr_TranslateVromToRom
80080A0C,DmaMgr_FindDmaIndex
80080A44,func_800809F4
80080A58,DmaMgr_ProcessMsg
80080BD4,DmaMgr_ThreadEntry
80080C54,DmaMgr_SendRequestImpl
80080CE0,DmaMgr_SendRequest0
80080D5C,DmaMgr_Start
80080E50,DmaMgr_Stop
80081A50,Fault_AddClient
800855E0,GfxPrint_InitDlist
80085A2C,GfxPrint_SetColor
80085A78,GfxPrint_SetPosPx
80085A9C,GfxPrint_SetPos
80085AC4,GfxPrint_SetBasePosPx
80085AD8,GfxPrint_PrintCharImpl
80085DE4,GfxPrint_PrintChar
80085FA0,GfxPrint_PrintStringWithSize
80085FFC,GfxPrint_PrintString
80086054,GfxPrint_Callback
80086080,GfxPrint_Init
800860D4,GfxPrint_Destroy
800860DC,GfxPrint_Open
80086110,GfxPrint_Close
80086128,GfxPrint_VPrintf
80086148,GfxPrint_Printf
800897D0,bzero
800B3A40,Actor_PrintLists
800B5784,func_800B5814
800B763C,Actor_UpdateBgCheckInfo
800B7B88,Hilite_Draw
800B7D64,Hilite_DrawOpa
800B7D9C,Hilite_DrawXlu
800BB388,func_800BB604
800F4D00,Font_LoadChar
800F4D14,Font_LoadCharNES
800F4D80,Font_LoadMessageBoxEndIcon
800F4DC4,Font_LoadOrderedFont
800FEA90,Lib_MemCpy
800FEAC0,Lib_MemSet
800FEB44,Math_CosS
800FEB84,Math_SinS
800FEBC4,Math_StepToIImpl
800FEC08,Math_StepToIGet
800FEC34,Math_StepToI
800FEC70,Math_ScaledStepToS
800FED2C,Math_StepToS
800FEDB4,Math_StepToC
800FEE3C,Math_StepToF
800FEED0,Math_StepUntilAngleS
800FEF38,Math_StepToAngleS
800FEFFC,Math_AsymStepToS
800FF0A8,Math_StepUntilF
800FF0F8,Math_AsymStepToF
800FF1A0,func_800FF3A0
800FF250,Rand_S16Offset
800FF2A4,Rand_S16OffsetStride
800FF30C,Math_Vec3f_Copy
800FF32C,Math_Vec3s_Copy
800FF34C,Math_Vec3s_ToVec3f
800FF384,Math_Vec3f_ToVec3s
800FF3BC,Math_Vec3f_Sum
800FF3F4,Math_Vec3f_Diff
800FF42C,Math_Vec3s_DiffToVec3f
800FF488,Math_Vec3f_Scale
800FF4C4,Math_Vec3f_ScaleAndStore
800FF4F8,Math_Vec3f_Lerp
800FF550,Math_Vec3f_SumScaled
800FF59C,Math_Vec3f_AddRand
800FF610,Math_Vec3f_DistXYZAndStoreNormDiff
800FF684,Math_Vec3f_DistXYZ
800FF6D4,Math_Vec3f_DistXYZAndStoreDiff
800FF72C,Math_Vec3f_DistXZ
800FF760,Math_Vec3f_DistXZAndStore
800FF7A4,Math_Vec3f_StepToXZ
800FF84C,Math_Vec3f_DiffY
800FF860,Math_Vec3f_Yaw
800FF894,Math_Vec3f_Pitch
800FF8DC,Actor_ProcessInitChain
800FF954,IChain_Apply_u8
800FF970,IChain_Apply_s8
800FF98C,IChain_Apply_u16
800FF9A8,IChain_Apply_s16
800FF9C4,IChain_Apply_u32
800FF9E0,IChain_Apply_s32
800FF9FC,IChain_Apply_f32
800FFA20,IChain_Apply_f32div1000
800FFA50,IChain_Apply_Vec3f
800FFA7C,IChain_Apply_Vec3fdiv1000
800FFAB4,IChain_Apply_Vec3s
800FFAD8,Math_SmoothStepToF
800FFBF8,Math_ApproachF
800FFC68,Math_ApproachZeroF
800FFCBC,Math_SmoothStepToS
800FFDD8,Math_ApproachS
800FFE7C,Color_RGBA8_Copy
800FFEA4,func_801000A4
800FFECC,func_801000CC
800FFEF4,Lib_PlaySfxAtPos
800FFF1C,Lib_Vec3f_TranslateAndRotateY
800FFFB8,Lib_LerpRGB
80100248,Math_Vec3f_StepTo
801002FC,Lib_Nop801004FC
80100304,Lib_SegmentedToVirtual
8010033C,Lib_SegmentedToVirtualNull
80100384,Lib_PhysicalToVirtual
801003A0,Lib_PhysicalToVirtualNull
8013539C,SkelAnime_GetFrameDataLegacy
8013F210,View_ViewportToVp
8013F2A4,View_Init
8013F34C,View_SetViewOrientation
8013F400,func_8013F050
8013F450,View_SetScale
8013F470,View_GetScale
8013F480,View_SetPerspective
8013F4B0,func_8013F100
8013F4D0,func_8013F120
8013F50C,func_8013F15C
8013F52C,View_SetViewport
8013F560,View_GetViewport
8013F588,View_WriteScissor
8013F63C,View_SyncAndWriteScissor
8013F6A8,View_SetScissorForLetterbox
8013F7A8,View_SetDistortionDirRot
8013F7D0,View_SetDistortionScale
8013F7F8,View_SetDistortionSpeed
8013F80C,View_InitDistortion
8013F870,View_ClearDistortion
8013F8A4,View_SetDistortion
8013F8FC,View_StepDistortion
8013FAAC,View_Apply
