801E5120,sActorFaultClient,FaultClient,0x10
801E5130,D_801ED8B0,CollisionPoly*,0x4
801E5134,D_801ED8B4,s32,0x4
801E5138,D_801ED8B8,Actor*,0x4
801E513C,D_801ED8BC,Actor*,0x4
801E5140,D_801ED8C0,Actor*,0x4
801E5144,D_801ED8C4,Actor*,0x4
801E5148,D_801ED8C8,f32,0x4
801E514C,sBgmEnemyDistSq,f32,0x4
801E5150,D_801ED8D0,f32,0x4
801E5154,D_801ED8D4,s32,0x4
801E5158,D_801ED8D8,s32,0x4
801E515C,D_801ED8DC,s16,0x2
801E5160,D_801ED8E0,Mtx,0x40
801E51A0,D_801ED920,Actor*,0x4
801E6EF0,gSaveContext,SaveContext,0x48E8
801EB7E0,gGameInfo,GameInfo*,0x4
80379D00,gSystemHeap,u8,0x1
