File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,24F60,1060,0,23F00,N,,,,,,
dmadata,24F60,2B2D0,24F60,0,6370,N,,,,,,
Audiobank,2B2D0,516C0,2B2D0,0,263F0,N,,,,,,
Audioseq,516C0,A2B40,516C0,0,51480,N,,,,,,
Audiotable,A2B40,5EB2B0,A2B40,0,548770,N,,,,,,
link_animetion,5EB2B0,8E5050,5EB2B0,0,2F9DA0,N,,,,,object,
icon_item_static_old,8E6000,97BEC0,FFFFFFFF,FFFFFFFF,95EC0,Y,,,,,,
icon_item_24_static_old,97C000,983700,FFFFFFFF,FFFFFFFF,7700,Y,,,,,,
icon_item_field_static,984000,998AF0,8E5050,8EF370,14AF0,Y,,,,,,
icon_item_dungeon_static,999000,99DB80,8EF370,8F0710,4B80,Y,,,,,,
icon_item_gameover_static,99E000,9A1300,8F0710,8F1E10,3300,Y,,,,,,
nes_map_name_static,9A2000,9A9A00,8F1E10,8F52F0,7A00,Y,,,,,,
ger_map_name_static,9AA000,9B1D00,8F52F0,8F8870,7D00,Y,,,,,,
fra_map_name_static,9B2000,9B9C00,8F8870,8FBFD0,7C00,Y,,,,,,
esp_map_name_static,9BA000,9C1C00,8FBFD0,8FF5A0,7C00,Y,,,,,,
icon_item_vtx_static,9C2000,9C22E0,8FF5A0,8FF690,2E0,Y,,,,,,
map_i_static,9C3000,9C4310,8FF690,0,1310,N,,,,,,
map_grand_static,9C4310,9CD660,9009A0,0,9350,N,,,,,,
nes_item_name_static,9CD660,9DB2F0,909CF0,0,DC90,N,,,,,,
ger_item_name_static,9DB2F0,9E7D40,917980,0,CA50,N,,,,,,
fra_item_name_static,9E7D40,9F54E0,9243D0,0,D7A0,N,,,,,,
esp_item_name_static,9F54E0,A02F20,931B70,0,DA40,N,,,,,,
DBG_00A02F20,A02F20,A04840,93F5B0,0,1920,N,,,,,,
DBG_00A04840,A04840,A06330,940ED0,0,1AF0,N,,,,,,
DBG_00A06330,A06330,A08200,9429C0,0,1ED0,N,,,,,,
DBG_00A08200,A08200,A09E70,944890,0,1C70,N,,,,,,
icon_item_static,A09E70,A4F140,946500,0,452D0,N,,,,,,
icon_item_24_static,A4F140,A53A00,98B7D0,0,48C0,N,,,,,,
schedule_dma_static_old,A53A00,A5EC20,FFFFFFFF,FFFFFFFF,B220,Y,,,,,,
schedule_dma_static,A5F000,A65A10,990090,0,6A10,N,,,,,,
schedule_static,A65A10,A6C0E0,996AA0,998D00,66D0,Y,,,,,,
story_static,A6D000,A92C00,998D00,9B41A0,25C00,Y,,,,,,
nes_do_action_static,A93000,A96F00,9B41A0,0,3F00,N,,,,,,
ger_do_action_static,A97000,A9AF00,9B80A0,0,3F00,N,,,,,,
fra_do_action_static,A9B000,A9EF00,9BBFA0,0,3F00,N,,,,,,
esp_do_action_static,A9F000,AA2F00,9BFEA0,0,3F00,N,,,,,,
message_static,AA3000,AA8180,9C3DA0,0,5180,N,,,,,,
message_texture_static,AA9000,AAA200,9C8F20,0,1200,N,,,,,,
