name,text size,data size,rodata size,ovl size,bss size
ovl_title,0xC00,0x20,0x110,0xF0,0x0
ovl_select,0x1520,0x710,0x1470,0x670,0x0
ovl_opening,0x240,0x10,0x40,0x40,0x0
ovl_file_choose,0x12200,0x10B0,0x540,0x8D0,0x30
ovl_daytelop,0xD30,0x7D0,0x1B0,0x130,0x0
ovl_kaleido_scope,0x16450,0x1430,0x9D0,0x1B70,0x40
ovl_Player_Actor,0x325D0,0x29C0,0x610,0x4520,0x90
ovl_En_Test,0xDA0,0x20,0x70,0xA0,0x0
ovl_En_GirlA,0x14D0,0x630,0x3E0,0x3F0,0x0
ovl_En_Part,0x610,0x40,0x40,0x70,0x0
ovl_En_Light,0xE00,0xA0,0x50,0xA0,0x0
ovl_En_Door,0xF40,0x450,0x30,0x1A0,0x10
ovl_En_Box,0x2320,0x70,0x110,0x210,0x0
ovl_En_Pametfrog,0x4370,0x100,0xA0,0x380,0x0
ovl_En_Okuta,0x2E70,0x110,0xE0,0x390,0x0
ovl_En_Bom,0x21C0,0x1620,0xD0,0x2A0,0x1C0
ovl_En_Wallmas,0x1F60,0xB0,0xB0,0x280,0x0
ovl_En_Dodongo,0x2DA0,0x300,0x50,0x2F0,0x0
ovl_En_Firefly,0x2000,0xB0,0x70,0x200,0x0
ovl_En_Horse,0xE760,0x360,0x2F0,0xEB0,0x0
ovl_En_Arrow,0x21B0,0x1E0,0xD0,0x190,0x0
ovl_En_Elf,0x49C0,0xD0,0x1A0,0x4C0,0x0
ovl_En_Niw,0x2690,0xA0,0xC0,0x280,0x0
ovl_En_Tite,0x3820,0x100,0x80,0x380,0x0
ovl_En_Peehat,0x2900,0x1B0,0x110,0x330,0x0
ovl_En_Holl,0xD30,0xC0,0x40,0xF0,0x0
ovl_En_Dinofos,0x40C0,0x280,0xC0,0x490,0x0
ovl_En_Hata,0x4A0,0x20,0x10,0x50,0x0
ovl_En_Zl1,0x40,0x20,0x0,0x30,0x0
ovl_En_Viewer,0x660,0x30,0x10,0xB0,0x10
ovl_En_Bubble,0x1410,0xA0,0x70,0x150,0x0
ovl_Door_Shutter,0x1B10,0x190,0x70,0x1E0,0x0
ovl_En_Boom,0xC10,0xC0,0x40,0x110,0x0
ovl_En_Torch2,0x4C0,0x70,0x30,0x60,0x0
ovl_En_Minifrog,0x19E0,0x90,0xC0,0x270,0x0
ovl_En_St,0x2880,0x190,0x80,0x210,0x0
ovl_Obj_Wturn,0x590,0x30,0x40,0x60,0x0
ovl_En_River_Sound,0x2F0,0x30,0x40,0x40,0x0
ovl_En_Ossan,0x4710,0x2D0,0x310,0x5A0,0x0
ovl_En_Famos,0x2110,0xF0,0x50,0x1F0,0x0
ovl_En_Bombf,0x1390,0xB0,0x70,0x110,0x0
ovl_En_Am,0x16A0,0x160,0x30,0x180,0x0
ovl_En_Dekubaba,0x3FE0,0x170,0x1B0,0x390,0x0
ovl_En_M_Fire1,0x170,0x50,0x0,0x30,0x0
ovl_En_M_Thunder,0x1EA0,0x80,0xB0,0x1A0,0x0
ovl_Bg_Breakwall,0x1070,0x230,0x140,0x190,0x0
ovl_Door_Warp1,0x3BA0,0x60,0x210,0x410,0x10
ovl_Obj_Syokudai,0xD30,0xA0,0x60,0xB0,0x10
ovl_Item_B_Heart,0x420,0x30,0x60,0x60,0x0
ovl_En_Dekunuts,0x20F0,0xD0,0x40,0x200,0x0
ovl_En_Bbfall,0x1DE0,0xF0,0xC0,0x210,0x0
ovl_Arms_Hook,0xCA0,0xC0,0x60,0xF0,0x0
ovl_En_Bb,0x1D50,0xA0,0xB0,0x210,0x0
ovl_Bg_Keikoku_Spr,0x1D0,0x30,0x50,0x50,0x0
ovl_En_Wood02,0x11F0,0xB0,0xD0,0x170,0x10
ovl_En_Death,0x5110,0x2A0,0x220,0x560,0x0
ovl_En_Minideath,0x2180,0xD0,0x10,0x240,0x10
ovl_En_Vm,0x1480,0x130,0x60,0x170,0x0
ovl_Demo_Effect,0xDB0,0x60,0x130,0x180,0x0
ovl_Demo_Kankyo,0x20F0,0x30,0x140,0x220,0x0
ovl_En_Floormas,0x3800,0xE0,0xF0,0x450,0x0
ovl_En_Rd,0x37E0,0x90,0xB0,0x380,0x0
