File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,neg,,,npd,,,cj0,,,ce0,,,cp0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
idle,,Start of data,,,,,,,16AC0,80096B20,20,,,,16C60,80096CC0,20,17020,80097080,20,16AC0,80096B20,20,,,,,,,,,,,,
viconfig,,,,,,,,,16AE0,80096B40,10,,,,16C80,80096CE0,10,17040,800970A0,10,16AE0,80096B40,10,,,,,,,,,,,,
z_std_dma,,,,,,,,,16AF0,80096B50,10,,,,16C90,80096CF0,10,17050,800970B0,10,16AF0,80096B50,10,,,,,,,,,,,,
irqmgr,,,,,,,,,16B00,80096B60,20,,,,16CA0,80096D00,20,17060,800970C0,20,16B00,80096B60,20,,,,,,,,,,,,
fault,,,,,,,,,16B20,80096B80,60,,,,16CC0,80096D20,60,17080,800970E0,60,16B20,80096B80,60,,,,,,,,,,,,
fault_drawer,,,,,,,,,16B80,80096BE0,40,,,,16D20,80096D80,40,170E0,80097140,40,16B80,80096BE0,40,,,,,,,,,,,,
loadfragment,,,,,,,,,16BC0,80096C20,10,,,,16D60,80096DC0,10,17120,80097180,10,16BC0,80096C20,10,,,,,,,,,,,,
loadfragment2,,,,,,,,,16BD0,80096C30,10,,,,16D70,80096DD0,10,17130,80097190,10,16BD0,80096C30,10,,,,,,,,,,,,
stackcheck,,,,,,,,,16BE0,80096C40,10,,,,16D80,80096DE0,10,17140,800971A0,10,16BE0,80096C40,10,,,,,,,,,,,,
gfxprint,,,,,,,,,16BF0,80096C50,8B0,,,,16D90,80096DF0,8B0,17150,800971B0,8B0,16BF0,80096C50,8B0,,,,,,,,,,,,
boot_800862E0,,,,,,,,,174A0,80097500,20,,,,17640,800976A0,20,17A00,80097A60,20,174A0,80097500,20,,,,,,,,,,,,
fp,,,,,,,,,174C0,80097520,10,,,,17660,800976C0,10,17A20,80097A80,10,174C0,80097520,10,,,,,,,,,,,,
rand,,,,,,,,,174D0,80097530,10,,,,17670,800976D0,10,17A30,80097A90,10,174D0,80097530,10,,,,,,,,,,,,
