File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,neg,,,npd,,,cj0,,,ce0,,,cp0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
boot_main,,Start of rodata,19160,800991C0,1F50,190A0,80099100,,18130,80098190,10,18280,800982E0,,183C0,80098420,,186A0,80098700,10,18130,80098190,10,20EB0,800A0F10,,,,,,,,,,
idle,,,,,,,,,18140,800981A0,20,,,,,,,186B0,80098710,20,18140,800981A0,20,,,,,,,,,,,,
z_std_dma,,,,,,,,,18160,800981C0,50,,,,,,,186D0,80098730,50,18160,800981C0,50,,,,,,,,,,,,
yaz0,,,,,,,,,181B0,80098210,50,,,,,,,18720,80098780,50,181B0,80098210,50,,,,,,,,,,,,
irqmgr,,,,,,,,,18200,80098260,20,,,,,,,18770,800987D0,20,18200,80098260,20,,,,,,,,,,,,
CIC6105,,,,,,,,,18220,80098280,30,,,,,,,18790,800987F0,30,18220,80098280,30,,,,,,,,,,,,
assert_debug,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,021860,800A18C0,20,,,,,,,,,
fault,,,,,,,,,18250,800982B0,9A0,,,,,,,187C0,80098820,9A0,18250,800982B0,9A0,,,,,,,,,,,,
fault_drawer,,,,,,,,,18BF0,80098C50,440,,,,,,,19160,800991C0,440,18BF0,80098C50,440,,,,,,,,,,,,
gfxprint,,,,,,,,,19030,80099090,20,,,,,,,195A0,80099600,20,19030,80099090,20,,,,,,,,,,,,
assert,,,,,,,,,19050,800990B0,10,,,,,,,195C0,80099620,10,19050,800990B0,10,-,-,-,,,,,,,,,
boot_80086760,,,,,,,,,19060,800990C0,50,,,,,,,195D0,80099630,50,19060,800990C0,50,,,,,,,,,,,,
__osMalloc,,,,,,,,,190B0,80099110,90,,,,,,,19620,80099680,170,190B0,80099110,90,,,,,,,,,,,,
setintmask,,,,,,,,,19140,800991A0,80,,,,,,,19790,800997F0,80,19140,800991A0,80,,,,,,,,,,,,
sinf,,,,,,,,,191C0,80099220,50,,,,,,,19810,80099870,50,191C0,80099220,50,,,,,,,,,,,,
exceptasm,,,,,,,,,19210,80099270,50,,,,,,,19860,800998C0,50,19210,80099270,50,,,,,,,,,,,,
perspective,,,,,,,,,19260,800992C0,10,,,,,,,198B0,80099910,10,19260,800992C0,10,,,,,,,,,,,,
devmgr,,,,,,,,,19270,800992D0,20,,,,,,,198C0,80099920,20,19270,800992D0,20,,,,,,,,,,,,
lookathil,,,,,,,,,19290,800992F0,10,,,,,,,198E0,80099940,10,19290,800992F0,10,,,,,,,,,,,,
xprintf,,,,,,,,,192A0,80099300,100,,,,,,,198F0,80099950,100,192A0,80099300,100,,,,,,,,,,,,
cosf,,,,,,,,,193A0,80099400,50,,,,,,,199F0,80099A50,50,193A0,80099400,50,,,,,,,,,,,,
__libm_qnan_f,,,,,,,,,193F0,80099450,10,,,,,,,19A40,80099AA0,10,193F0,80099450,10,,,,,,,,,,,,
xldtob,,,,,,,,,19400,80099460,60,,,,,,,19A50,80099AB0,60,19400,80099460,60,,,,,,,,,,,,
llcvt,,,,,,,,,19460,800994C0,10,,,,,,,19AB0,80099B10,10,19460,800994C0,10,,,,,,,,,,,,
build,,,,,,,,,19470,800994D0,30,,,,,,,19AC0,80099B20,30,19470,800994D0,30,023ED0,800A3F30,30,,,,,,,,,
