File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,npd,,,ce0,,,cp0,,,cj0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
boot_main,,Start of text,0,80080060,F0,0,80080060,F0,0,80080060,F0,0,80080060,F0,0,80080060,F0,0,80080060,F0,0,80080060,,0,80080060,,0,80080060,,0,80080060,
idle,,,F0,80080150,490,F0,80080150,490,F0,80080150,490,F0,80080150,4B0,F0,80080150,4B0,F0,80080150,490,,,,100,80080160,4B0,,,,,,
viconfig,,,580,800805E0,1B0,580,800805E0,1B0,580,800805E0,1B0,5A0,80080600,1E0,5A0,80080600,1E0,580,800805E0,1B0,,,,5B0,80080610,1E0,,,,,,
z_std_dma,,,730,80080790,690,730,80080790,6A0,730,80080790,6A0,780,800807E0,6A0,780,800807E0,6A0,730,80080790,6A0,,,,790,800807F0,6B0,,,,,,
yaz0,,,DC0,80080E20,420,DD0,80080E30,420,DD0,80080E30,420,E20,80080E80,420,E20,80080E80,420,DD0,80080E30,420,,,,E40,80080EA0,420,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irqmgr,,,11E0,80081240,5C0,11F0,80081250,5C0,11F0,80081250,5D0,1240,800812A0,5D0,1240,800812A0,5D0,11F0,80081250,5D0,,,,12D0,80081330,5D0,,,,,,
CIC6105,,,17A0,80081800,280,17B0,80081810,280,17C0,80081820,100,1810,80081870,100,1810,80081870,100,17C0,80081820,100,,,,18A0,80081900,100,,,,,,
syncprintf,,,1A20,80081A80,60,1A30,80081A90,60,18C0,80081920,60,1910,80081970,60,1910,80081970,60,18C0,80081920,60,,,,19A0,80081A00,60,,,,,,
nj0_80081AE0,,"Lot of coprocessor stuff, looks handwritten",1A80,80081AE0,B0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
[PADDING],,,1B30,80081B90,10,1A90,80081AF0,10,-,-,-,1970,800819D0,10,1970,800819D0,10,-,-,-,,,,,,,,,,,,
fault,,,1B40,80081BA0,2530,1AA0,80081B00,2530,1920,80081980,2530,1980,800819E0,2530,1980,800819E0,2530,1920,80081980,2530,,,,1A00,80081A60,,,,,,,
fault_drawer,,,4070,800840D0,A90,3FD0,80084030,A90,3E50,80083EB0,A90,3EB0,80083F10,A90,3EB0,80083F10,A90,3E50,80083EB0,A90,,,,,,,,,,,,
boot_80084940,,,4B00,80084B60,330,4A60,80084AC0,330,48E0,80084940,60,4940,800849A0,60,4940,800849A0,60,48E0,80084940,60,,,,49C0,80084A20,60,,,,,,
loadfragment,,,4E30,80084E90,6B0,4D90,80084DF0,6B0,4940,800849A0,410,49A0,80084A00,410,49A0,80084A00,440,4940,800849A0,410,,,,,,,,,,,,
loadfragment2,,,54E0,80085540,4B0,5440,800854A0,4B0,4D50,80084DB0,380,4DB0,80084E10,380,4DE0,80084E40,360,4D50,80084DB0,380,,,,,,,,,,,,
,,"3 files, each containing an overlay-loading function",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
padutils,,,5990,800859F0,1F0,58F0,80085950,1F0,50D0,80085130,1F0,5130,80085190,1F0,5140,800851A0,1F0,50D0,80085130,1F0,,,,4DA0,80084E00,1F0,,,,,,
