,1,nj0,nj1,ne0,np0,np1,nek,neg,npd,cj0,ce0,cp0
Function,Notes,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM
Cutscene_TerminatorImpl,,800ECEBC,800ECE6C,800EB364,,,,,,,,
Cutscene_IsPlayingCs,,800EFE4C,800EFDFC,800EE2F4,,,,,,,,
bootproc,,,,80080060,,,,,,,,
Idle_ClearMemory,,,,80080150,,,,,,,,
Idle_InitFramebuffer,,,,80080180,,,,,,,,
Idle_InitScreen,,,,8008019C,,,,,,,,
Idle_InitMemory,,,,800801EC,,,,,,,,
Idle_InitCodeAndMemory,,,,80080250,,,,,,,,
Main_ThreadEntry,,,,80080300,,,,,,,,
Idle_InitVideo,,,,8008038C,,,,,,,,
Idle_ThreadEntry,,,,80080514,,,,,,,,
ViConfig_UpdateVi,,,,800805E0,,,,,,,,
ViConfig_UpdateBlack,,,,80080748,,,,,,,,
DmaMgr_DMARomToRam,,,,80080790,,800807E0,,,,,,
DmaMgr_DmaCallback0,,,,800808D4,,80080924,,,,,,
DmaMgr_FindDmaEntry,,,,800808F4,,80080944,,,,,,
DmaMgr_TranslateVromToRom,,,,80080950,,800809A0,,,,,,
DmaMgr_FindDmaIndex,,,,800809BC,,80080A0C,,,,,,
func_800809F4,,,,800809F4,,80080A44,,,,,,
DmaMgr_ProcessMsg,,,,80080A08,,80080A58,,,,,,
DmaMgr_ThreadEntry,,,,80080B84,,80080BD4,,,,,,
DmaMgr_SendRequestImpl,,,,80080C04,,80080C54,,,,,,
DmaMgr_SendRequest0,,,,80080C90,,80080CE0,,,,,,
DmaMgr_Start,,,,80080D0C,,80080D5C,,,,,,
DmaMgr_Stop,,,,80080E00,,80080E50,,,,,,
Yaz0_FirstDMA,,,,80080E30,,,,,,,,
Yaz0_NextDMA,,,,80080ED0,,,,,,,,
Yaz0_DecompressImpl,,,,80080FF0,,,,,,,,
Yaz0_Decompress,,,,80081178,,,,,,,,
IrqMgr_AddClient,,,,80081250,,,,,,,,
IrqMgr_RemoveClient,,,,800812DC,,,,,,,,
IrqMgr_SendMesgForClient,,,,80081368,,,,,,,,
IrqMgr_JamMesgForClient,,,,800813B8,,,,,,,,
IrqMgr_HandlePreNMI,,,,8008141C,,,,,,,,
IrqMgr_CheckStack,,,,800814B4,,,,,,,,
IrqMgr_HandlePRENMI450,,,,800814D4,,,,,,,,
IrqMgr_HandlePRENMI480,,,,80081550,,,,,,,,
IrqMgr_HandlePRENMI500,,,,800815A8,,,,,,,,
IrqMgr_HandleRetrace,,,,800815CC,,,,,,,,
IrqMgr_ThreadEntry,,,,80081684,,,,,,,,
IrqMgr_Init,,,,80081754,,,,,,,,
CIC6105_Nop80081820,,,,80081820,,,,,,,,
CIC6105_Nop80081828,,,,80081828,,,,,,,,
CIC6105_PrintRomInfo,,,,80081830,,,,,,,,
CIC6105_AddRomInfoFaultPage,,,,8008189C,,,,,,,,
CIC6105_RemoveRomInfoFaultPage,,,,800818D0,,,,,,,,
func_800818F4,,,,800818F4,,,,,,,,
__osSyncVPrintf,,,,80081920,,,,,,,,
osSyncPrintf,,,,8008193C,,,,,,,,
rmonPrintf,,,,80081958,,,,,,,,
Fault_SleepImpl,,,,80081980,,,,,,,,
Fault_AddClient,,,,800819F0,,,,,,,,
Fault_RemoveClient,,,,80081AD4,,,,,,,,
Fault_AddAddrConvClient,,,,80081BCC,,,,,,,,
Fault_RemoveAddrConvClient,,,,80081CA4,,,,,,,,
Fault_ConvertAddress,,,,80081D9C,,,,,,,,
Fault_Sleep,,,,80081E2C,,,,,,,,
Fault_PadCallback,,,,80081E68,,,,,,,,
Fault_UpdatePadImpl,,,,80081EA4,,,,,,,,
Fault_WaitForInputImpl,,,,80081EF0,,,,,,,,
Fault_WaitForInput,,,,8008203C,,,,,,,,
Fault_DrawRec,,,,80082078,,,,,,,,
Fault_FillScreenBlack,,,,800820D8,,,,,,,,
Fault_FillScreenRed,,,,8008212C,,,,,,,,
Fault_DrawCornerRec,,,,80082180,,,,,,,,
Fault_PrintFReg,,,,800821D4,,,,,,,,
osSyncPrintfFReg,,,,80082280,,,,,,,,
Fault_PrintFPCR,,,,80082330,,,,,,,,
osSyncPrintfFPCR,,,,800823D4,,,,,,,,
Fault_PrintThreadContext,,,,8008246C,,,,,,,,
osSyncPrintfThreadContext,,,,800827BC,,,,,,,,
Fault_FindFaultedThread,,,,80082AB8,,,,,,,,
Fault_Wait5Seconds,,,,80082B40,,,,,,,,
Fault_WaitForButtonCombo,,,,80082BD0,,,,,,,,
Fault_DrawMemDumpPage,,,,80082C6C,,,,,,,,
Fault_DrawMemDump,,,,80082DD8,,,,,,,,
Fault_FindNextStackCall,,,,80082FD0,,,,,,,,
Fault_DrawStackTrace,,,,80083144,,,,,,,,
osSyncPrintfStackTrace,,,,800832D4,,,,,,,,
Fault_ResumeThread,,,,80083450,,,,,,,,
Fault_CommitFB,,,,800834CC,,,,,,,,
Fault_ProcessClients,,,,8008358C,,,,,,,,
Fault_SetOptionsFromController3,,,,80083670,,,,,,,,
Fault_SetOptions,,,,800837E4,,,,,,,,
Fault_ThreadEntry,,,,80083828,,,,,,,,
Fault_SetFB,,,,80083B70,,,,,,,,
Fault_Start,,,,80083BC4,,,,,,,,
Fault_HangupFaultClient,,,,80083CF8,,,,,,,,
Fault_AddHungupAndCrashImpl,,,,80083DF4,,,,,,,,
Fault_AddHungupAndCrash,,,,80083E4C,,,,,,,,
FaultDrawer_SetOsSyncPrintfEnabled,,,,80083EB0,,,,,,,,
FaultDrawer_DrawRecImpl,,,,80083EC4,,,,,,,,
FaultDrawer_DrawChar,,,,80083FE4,,,,,,,,
FaultDrawer_ColorToPrintColor,,,,80084160,,,,,,,,
FaultDrawer_UpdatePrintColor,,,,80084210,,,,,,,,
FaultDrawer_SetForeColor,,,,800842BC,,,,,,,,
FaultDrawer_SetBackColor,,,,80084308,,,,,,,,
FaultDrawer_SetFontColor,,,,80084354,,,,,,,,
FaultDrawer_SetCharPad,,,,8008439C,,,,,,,,
FaultDrawer_SetCursor,,,,800843D4,,,,,,,,
FaultDrawer_FillScreen,,,,800844D8,,,,,,,,
FaultDrawer_FormatStringFunc,,,,80084568,,,,,,,,
FaultDrawer_VPrintf,,,,8008477C,,,,,,,,
FaultDrawer_Printf,,,,800847CC,,,,,,,,
FaultDrawer_DrawText,,,,8008481C,,,,,,,,
FaultDrawer_SetDrawerFB,,,,8008486C,,,,,,,,
FaultDrawer_SetInputCallback,,,,800848A4,,,,,,,,
FaultDrawer_Init,,,,800848B8,,,,,,,,
func_80084940,,,,80084940,,,,,,,,
func_80084968,,,,80084968,,,,,,,,
Load_Relocate,,,,800849A0,,,,,,,,
Load_LoadOverlay,,,,80084C0C,,,,,,,,
Load_AllocateAndLoad,,,,80084CD0,,,,,,,,
Load2_Relocate,,,,80084DB0,,,,,,,,
Load2_LoadOverlay,,,,8008501C,,,,,,,,
Overlay_AllocateAndLoad,,,,800850C8,,,,,,,,
PadUtils_Init,,,,80085130,,,,,,,,
func_80085150,,,,80085150,,,,,,,,
PadUtils_ResetPressRel,,,,80085158,,,,,,,,
PadUtils_CheckCurExact,,,,80085164,,,,,,,,
PadUtils_CheckCur,,,,8008517C,,,,,,,,
PadUtils_CheckPressed,,,,80085198,,,,,,,,
PadUtils_CheckReleased,,,,800851B4,,,,,,,,
PadUtils_GetCurButton,,,,800851D0,,,,,,,,
PadUtils_GetPressButton,,,,800851D8,,,,,,,,
PadUtils_GetCurX,,,,800851E0,,,,,,,,
PadUtils_GetCurY,,,,800851E8,,,,,,,,
PadUtils_SetRelXY,,,,800851F0,,,,,,,,
PadUtils_GetRelXImpl,,,,800851FC,,,,,,,,
PadUtils_GetRelYImpl,,,,80085204,,,,,,,,
PadUtils_GetRelX,,,,8008520C,,,,,,,,
PadUtils_GetRelY,,,,8008522C,,,,,,,,
PadUtils_UpdateRelXY,,,,8008524C,,,,,,,,
StackCheck_Init,,,,80085320,,,,,,,,
StackCheck_Cleanup,,,,800853F8,,,,,,,,
StackCheck_GetState,,,,80085468,,,,,,,,
StackCheck_CheckAll,,,,800854E0,,,,,,,,
StackCheck_Check,,,,80085538,,,,,,,,
GfxPrint_InitDlist,,,,80085570,,800855E0,,,,,,
GfxPrint_SetColor,,,,800859BC,,80085A2C,,,,,,
GfxPrint_SetPosPx,,,,80085A08,,80085A78,,,,,,
GfxPrint_SetPos,,,,80085A2C,,80085A9C,,,,,,
GfxPrint_SetBasePosPx,,,,80085A54,,80085AC4,,,,,,
GfxPrint_PrintCharImpl,,,,80085A68,,80085AD8,,,,,,
GfxPrint_PrintChar,,,,80085D74,,80085DE4,,,,,,
GfxPrint_PrintStringWithSize,,,,80085F30,,80085FA0,,,,,,
GfxPrint_PrintString,,,,80085F8C,,80085FFC,,,,,,
GfxPrint_Callback,,,,80085FE4,,80086054,,,,,,
GfxPrint_Init,,,,80086010,,80086080,,,,,,
GfxPrint_Destroy,,,,80086064,,800860D4,,,,,,
GfxPrint_Open,,,,8008606C,,800860DC,,,,,,
GfxPrint_Close,,,,800860A0,,80086110,,,,,,
GfxPrint_VPrintf,,,,800860B8,,80086128,,,,,,
GfxPrint_Printf,,,,800860D8,,80086148,,,,,,
MtxConv_F2L,,,,80086110,,,,,,,,
MtxConv_L2F,,,,80086258,,,,,,,,
__assert,,,,80086280,,,,,,,,
func_800862B4,,,,800862B4,,,,,,,,
SystemArena_MallocMin1,,,,800862E0,,,,,,,,
SystemArena_FreeNull,,,,80086310,,,,,,,,
func_8008633C,,,,8008633C,,,,,,,,
func_800863AC,,,,800863AC,,,,,,,,
func_8008641C,,,,8008641C,,,,,,,,
func_800864EC,,,,800864EC,,,,,,,,
func_80086588,,,,80086588,,,,,,,,
SystemArena_Init,,,,800865F8,,,,,,,,
PadSetup_Init,,,,80086620,,,,,,,,
func_80086760,,,,80086760,,,,,,,,
func_80086794,,,,80086794,,,,,,,,
func_800867B4,,,,800867B4,,,,,,,,
func_800867D4,,,,800867D4,,,,,,,,
func_800867F4,,,,800867F4,,,,,,,,
func_80086814,,,,80086814,,,,,,,,
func_80086834,,,,80086834,,,,,,,,
func_80086880,,,,80086880,,,,,,,,
func_800869A4,,,,800869A4,,,,,,,,
func_80086AF0,,,,80086AF0,,,,,,,,
func_80086B30,,,,80086B30,,,,,,,,
func_80086C18,,,,80086C18,,,,,,,,
func_80086C48,,,,80086C48,,,,,,,,
func_80086C70,,,,80086C70,,,,,,,,
func_80086C7C,,,,80086C7C,,,,,,,,
func_80086C88,,,,80086C88,,,,,,,,
func_80086C98,,,,80086C98,,,,,,,,
func_80086CA8,,,,80086CA8,,,,,,,,
func_80086CB4,,,,80086CB4,,,,,,,,
func_80086CC0,,,,80086CC0,,,,,,,,
