offset,vram,.text
0,80010EE0,z_en_a_keep
AA0,80011980,z_en_item00
2EA0,80013D80,z_eff_blure
62D0,800171B0,z_eff_shield_particle
7930,80018810,z_eff_spark
8FE0,80019EC0,z_eff_ss_dead
9790,8001A670,z_effect
9F10,8001ADF0,z_effect_soft_sprite
A9B0,8001B890,z_effect_soft_sprite_old_init
D4D0,8001E3B0,flg_set
D8F0,8001E7D0,z_DLF
DB40,8001EA20,z_actor
1A0E0,8002AFC0,z_actor_dlftbls
1A230,8002B110,z_bgcheck
23E10,80034CF0,code_800430A0
24130,80035010,code_80043480
244C0,800353A0,z_camera
38AF0,800499D0,z_collision_btltbls
38B50,80049A30,z_collision_check
407D0,800516B0,z_common_data
40860,80051740,z_debug
40B70,80051A50,z_debug_display
41030,80051F10,z_demo
45D10,80056BF0,code_80069420
45DA0,80056C80,z_draw
47CA0,80058B80,z_sfx_source
47E60,80058D40,z_elf_message
48540,80059420,z_face_reaction
48590,80059470,code_8006C3A0
48710,800595F0,z_fcurve_data
48950,80059830,z_fcurve_data_skelanime
49160,8005A040,z_game_dlftbls
49160,8005A040,z_horse
49E40,8005AD20,z_jpeg
4A600,8005B4E0,z_kaleido_setup
4A9D0,8005B8B0,z_kanfont
4ABE0,8005BAC0,z_kankyo
523F0,800632D0,z_lib
53590,80064470,z_lifemeter
54930,80065810,z_lights
559D0,800668B0,z_malloc
55BB0,80066A90,z_map_mark
561B0,80067090,z_prenmi_buff
56270,80067150,z_nulltask
562F0,800671D0,z_olib
569E0,800678C0,z_onepointdemo
5A980,8006B860,z_map_exp
5C520,8006D400,z_parameter
67BF0,80078AD0,z_path
67DC0,80078CA0,z_frame_advance
67E70,80078D50,z_player_lib
6B8E0,8007C7C0,z_prenmi
6BA80,8007C960,z_quake
6C8F0,8007D7D0,z_rcp
6E1B0,8007F090,z_room
6F9A0,80080880,z_sample
6FDA0,80080C80,code_80097A00
6FF60,80080E40,z_scene
71410,800822F0,z_scene_table
77BF0,80088AD0,z_skelanime
7C5E0,8008D4C0,z_skin
7D180,8008E060,z_skin_awb
7DA90,8008E970,z_skin_matrix
7EE30,8008FD10,z_sram
80170,80091050,z_ss_sram
80340,80091220,z_rumble
805C0,800914A0,z_view
82830,80093710,z_viscvg
829D0,800938B0,z_vismono
831F0,800940D0,z_viszbuf
83480,80094360,z_vr_box
85D50,80096C30,z_vr_box_draw
86430,80097310,z_player_call
865A0,80097480,z_fbdemo
86FC0,80097EA0,z_fbdemo_triforce
87580,80098460,z_fbdemo_wipe1
879F0,800988D0,z_fbdemo_circle
880B0,80098F90,z_fbdemo_fade
88410,800992F0,shrink_window
88580,80099460,code_800BB0A0
88A50,80099930,z_kaleido_manager
88C80,80099B60,z_kaleido_scope_call
88F60,80099E40,z_play
8C9C0,8009D8A0,PreRender
8EAB0,8009F990,TwoHeadGfxArena
8ECC0,8009FBA0,TwoHeadArena
8EE80,8009FD60,audio_stop_all_sfx
8EED0,8009FDB0,audio_thread_manager
8F2E0,800A01C0,title_setup
8F350,800A0230,game
8FAD0,800A09B0,gamealloc
8FC10,800A0AF0,graph
905B0,800A1490,gfxalloc
90610,800A14F0,listalloc
90760,800A1640,main
90AC0,800A19A0,padmgr
915C0,800A24A0,sched
92240,800A3120,speed_meter
92C80,800A3B60,sys_cfb
92DA0,800A3C80,sys_math
93050,800A3F30,sys_math3d
98E10,800A9CF0,sys_math_atan
99040,800A9F20,sys_matrix
9B440,800AC320,sys_ucode
9B490,800AC370,sys_rumble
9B7F0,800AC6D0,code_800D31A0
9B820,800AC700,irqmgr
9BE40,800ACD20,fault
9E690,800AF570,fault_drawer
9F110,800AFFF0,kanread
9FBF0,800B0AD0,[PADDING]
9FC00,800B0AE0,audio_synthesis
A2D60,800B3C40,audio_heap
A6130,800B7010,audio_load
A9F20,800BAE00,audio_thread
AB780,800BC660,audio_dcache
AB800,800BC6E0,audio_aisetnextbuf
AB880,800BC760,audio_playback
AD800,800BE6E0,audio_effects
AE280,800BF160,audio_seqplayer
B18A0,800C2780,audio_general
B7A30,800C8910,audio_sfx
B9890,800CA770,audio_sequence
BB4B0,800CC390,gfxprint
BC220,800CD100,rcp_utils
BC280,800CD160,loadfragment2
BC2E0,800CD1C0,relocation
BC520,800CD400,load
BC5F0,800CD4D0,code_800FC620
BC930,800CD810,padutils
BCB20,800CDA00,padsetup
BCC60,800CDB40,code_800FCE80
BD170,800CE050,fp
BD2D0,800CE1B0,system_malloc
BD4A0,800CE380,code_800FD970
BD660,800CE540,__osMalloc
BE410,800CF2F0,sprintf
BE4E0,800CF3C0,printutils
BE540,800CF420,sleep
BE6E0,800CF5C0,jpegutils
BEBF0,800CFAD0,jpegdecoder
BF1E0,800D00C0,scale
BF290,800D0170,sinf
BF450,800D0330,sins
BF4C0,800D03A0,sptask
BF780,800D0660,motor
BFB50,800D0A30,siacs
BFC10,800D0AF0,controller
BFEF0,800D0DD0,contreaddata
C00D0,800D0FB0,perspective
C0360,800D1240,sprawdma
C03F0,800D12D0,sirawdma
C04A0,800D1380,sptaskyield
C04C0,800D13A0,mtxidentf
C0510,800D13F0,lookat
C0830,800D1710,stoptimer
C0920,800D1800,sqrtf
C0930,800D1810,afterprenmi
C0950,800D1830,contquery
C09F0,800D18D0,lookathil
C1270,800D2150,xprintf
C1F50,800D2E30,string
C1FF0,800D2ED0,sp
C2020,800D2F00,mtxident
C2070,800D2F50,position
C2280,800D3160,sptaskyielded
C22E0,800D31C0,rotate
C24B0,800D3390,aisetfreq
C2600,800D34E0,getactivequeue
C2620,800D3500,normalize
C2680,800D3560,dpgetstat
C2690,800D3570,dpsetstat
C26A0,800D3580,ortho
C2860,800D3740,cosf
C29D0,800D38B0,coss
C2A00,800D38E0,visetevent
C2A60,800D3940,us2dex
C2BE0,800D3AC0,pfsselectbank
C2C60,800D3B40,contsetch
C2CC0,800D3BA0,aigetlen
C2CD0,800D3BB0,[PADDING]
C2CE0,800D3BC0,translate
C2DB0,800D3C90,contramwrite
C3000,800D3EE0,pfsgetstatus
C3230,800D4110,contpfs
C3DB0,800D4C90,contramread
C3FE0,800D4EC0,crc
C4150,800D5030,pfsisplug
C4440,800D5320,settimer
C45D0,800D54B0,xldtob
C50E0,800D5FC0,ldiv
C5270,800D6150,xlitob
C5510,800D63F0,spgetstat
C5520,800D6400,spsetstat
C5530,800D6410,writebackdcacheall
C5560,800D6440,getcurrfaultedthread
C5570,800D6450,[PADDING]
C5580,800D6460,mtxf2l
C55F0,800D64D0,llcvt
C5800,800D66E0,vigetcurrframebuf
C5840,800D6720,spsetpc
C5870,800D6750,sqrt
C5880,800D6760,absf
C5890,800D6770,fmodf
C58E0,800D67C0,__osMemset
C5910,800D67F0,__osMemmove
C59A0,800D6880,z_message
D1040,800E1F20,z_game_over
D1580,800E2460,z_construct
D2940,800E3820,rsp.text

offset,vram,.data
D5CA0,800E6B80,z_en_a_keep

offset,vram,.rodata
F3F20,80104E00,z_en_a_keep
