File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,7170,1060,0,6110,N,,,,,,
dmadata,7170,D0C0,7170,0,5F50,N,,,,,,
Audiobank,D0C0,38E80,D0C0,0,2BDC0,N,,,,,,
Audioseq,38E80,88900,38E80,0,4FA80,N,,,,,,
Audiotable,88900,4D9C90,88900,0,451390,N,,,,,,
kanji,4D9C90,555F90,4D9C90,0,7C300,N,,,,,,
link_animetion,556000,7BBC30,555F90,0,265C30,N,,,,,object,
icon_item_static,7BC000,8448A0,7BBBC0,0,888A0,N,,,,,,
icon_item_24_static,845000,850400,844460,0,B400,N,,,,,,
icon_item_field_static,851000,85C930,84F860,8562C0,B930,Y,,,,,,
icon_item_dungeon_static,85D000,85ED80,8562C0,8568E0,1D80,Y,,,,,,
icon_item_gameover_static,85F000,862300,8568E0,857FE0,3300,Y,,,,,,
icon_item_jpn_static,863000,870C80,857FE0,85D590,DC80,Y,,,,,,
icon_item_nes_static,871000,87EC80,85D590,862F70,DC80,Y,,,,,,
item_name_static,87F000,8BC800,862F70,0,3D800,N,,,,,,
map_name_static,8BD000,8DE800,8A0770,0,21800,N,,,,,,
do_action_static,8DF000,8E4700,8C1F70,0,5700,N,,,,,,
message_static,8E5000,8E9180,8C7670,0,4180,N,,,,,,
message_texture_static,8EA000,8EB200,8CB7F0,0,1200,N,,,,,,
nes_font_static,8EC000,8F0600,8CC9F0,0,4600,N,,,,,,
jpn_message_data_static,8F1000,92B330,8D0FF0,0,3A330,N,,,,,,
nes_message_data_static,92C000,964040,90B320,0,38040,N,,,,,,
staff_message_data_static,965000,965F60,943360,0,F60,N,,,,,,
map_grand_static,966000,974350,9442C0,0,E350,N,,,,,,
map_48x85_static,975000,996DE0,952610,0,21DE0,N,,,,,,
map_i_static,997000,A85110,9743F0,0,EE110,N,,,,,,
code,A86000,B8AA60,A62500,AFDAA0,104A60,Y,,,,,,
ovl_title,B8AA60,B8B2B0,AFDAA0,AFE0E0,850,Y,80800000,80800850,850,0,gamestate,2
ovl_select,B8B2B0,B8DF30,AFE0E0,AFFBC0,2C80,Y,80800850,808034D0,2C80,0,gamestate,1
ovl_opening,B8DF30,B8E090,AFFBC0,AFFCF0,160,Y,808034D0,80803630,160,0,gamestate,4
ovl_file_choose,B8E090,B9DFF0,AFFCF0,B08BF0,FF60,Y,80803630,808135B0,FF80,20,gamestate,5
ovl_kaleido_scope,B9DFF0,BBA770,B08BF0,B17940,1C780,Y,808135B0,8082FDA0,1C7F0,70,kaleido,0
ovl_player_actor,BBA770,BE0E80,B17940,B30C90,26710,Y,8082FDA0,80856580,267E0,D0,kaleido,1
ovl_map_mark_data,BE0E80,BE79E0,B30C90,B31040,6B60,Y,80856580,8085D0E0,6B60,0,mapmarkdata,0
ovl_En_Test,BE79E0,BED290,B31040,B34510,58B0,Y,8085D0E0,80862990,58B0,0,actor,2
