offset,vram,.text
0,80010EE0,z_en_a_keep.c
407D0,800516B0,z_common_data.c
40860,80051740,z_debug.c
40B70,80051A50,z_debug_display.c
41030,80051F10,z_demo.c
45D10,80056BF0,code_80069420.c
47E60,80058D40,z_elf_message.c
48540,80059420,z_face_reaction.c
48590,80059470,file_048590
6FF60,80080E40,z_scene.c
77C10,80088AF0,z_skelanime.c
88F80,80099E60,z_play.c
8F300,800A01E0,title_setup.c
8F370,800A0250,file_08F370
98E30,800A9D10,sys_math_atan.c
99060,800A9F40,sys_matrix.c
9F130,800B0010,code_800D71F0.s
9FC10,800B0AF0,file_09FC10
BF470,800D0350,sins.c
BF4E0,800D03C0,file_0BF4E0
C0940,800D1820,sqrtf
C0950,800D1830,file_0C0950
C2040,800D2F20,guMtxIdent.s
C2090,800D2F70,file_0C2090
C2CE0,800D3BC0,osAiGetLength.c
C2D00,800D3BE0,guTranslate.s
C2DD0,800D3CB0,file_0C2DD0
C5590,800D6470,guMtxF2L.s
C5600,800D64E0,file_0C5600
C5890,800D6770,sqrt.c
C58A0,800D6780,absf.c
C58B0,800D6790,file_0C58B0
D2960,800E3840,rsp.s
D5CC0,800E6BA0,file_0D5CC0
