80000400,entrypoint
80000460,cleararena
80000498,bootproc
800005A0,Main_ThreadEntry
8000063C,Idle_ThreadEntry
80000830,ViConfig_UpdateVi
80000930,ViConfig_UpdateBlack
80000980,DmaMgr_DmaRomToRam
80000B04,DmaMgr_AudioDmaHandler
80000B24,DmaMgr_DmaFromDriveRom
80000BC8,DmaMgr_FindFileName
80000BD8,DmaMgr_GetFileName
80000BEC,DmaMgr_ProcessRequest
80000D78,DmaMgr_ThreadEntry
80000DF8,DmaMgr_SendRequest
80000E5C,DmaMgr_RequestSync
80000ED8,DmaMgr_Init
80000FC0,Yaz0_FirstDMA
80001060,Yaz0_NextDMA
8000114C,Yaz0_DecompressImpl
800012B4,Yaz0_Decompress
80001300,Locale_Init
800013AC,Locale_ResetRegion
800013DC,osSyncPrintf
80001420,osDriveRomInit
80001600,Mio0_Decompress
800016B0,StackCheck_Init
80001788,StackCheck_Cleanup
800017F8,StackCheck_GetState
80001870,StackCheck_CheckAll
800018C8,StackCheck_Check
80001900,LogUtils_HungupThread
80001934,LogUtils_ResetHungup
80001960,__osPiCreateAccessQueue
800019B0,__osPiGetAccess
800019F4,__osPiRelAccess
80001A20,osSendMesg
80001B70,osStopThread
80001C30,osViExtendVStart
80001C40,osRecvMesg
80001D80,__createSpeedParam
80001E1C,__osInitialize_common
800020C8,__osInitialize_autodetect
800020D0,__ull_rshift
800020FC,__ull_rem
80002138,__ull_div
80002174,__ll_lshift
800021A0,__ll_rem
800021DC,__ll_div
80002238,__ll_mul
80002268,__ull_divremi
800022C8,__ll_mod
80002364,__ll_rshift
80002390,__osExceptionPreamble
80002D00,osDestroyThread
80002E10,bzero
80002F10,osCreateThread
80003060,__osSetSR
80003070,__osGetSR
80003080,osWritebackDCache
80003100,osViGetNextFramebuffer
80003140,osCreatePiManager
800032C0,__osDevMgrMain
800036D0,__osPiRawStartDma
800037A0,osVirtualToPhysical
80003820,osViBlack
80003890,__osSiRawReadIo
800038E0,osGetThreadId
80003900,osSetIntMask
800039A0,osViSetMode
80003A00,__osProbeTLB
80003AC0,osGetMemSize
80003BE0,osSetEventMesg
80003CA0,osUnmapTLBAll
80003CF0,osEPiStartDma
80003D90,osInvalICache
80003E10,osCreateMesgQueue
80003E40,osInvalDCache
80003EF0,__osSiDeviceBusy
80003F20,osJamMesg
80004070,osSetThreadPri
80004150,osGetThreadPri
80004170,__osEPiRawReadIo
800042D0,osViSwapBuffer
80004320,__osEPiRawStartDma
80004500,bcmp
80004620,osGetTime
800046B0,__osTimerServicesInit
8000473C,__osTimerInterrupt
800048B4,__osSetTimerIntr
80004954,__osInsertTimer
80004AE0,osGetCount
80004AF0,__osSetGlobalIntMask
80004B40,__osSetCompare
80004B50,bcopy
80004E60,__osResetGlobalIntMask
80004EC0,__osDisableInt
80004F30,__osRestoreInt
80004F50,__osViInit
80005070,__osViSwapContext
80005370,osPiGetCmdQueue
800053A0,osEPiReadIo
800053F0,osViSetSpecialFeatures
80005550,osCartRomInit
800056B0,__osSetFpcCsr
800056C0,__osGetFpcCsr
800056D0,osMapTLBRdb
80005730,osYieldThread
80005780,__osGetCause
80005790,__osEPiRawWriteIo
800058F0,__osSiRawWriteIo
80005940,osCreateViManager
80005AC0,viMgrMain
80005C50,__osViGetCurrentContext
80005C60,osStartThread
80005DB0,osViSetYScale
80005E00,osViSetXScale
80005F10,__osSetHWIntrRoutine
80005F80,__osGetHWIntrRoutine
80005FB0,__osSetWatchLo
80010EE0,EnAObj_SetupAction
80010EEC,EnAObj_Init
8001122C,EnAObj_Destroy
80011288,EnAObj_WaitFinishedTalking
800112B8,EnAObj_SetupWaitTalk
800112E0,EnAObj_WaitTalk
80011394,EnAObj_SetupBlockRot
800113E4,EnAObj_BlockRot
80011504,EnAObj_SetupBoulderFragment
8001152C,EnAObj_BoulderFragment
8001164C,EnAObj_SetupBlock
8001168C,EnAObj_Block
80011774,EnAObj_Update
80011890,EnAObj_Draw
80011980,EnItem00_SetupAction
8001198C,EnItem00_Init
80011FF4,EnItem00_Destroy
80012020,func_8001DFC8
80012220,func_8001E1C8
8001235C,func_8001E304
80012620,EnItem00_Collected
80012778,EnItem00_Update
80012DF8,EnItem00_Draw
80012F90,EnItem00_DrawRupee
800130A8,EnItem00_DrawCollectible
800131E8,EnItem00_DrawHeartContainer
800132E0,EnItem00_DrawHeartPiece
80013378,func_8001F404
800134C0,Item_DropCollectible
800136F8,Item_DropCollectible2
800138CC,Item_DropCollectibleRandom
80013D80,EffectBlure_AddVertex
800140A4,EffectBlure_AddSpace
800140E8,EffectBlure_InitElements
800141A0,EffectBlure_Init1
800142B0,EffectBlure_Init2
800143E4,EffectBlure_Destroy
800143F0,EffectBlure_Update
80014854,EffectBlure_UpdateFlags
800149C4,EffectBlure_GetComputedValues
80014ED8,EffectBlure_SetupSmooth
80014F0C,EffectBlure_DrawElemNoInterpolation
800153E0,EffectBlure_DrawElemHermiteInterpolation
80015D6C,EffectBlure_DrawSmooth
8001603C,EffectBlure_SetupSimple
80016074,EffectBlure_SetupSimpleAlt
800162DC,EffectBlure_DrawSimpleVertices
800167BC,EffectBlure_DrawSimple
80016CC8,EffectBlure_Draw
800171B0,EffectShieldParticle_Init
800173E8,EffectShieldParticle_Destroy
80017474,EffectShieldParticle_Update
800175D8,EffectShieldParticle_GetColors
800182F8,EffectShieldParticle_Draw
80018810,EffectSpark_Init
80018BEC,EffectSpark_Destroy
80018BF8,EffectSpark_Update
80018CBC,EffectSpark_Draw
80019EC0,func_80026230
8001A068,func_80026400
8001A24C,func_80026608
8001A290,func_80026690
8001A438,func_80026860
8001A624,func_80026A6C
8001A670,Effect_GetPlayState
8001A680,Effect_GetByIndex
8001A790,Effect_InitStatus
8001A7A4,Effect_InitContext
8001A84C,Effect_Add
8001A9CC,Effect_DrawAll
8001AAC8,Effect_UpdateAll
8001ABF4,Effect_Delete
8001AD00,Effect_DeleteAll
8001ADF0,EffectSs_InitInfo
8001AED4,EffectSs_ClearAll
8001AF94,EffectSs_Delete
8001AFF4,EffectSs_Reset
8001B088,EffectSs_FindSlot
8001B1C0,EffectSs_Insert
8001B258,EffectSs_Spawn
8001B400,EffectSs_Update
8001B4A0,EffectSs_UpdateAll
8001B55C,EffectSs_Draw
8001B5A0,EffectSs_DrawAll
8001B6EC,func_80027DD4
8001B750,func_80027E34
8001B7A4,func_80027E84
8001B890,EffectSs_DrawGEffect
8001BACC,EffectSsDust_Spawn
8001BB80,func_8002829C
8001BBE8,func_80028304
8001BC50,func_8002836C
8001BCB8,func_800283D4
8001BD20,func_8002843C
8001BD88,func_800284A4
8001BDF4,func_80028510
8001BE60,func_8002857C
8001BED0,func_800285EC
8001BF40,func_8002865C
8001BFB0,func_800286CC
8001C020,func_8002873C
8001C090,func_800287AC
8001C100,func_8002881C
8001C13C,func_80028858
8001C178,func_80028894
8001C274,func_80028990
8001C338,func_80028A54
8001C3FC,EffectSsKiraKira_SpawnSmallYellow
8001C458,EffectSsKiraKira_SpawnSmall
8001C494,EffectSsKiraKira_SpawnDispersed
8001C5D0,EffectSsKiraKira_SpawnFocused
8001C6A8,EffectSsBomb_Spawn
8001C700,EffectSsBomb2_SpawnFade
8001C768,EffectSsBomb2_SpawnLayered
8001C7D8,EffectSsBlast_Spawn
8001C868,EffectSsBlast_SpawnWhiteCustomScale
8001C8BC,EffectSsBlast_SpawnShockwave
8001C908,EffectSsBlast_SpawnWhiteShockwave
8001C944,EffectSsGSpk_SpawnAccel
8001C9D4,EffectSsGSpk_SpawnNoAccel
8001CA68,EffectSsGSpk_SpawnFuse
8001CABC,EffectSsGSpk_SpawnRandColor
8001CBC0,EffectSsGSpk_SpawnSmall
8001CC04,EffectSsDFire_Spawn
8001CC84,EffectSsDFire_SpawnFixedScale
8001CCC8,EffectSsBubble_Spawn
8001CD28,EffectSsGRipple_Spawn
8001CD80,EffectSsGSplash_Spawn
8001CE14,EffectSsGMagma_Spawn
8001CE4C,EffectSsGFire_Spawn
8001CE84,EffectSsLightning_Spawn
8001CEFC,EffectSsDtBubble_SpawnColorProfile
8001CF78,EffectSsDtBubble_SpawnCustomColor
8001D008,EffectSsHahen_Spawn
8001D088,EffectSsHahen_SpawnBurst
8001D1D0,EffectSsStick_Spawn
8001D224,EffectSsSibuki_Spawn
8001D294,EffectSsSibuki_SpawnBurst
8001D418,EffectSsSibuki2_Spawn
8001D478,EffectSsGMagma2_Spawn
8001D4E8,EffectSsStone1_Spawn
8001D53C,EffectSsHitMark_Spawn
8001D594,EffectSsHitMark_SpawnFixedScale
8001D5B8,EffectSsHitMark_SpawnCustomScale
8001D5E4,EffectSsFhgFlash_SpawnLightBall
8001D650,EffectSsFhgFlash_SpawnShock
8001D6B4,EffectSsKFire_Spawn
8001D71C,EffectSsSolderSrchBall_Spawn
8001D784,EffectSsKakera_Spawn
8001D83C,EffectSsIcePiece_Spawn
8001D8A4,EffectSsIcePiece_SpawnBurst
8001DA38,EffectSsEnIce_SpawnFlyingVec3f
8001DAD8,EffectSsEnIce_SpawnFlyingVec3s
8001DBA4,EffectSsEnIce_Spawn
8001DC2C,EffectSsFireTail_Spawn
8001DCC4,EffectSsFireTail_SpawnFlame
8001DD88,EffectSsFireTail_SpawnFlameOnPlayer
8001DDD8,EffectSsEnFire_SpawnVec3f
8001DE50,EffectSsEnFire_SpawnVec3s
8001DEFC,EffectSsExtra_Spawn
8001DF64,EffectSsFCircle_Spawn
8001DFC0,EffectSsDeadDb_Spawn
8001E078,EffectSsDeadDd_Spawn
8001E12C,EffectSsDeadDd_SpawnRandYellow
8001E19C,EffectSsDeadDs_Spawn
8001E214,EffectSsDeadDs_SpawnStationary
8001E264,EffectSsDeadSound_Spawn
8001E2FC,EffectSsDeadSound_SpawnStationary
8001E34C,EffectSsIceSmoke_Spawn
8001E3B0,FlagSet_Update
8001E7D0,Overlay_LoadGameState
8001E8F8,Overlay_FreeGameState
8001EA20,ActorShape_Init
8001EA44,ActorShadow_Draw
8001EE24,ActorShadow_DrawCircle
8001EE4C,ActorShadow_DrawWhiteCircle
8001EE7C,ActorShadow_DrawHorse
8001EEA4,ActorShadow_DrawFoot
8001F0B0,ActorShadow_DrawFeet
8001F57C,Actor_SetFeetPos
8001F5D0,Actor_ProjectPos
8001F634,func_8002BE64
8001F66C,func_8002BE98
8001F734,Actor_SetNaviToActor
8001F898,func_8002C0C0
8001F8FC,func_8002C124
8001FF34,func_8002C7BC
800202C8,Flags_GetSwitch
800202FC,Flags_SetSwitch
8002033C,Flags_UnsetSwitch
80020380,Flags_GetUnknown
800203B4,Flags_SetUnknown
800203F4,Flags_UnsetUnknown
80020438,Flags_GetTreasure
80020450,Flags_SetTreasure
8002046C,Flags_GetClear
80020484,Flags_SetClear
800204A0,Flags_UnsetClear
800204C0,Flags_GetTempClear
800204D8,Flags_SetTempClear
800204F4,Flags_UnsetTempClear
80020514,Flags_GetCollectible
80020548,Flags_SetCollectible
8002058C,TitleCard_Init
800205AC,TitleCard_InitBossName
800205F0,TitleCard_InitPlaceName
8002068C,TitleCard_Update
80020748,TitleCard_Draw
80020C9C,TitleCard_Clear
80020CD0,Actor_Kill
80020CF0,Actor_SetWorldToHome
80020D20,Actor_SetFocus
80020D64,Actor_SetWorldRotToShape
80020D84,Actor_SetShapeRotToWorld
80020DA4,Actor_SetScale
80020DC0,Actor_SetObjectDependency
80020DF8,Actor_Init
80020F0C,Actor_Destroy
80020F40,Actor_UpdatePos
80020FC0,Actor_UpdateVelocityXZGravity
80021038,Actor_MoveForward
80021064,Actor_UpdateVelocityXYZ
800210D4,Actor_MoveXYZ
80021100,Actor_SetProjectileSpeed
80021154,Actor_UpdatePosByAnimation
800211D0,Actor_WorldYawTowardActor
800211FC,Actor_FocusYawTowardActor
80021228,Actor_WorldYawTowardPoint
8002124C,Actor_WorldPitchTowardActor
80021278,Actor_FocusPitchTowardActor
800212A4,Actor_WorldPitchTowardPoint
800212C8,Actor_WorldDistXYZToActor
800212F4,Actor_WorldDistXYZToPoint
80021318,Actor_WorldDistXZToActor
80021344,Actor_WorldDistXZToPoint
80021368,func_8002DBD0
80021408,Actor_HeightDiff
8002141C,Player_GetHeight
8002147C,func_8002DCE4
80021504,func_8002DD6C
80021514,func_8002DD78
80021548,func_8002DDA8
80021584,func_8002DDE4
80021598,func_8002DDF4
800215AC,func_8002DE04
8002161C,func_8002DE74
80021674,Actor_MountHorse
80021698,func_8002DEEC
800216C4,func_8002DF18
800216E4,func_8002DF38
80021708,func_8002DF54
80021744,func_8002DF90
8002175C,func_8002DFA4
80021784,Player_IsFacingActor
800217DC,Actor_ActorBIsFacingActorA
80021844,Actor_IsFacingPlayer
80021890,Actor_ActorAIsFacingActorB
800218F0,Actor_IsFacingAndNearPlayer
80021970,Actor_ActorAIsFacingAndNearActorB
80021A04,func_8002E234
80021A7C,func_8002E2AC
80021C88,Actor_UpdateBgCheckInfo
80022008,func_8002E830
800221E4,func_8002EABC
8002221C,func_8002EB44
80022254,func_8002EBCC
80022374,func_8002ED80
80022494,Actor_GetFocus
800224C8,Actor_GetWorld
800224FC,Actor_GetWorldPosShapeRot
80022578,func_8002EFC0
80022648,func_8002F090
80022684,func_8002F0C8
80022754,Actor_ProcessTalkRequest
80022784,func_8002F1C4
80022858,func_8002F298
8002288C,func_8002F2CC
