File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,7170,1060,0,6110,N,,,,,,
dmadata,7170,D0D0,7170,0,5F60,N,,,,,,
Audiobank,D0D0,38E90,D0D0,0,2BDC0,N,,,,,,
Audioseq,38E90,88910,38E90,0,4FA80,N,,,,,,
Audiotable,88910,4D9CA0,88910,0,451390,N,,,,,,
link_animetion,4D9CA0,73F8D0,4D9CA0,0,265C30,N,,,,,object,
icon_item_static,740000,7C9CA0,73F8D0,0,89CA0,N,,,,,,
icon_item_24_static,7CA000,7D5400,7C9570,0,B400,N,,,,,,
icon_item_field_static,7D6000,7E1930,7D4970,7DB3D0,B930,Y,,,,,,
icon_item_dungeon_static,7E2000,7E3D80,7DB3D0,7DB9F0,1D80,Y,,,,,,
icon_item_gameover_static,7E4000,7E7C80,7DB9F0,7DD430,3C80,Y,,,,,,
icon_item_nes_static,7E8000,7F5C80,7DD430,7E2E10,DC80,Y,,,,,,
icon_item_ger_static,7F6000,804B80,7E2E10,7E8610,EB80,Y,,,,,,
icon_item_fra_static,805000,814480,7E8610,7EDF30,F480,Y,,,,,,
item_name_static,815000,871400,7EDF30,0,5C400,N,,,,,,
map_name_static,872000,8A4400,84A330,0,32400,N,,,,,,
do_action_static,8A5000,8AD280,87C730,0,8280,N,,,,,,
message_static,8AE000,8B2180,8849B0,0,4180,N,,,,,,
message_texture_static,8B3000,8B4200,888B30,0,1200,N,,,,,,
nes_font_static,8B5000,8B9600,889D30,0,4600,N,,,,,,
nes_message_data_static,8BA000,8F2080,88E330,0,38080,N,,,,,,
ger_message_data_static,8F3000,92E9D0,8C63B0,0,3B9D0,N,,,,,,
fra_message_data_static,92F000,9661C0,901D80,0,371C0,N,,,,,,
staff_message_data_static,967000,967F50,938F40,0,F50,N,,,,,,
map_grand_static,968000,976350,939E90,0,E350,N,,,,,,
map_48x85_static,977000,998DE0,9481E0,0,21DE0,N,,,,,,
map_i_static,999000,A87110,969FC0,0,EE110,N,,,,,,
code,A88000,B8A230,A580D0,AF27E0,102230,Y,,,,,,
ovl_title,B8A230,B8AA80,AF27E0,AF2E20,850,Y,80800000,80800850,850,0,gamestate,2
ovl_select,B8AA80,B8D700,AF2E20,AF4900,2C80,Y,80800850,808034D0,2C80,0,gamestate,1
ovl_opening,B8D700,B8D860,AF4900,AF4A30,160,Y,808034D0,80803630,160,0,gamestate,4
ovl_file_choose,B8D860,B9C470,AF4A30,AFCFD0,EC10,Y,80803630,80812260,EC30,20,gamestate,5
ovl_kaleido_scope,B9C470,BB8E30,AFCFD0,B0BEC0,1C9C0,Y,80812260,8082EC90,1CA30,70,kaleido,0
ovl_player_actor,BB8E30,BDF540,B0BEC0,B25210,26710,Y,8082EC90,80855470,267E0,D0,kaleido,1
ovl_map_mark_data,BDF540,BE6020,B25210,B255C0,6AE0,Y,80855470,8085BF50,6AE0,0,mapmarkdata,0
