offset,vram,.text
0,80000460,boot_main.c
140,800005A0,idle.c
3D0,80000830,viconfig.c
520,80000980,z_std_dma.c
B60,80000FC0,yaz0.c
EA0,80001300,z_locale.c
FC0,80001420,osDriveRomInit.c
11A0,80001600,mio0.s
1250,800016B0,stackcheck.c
14A0,80001900,logutils.c
1500,80001960,piacs.c
15C0,80001A20,osSendMesg.c
1710,80001B70,osStopThread.c
17D0,80001C30,osViExtendVStart.c
17E0,80001C40,osRecvMesg.c
1920,80001D80,initialize.c
1C70,800020D0,ll.c
1F30,80002390,exceptasm.s
2860,80002CC0,__osDequeueThread.c
28A0,80002D00,osDestroyThread.c
29B0,80002E10,bzero.s
2AB0,80002F10,osCreateThread.c
2C00,80003060,__osSetSR.s
2C10,80003070,__osGetSR.s
2C20,80003080,osWritebackDCache.s
2CA0,80003100,osViGetNextFramebuffer.c
2CE0,80003140,pimgr.c
2E50,800032B0,*fill*         0x00000000800048f0       0x10
2E60,800032C0,__osDevMgrMain.c
3270,800036D0,__osPiRawStartDma.c
3340,800037A0,osVirtualToPhysical.c
33C0,80003820,osViBlack.c
3430,80003890,__osSiRawReadIo.c
3480,800038E0,osGetThreadId.c
34A0,80003900,osSetIntMask.s
3540,800039A0,osViSetMode.c
35A0,80003A00,__osProbeTLB.s
3660,80003AC0,osGetMemSize.c
3780,80003BE0,osSetEventMesg.c
3840,80003CA0,osUnmapTLBAll.s
3890,80003CF0,osEPiStartDma.c
3930,80003D90,osInvalICache.s
39B0,80003E10,osCreateMesgQueue.c
39E0,80003E40,osInvalDCache.s
3A90,80003EF0,__osSiDeviceBusy.c
3AC0,80003F20,osJamMesg.c
3C10,80004070,osSetThreadPri.c
3CF0,80004150,osGetThreadPri.c
3D10,80004170,__osEPiRawReadIo.c
3E70,800042D0,osViSwapBuffer.c
3EC0,80004320,__osEPiRawStartDma.c
40A0,80004500,bcmp.s
41C0,80004620,osGetTime.c
4250,800046B0,timerintr.c
4680,80004AE0,osGetCount.s
4690,80004AF0,__osSetGlobalIntMask.c
46E0,80004B40,__osSetCompare.s
46F0,80004B50,bcopy.s
4A00,80004E60,__osResetGlobalIntMask.c
4A60,80004EC0,__osDisableInt.s
4AD0,80004F30,__osRestoreInt.s
4AF0,80004F50,__osViInit.c
4C10,80005070,__osViSwapContext.c
4F10,80005370,osPiGetCmdQueue.c
4F40,800053A0,osEPiReadIo.c
4F90,800053F0,osViSetSpecialFeatures.c
50F0,80005550,osCartRomInit.c
5250,800056B0,__osSetFpcCsr.s
5260,800056C0,__osGetFpcCsr.s
5270,800056D0,osMapTLBRdb.s
52D0,80005730,osYieldThread.c
5320,80005780,__osGetCause.s
5330,80005790,__osEPiRawWriteIo.c
5490,800058F0,__osSiRawWriteIo.c
54E0,80005940,vimgr.c
57F0,80005C50,__osViGetCurrentContext.c
5800,80005C60,osStartThread.c
5950,80005DB0,osViSetYScale.c
59A0,80005E00,osViSetXScale.c
5AB0,80005F10,__osSetHWIntrRoutine.c
5B20,80005F80,__osGetHWIntrRoutine.c
5B50,80005FB0,__osSetWatchLo.s
5B60,80005FC0,rsp_boot.text.s
5C70,800060D0,file_005C70
