80000460,cleararena
80000498,bootproc
8000063C,Idle_ThreadEntry
80000830,ViConfig_UpdateVi
80000E5C,DmaMgr_SendRequest1
80000ED8,DmaMgr_Init
80001300,Locale_Init
80001420,osDriveRomInit
80001600,Mio0_Decompress
800016B0,StackCheck_Init
80001E1C,__osInitialize_common
800020C8,__osInitialize_autodetect
80002E10,bzero
80002F10,osCreateThread
80003140,osCreatePiManager
80003820,osViBlack
800039A0,osViSetMode
80003AC0,osGetMemSize
80004070,osSetThreadPri
800042D0,osViSwapBuffer
80004620,osGetTime
80005550,osCartRomInit
80005940,osCreateViManager
80005C60,osStartThread
800A1730,Main
