File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,12F70,1060,0,11F10,N,,,,,,
dmadata,12F70,19030,12F70,0,60C0,N,,,,,,
Audiobank,19030,44DF0,19030,0,2BDC0,N,,,,,,
Audioseq,44DF0,94870,44DF0,0,4FA80,N,,,,,,
Audiotable,94870,4E5C00,94870,0,451390,N,,,,,,
link_animetion,4E5C00,74B830,4E5C00,0,265C30,N,,,,,object,
icon_item_static,74C000,7D5CA0,74C000,0,89CA0,N,,,,,,
icon_item_24_static,7D6000,7E1400,7D6000,0,B400,N,,,,,,
icon_item_field_static,7E2000,7ED930,7E2000,0,B930,N,,,,,,
icon_item_dungeon_static,7EE000,7EFD80,7EE000,0,1D80,N,,,,,,
icon_item_gameover_static,7F0000,7F3C80,7F0000,0,3C80,N,,,,,,
icon_item_nes_static,7F4000,801C80,7F4000,0,DC80,N,,,,,,
icon_item_ger_static,802000,810B80,802000,0,EB80,N,,,,,,
icon_item_fra_static,811000,820480,811000,0,F480,N,,,,,,
item_name_static,821000,87D400,821000,0,5C400,N,,,,,,
map_name_static,87E000,8B0400,87E000,0,32400,N,,,,,,
do_action_static,8B1000,8B9280,8B1000,0,8280,N,,,,,,
message_static,8BA000,8BE180,8BA000,0,4180,N,,,,,,
message_texture_static,8BF000,8C0200,8BF000,0,1200,N,,,,,,
nes_font_static,8C1000,8C5600,8C1000,0,4600,N,,,,,,
nes_message_data_static,8C6000,8FE120,8C6000,0,38120,N,,,,,,
ger_message_data_static,8FF000,93A9F0,8FF000,0,3B9F0,N,,,,,,
fra_message_data_static,93B000,9721F0,93B000,0,371F0,N,,,,,,
staff_message_data_static,973000,973F50,973000,0,F50,N,,,,,,
map_grand_static,974000,982350,974000,0,E350,N,,,,,,
map_i_static,9A5000,A93110,9A5000,0,EE110,N,,,,,,
map_48x85_static,983000,9A4DE0,983000,0,21DE0,N,,,,,,
code,A94000,BCEF50,A94000,0,13AF50,N,,,,,,
ovl_title,BCEF50,BCFAE0,BCEF50,0,B90,N,80800000,80800B90,B90,0,gamestate,2
ovl_select,BCFAE0,BD2B40,BCFAE0,0,3060,N,80800B90,80803BF0,3060,0,gamestate,1
ovl_opening,BD2B40,BD2C90,BD2B40,0,150,N,80803BF0,80803D40,150,0,gamestate,4
ovl_file_choose,BD2C90,BE2750,BD2C90,0,FAC0,N,80803D40,80813820,FAE0,20,gamestate,5
ovl_kaleido_scope,BE2750,C010D0,BE2750,0,1E980,N,80813820,80832210,1E9F0,70,kaleido,0
ovl_player_actor,C010D0,C27960,C010D0,0,26890,N,80832210,80858B70,26960,D0,kaleido,1
ovl_map_mark_data,C27960,C2E4C0,C27960,0,6B60,N,80858B70,8085F6D0,6B60,0,mapmarkdata,0
