offset,vram,.text
0,8001CE60,z_en_a_keep.c
AD0,8001D930,z_en_item00.c
2F90,8001FDF0,z_eff_blure.c
65F0,80023450,z_eff_shield_particle.c
7CA0,80024B00,z_eff_spark.c
93D0,80026230,z_eff_ss_dead.c
9CA0,80026B00,z_effect.c
A450,800272B0,z_effect_soft_sprite.c
B120,80027F80,z_effect_soft_sprite_old_init.c
DC50,8002AAB0,flg_set.c
E0A0,8002AF00,z_DLF.c
E380,8002B1E0,z_actor.c (+z_cheap_proc.c)
1B560,800383C0,z_actor_dlftbls.c
1B7A0,80038600,z_bgcheck.c
26240,800430A0,code_800430A0.c
26620,80043480,code_80043480.c
26990,800437F0,z_camera.c
3E3A0,8005B200,z_collision_btltbls.c
3E420,8005B280,z_collision_check.c
467E0,80063640,z_common_data.c
46860,800636C0,z_debug.c
47030,80063E90,z_debug_display.c
47590,800643F0,z_demo.c
4C5C0,80069420,code_80069420.c
4C640,800694A0,z_draw.c
4EBA0,8006BA00,code_8006BA00.c
4ED60,8006BBC0,z_elf_message.c
4F500,8006C360,z_face_reaction.c
4F540,8006C3A0,code_8006C3A0.c
4F6B0,8006C510,code_8006C510.c
4F8F0,8006C750,z_fcurve_data_skelanime.c
50160,8006CFC0,z_horse.c
50FD0,8006DE30,z_jpeg.c
51BD0,8006EA30,z_kaleido_setup.c
51FF0,8006EE50,z_kanfont.c
52240,8006F0A0,z_kankyo.c
5A980,800777E0,z_lib.c
5BB00,80078960,z_lifemeter.c
5CED0,80079D30,z_lights.c
5DFB0,8007AE10,z_malloc.c
5E430,8007B290,z_map_mark.c
5EAB0,8007B910,z_moji.c
5F000,8007BE60,z_prenmi_buff.c
5F0B0,8007BF10,z_msgevent.c
5F130,8007BF90,z_olib.c
5F820,8007C680,z_onepointdemo.c
63940,800807A0,z_map_exp.c
65780,800825E0,z_parameter.c
71680,8008E4E0,z_path.c
71840,8008E6A0,code_8008E6A0.c
718F0,8008E750,z_player_lib.c
754C0,80092320,z_prenmi.c
756A0,80092500,z_quake.c
76510,80093370,z_rcp.c
78C40,80095AA0,z_room.c
7A770,800975D0,z_sample.c
7ABA0,80097A00,code_80097A00.c
7ADA0,80097C00,z_scene.c
7C640,800994A0,z_scene_table.c
83A60,800A08C0,z_skelanime.c
88980,800A57E0,z_skin.c
89620,800A6480,z_skin_awb.c
89FD0,800A6E30,z_skin_matrix.c
8B360,800A81C0,z_sram.c
8CF00,800A9D60,z_ssram.c
8D0F0,800A9F50,code_800A9F30.c
8D350,800AA1B0,z_view.c
8F1F0,800AC050,z_vimode.c
90030,800ACE90,code_800ACE70.c
901C0,800AD020,z_vismono.c
