name,text size,data size,rodata size,ovl size,bss size
ovl_title,0x9A0,0x20,0xF0,0xE0,0x0
ovl_select,0x1430,0x620,0x1040,0x5D0,0x0
ovl_opening,0x120,0x0,0x0,0x30,0x0
ovl_file_choose,0xDE70,0xEB0,0x5C0,0x7E0,0x20
ovl_kaleido_scope,0x16850,0x53B0,0x1270,0x1B10,0x70
ovl_player_actor,0x21200,0x1E30,0x310,0x3550,0xD0
ovl_map_mark_data,0x0,0x6B20,0x0,0x40,0x0
ovl_En_Test,0x4EC0,0x1F0,0x1C0,0x640,0x0
ovl_Arms_Hook,0xBE0,0xE0,0x60,0xF0,0x0
ovl_Arrow_Fire,0x9D0,0x1450,0xA0,0x100,0x0
ovl_Arrow_Ice,0x9F0,0x1450,0xA0,0x100,0x0
ovl_Arrow_Light,0xA00,0x1450,0xA0,0x100,0x0
ovl_Bg_Bdan_Objects,0x10B0,0x60,0xC0,0x1A0,0x0
ovl_Bg_Bdan_Switch,0x1070,0x70,0x1A0,0x2C0,0x0
ovl_Bg_Bom_Guard,0x1E0,0x20,0x40,0x40,0x0
ovl_Bg_Bombwall,0x750,0x120,0x80,0xA0,0x0
ovl_Bg_Bowl_Wall,0x8C0,0x70,0x90,0xC0,0x0
ovl_Bg_Breakwall,0xB60,0x230,0x50,0xF0,0x0
ovl_Bg_Ddan_Jd,0x5B0,0x30,0x0,0x60,0x0
ovl_Bg_Ddan_Kd,0x7B0,0x80,0x20,0xC0,0x0
ovl_Bg_Dodoago,0xB20,0x130,0x40,0x130,0x70
ovl_Bg_Dy_Yoseizo,0x2C10,0xA0,0x1F0,0x250,0x0
ovl_Bg_Ganon_Otyuka,0x1120,0x1480,0x100,0x1A0,0x0
ovl_Bg_Gate_Shutter,0x430,0x20,0x80,0x90,0x0
ovl_Bg_Gjyo_Bridge,0x470,0x30,0x50,0x80,0x0
ovl_Bg_Gnd_Darkmeiro,0x790,0x20,0x60,0x80,0x0
ovl_Bg_Gnd_Firemeiro,0x500,0x20,0x50,0x70,0x0
ovl_Bg_Gnd_Iceblock,0xC80,0x70,0x190,0x320,0x10
ovl_Bg_Gnd_Nisekabe,0xF0,0x30,0x10,0x40,0x0
ovl_Bg_Gnd_Soulmeiro,0x750,0x80,0x60,0xC0,0x0
ovl_Bg_Haka,0x620,0x30,0x50,0xA0,0x0
ovl_Bg_Haka_Gate,0xEE0,0x40,0xB0,0x1F0,0x10
ovl_Bg_Haka_Huta,0x960,0x50,0x10,0xC0,0x0
ovl_Bg_Haka_Megane,0x2F0,0x90,0x0,0x70,0x0
ovl_Bg_Haka_MeganeBG,0x5A0,0x50,0x10,0xB0,0x0
ovl_Bg_Haka_Sgami,0x960,0x1A0,0x10,0x110,0x0
ovl_Bg_Haka_Ship,0x9A0,0x30,0xD0,0x100,0x0
ovl_Bg_Haka_Trap,0x1290,0x110,0x30,0x1E0,0x0
ovl_Bg_Haka_Tubo,0x8F0,0x90,0x60,0xD0,0x0
ovl_Bg_Haka_Water,0x790,0x30,0x70,0x90,0x0
ovl_Bg_Haka_Zou,0x1030,0x70,0x20,0x110,0x0
ovl_Bg_Heavy_Block,0x16C0,0x90,0x100,0x1C0,0x0
ovl_Bg_Hidan_Curtain,0x9D0,0x80,0x130,0x100,0x0
ovl_Bg_Hidan_Dalm,0x660,0x140,0x0,0xA0,0x0
ovl_Bg_Hidan_Firewall,0x650,0x80,0x60,0xB0,0x0
ovl_Bg_Hidan_Fslift,0x400,0x30,0x10,0x70,0x0
ovl_Bg_Hidan_Fwbig,0xBC0,0x50,0x60,0xE0,0x0
