80012390,sIdleThread,OSThread,0x1B0
8011F830,gGameStateOverlayTable,GameStateOverlay[6],0x120
80120130,sDisableAttention,s16,2
80133400,sSeqCmdWrPos,u8,1
801344C0,sRandInt,u32,4
8015E660,gSaveContext,SaveContext,0x1428
8015FCB0,sDebugObjectListHead,DebugDispObject*,0x4
8015FDF0,sLightsBuffer,LightsBuffer,0x188
8015FF80,sZeldaArena,Arena,0x24
8015FFB0,sLoadedMarkDataTable,MapMarkData**,0x4
80166FA8,gSegments,u32[16],0x40
8016E264,gSoundBankMuted,u8[0xC],0xC
8016A7C0,sMatrixStack,MtxF*,0x4
8016A7C4,sCurrentMatrix,MtxF*,0x4
8016AE28,gFaultStruct,FaultThreadStruct,0x850
8016B9F4,D_8016B9F4,u8,1
8016E350,sAudioSeqCmds,u32[0x100],0x400
8016F180,gAudioContext,AudioContext,0x6450
