File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1050,0,0,1050,N,,,,,,
boot,1050,B7A0,1050,0,A750,N,,,,,,
dmadata,B7A0,116F0,B7A0,0,5F50,N,,,,,,
Audiobank,116F0,3D4B0,116F0,0,2BDC0,N,,,,,,
Audioseq,3D4B0,8CF30,3D4B0,0,4FA80,N,,,,,,
Audiotable,8CF30,4DE2C0,8CF30,0,451390,N,,,,,,
kanji,4DE2C0,55A5C0,4DE2C0,0,7C300,N,,,,,,
link_animetion,55B000,7C0C30,55A5C0,0,265C30,N,,,,,object,
icon_item_static,7C1000,8498A0,7C01F0,0,888A0,N,,,,,,
icon_item_24_static,84A000,855400,848A90,0,B400,N,,,,,,
icon_item_field_static,856000,861930,853E90,85A130,B930,Y,,,,,,
icon_item_dungeon_static,862000,863D80,85A130,85A6A0,1D80,Y,,,,,,
icon_item_gameover_static,864000,867300,85A6A0,85B5E0,3300,Y,,,,,,
icon_item_jpn_static,868000,875C80,85B5E0,85FBE0,DC80,Y,,,,,,
icon_item_nes_static,876000,883C80,85FBE0,863BC0,DC80,Y,,,,,,
item_name_static,884000,8C1800,863BC0,0,3D800,N,,,,,,
map_name_static,8C2000,8E3800,8A13C0,0,21800,N,,,,,,
do_action_static,8E4000,8E9700,8C2BC0,0,5700,N,,,,,,
message_static,8EA000,8EE180,8C82C0,0,4180,N,,,,,,
message_texture_static,8EF000,8F0200,8CC440,0,1200,N,,,,,,
cn_font_static,8F1000,92CA80,8CD640,0,3BA80,N,,,,,,
jpn_message_data_static,92D000,967350,9090C0,0,3A350,N,,,,,,
cn_message_data_static,968000,98EB50,943410,0,26B50,N,,,,,,
staff_message_data_static,98F000,98FF50,969F60,0,F50,N,,,,,,
map_grand_static,990000,99E350,96AEB0,0,E350,N,,,,,,
map_48x85_static,99F000,9C0DE0,979200,0,21DE0,N,,,,,,
map_i_static,9C1000,AAF110,99AFE0,0,EE110,N,,,,,,
code,AB0000,BB8FA0,A890F0,B08080,108FA0,Y,,,,,,
ovl_title,BB8FA0,BB98D0,B08080,B08650,930,Y,80800000,80800930,930,0,gamestate,2
ovl_select,BB98D0,BBC550,B08650,B09C90,2C80,Y,80800930,808035B0,2C80,0,gamestate,1
ovl_opening,BBC550,BBC6A0,B09C90,B09DA0,150,Y,808035B0,80803700,150,0,gamestate,4
ovl_file_choose,BBC6A0,BCD170,B09DA0,B114B0,10AD0,Y,80803700,808141F0,10AF0,20,gamestate,5
ovl_kaleido_scope,BCD170,BE91A0,B114B0,B1CE20,1C030,Y,808141F0,80830290,1C0A0,70,kaleido,0
ovl_player_actor,BE91A0,C0F8B0,B1CE20,B318E0,26710,Y,80830290,80856A70,267E0,D0,kaleido,1
ovl_map_mark_data,C0F8B0,C16410,B318E0,B31C00,6B60,Y,80856A70,8085D5D0,6B60,0,mapmarkdata,0
ovl_En_Test,C16410,C1BCC0,B31C00,B34720,58B0,Y,8085D5D0,80862E80,58B0,0,actor,2
ovl_En_GirlA,C1BCC0,C1E5E0,B34720,B357F0,2920,Y,80862E80,808657A0,2920,0,actor,4
ovl_En_Part,C1E5E0,C1FC40,B357F0,B36580,1660,Y,808657A0,80866E00,1660,0,actor,7
ovl_En_Light,C1FC40,C20A40,B36580,B36DD0,E00,Y,80866E00,80867C00,E00,0,actor,8
ovl_En_Door,C20A40,C21880,B36DD0,B37790,E40,Y,80867C00,80868A40,E40,0,actor,9
ovl_En_Box,C21880,C233D0,B37790,B387B0,1B50,Y,80868A40,8086A5A0,1B60,10,actor,A
ovl_En_Poh,C233D0,C275C0,B387B0,B3AB60,41F0,Y,8086A5A0,8086E790,41F0,0,actor,D
ovl_En_Okuta,C275C0,C29BA0,B3AB60,B3C1B0,25E0,Y,8086E790,80870D70,25E0,0,actor,E
ovl_En_Bom,C29BA0,C2AA70,B3C1B0,B3CB60,ED0,Y,80870D70,80871C40,ED0,0,actor,10
ovl_En_Wallmas,C2AA70,C2C480,B3CB60,B3DA80,1A10,Y,80871C40,80873650,1A10,0,actor,11
ovl_En_Dodongo,C2C480,C2F220,B3DA80,B3F4D0,2DA0,Y,80873650,808763F0,2DA0,0,actor,12
ovl_En_Firefly,C2F220,C31390,B3F4D0,B40800,2170,Y,808763F0,80878560,2170,0,actor,13
ovl_En_Horse,C31390,C3D5F0,B40800,B46B20,C260,Y,80878560,808847C0,C260,0,actor,14
