80000450,cleararena
80000E14,DmaMgr_SendRequest1
80002F70,StackCheck_Init
80003400,bzero
800034A0,osCreateMesgQueue
80003510,osRecvMesg
80003830,osCreateThread
80003AB0,osStartThread
80004D80,__osExceptionPreamble
80004D90,__osException
80005870,__osRestoreInt
800067B0,osGetMemSize
80007430,__osGetCause
800A7BE0,Main
800CEFDC,Audio_PlaySoundGeneral
800D3A40,Overlay_Relocate
800D5950,Sleep_Cycles
800D59BC,Sleep_Nsec
800D5A0C,Sleep_Usec
800D5A5C,Sleep_Msec
800D5AB0,Sleep_Sec
800D8DB0,__ull_div
800D8F48,__ll_mul
