File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1050,0,0,1050,N,,,,,,
boot,1050,B240,1050,0,A1F0,N,,,,,,
dmadata,B240,11190,B240,0,5F50,N,,,,,,
Audiobank,11190,3CF50,11190,0,2BDC0,N,,,,,,
Audioseq,3CF50,8C9D0,3CF50,0,4FA80,N,,,,,,
Audiotable,8C9D0,4DDD60,8C9D0,0,451390,N,,,,,,
kanji,4DDD60,55A060,4DDD60,0,7C300,N,,,,,,
link_animetion,55B000,7C0C30,55A060,0,265C30,N,,,,,object,
icon_item_static,7C1000,8498A0,7BFC90,0,888A0,N,,,,,,
icon_item_24_static,84A000,855400,848530,0,B400,N,,,,,,
icon_item_field_static,856000,861930,853930,859BD0,B930,Y,,,,,,
icon_item_dungeon_static,862000,863D80,859BD0,85A140,1D80,Y,,,,,,
icon_item_gameover_static,864000,867300,85A140,85AF50,3300,Y,,,,,,
icon_item_jpn_static,868000,875C80,85AF50,85F550,DC80,Y,,,,,,
icon_item_nes_static,876000,883C80,85F550,8632E0,DC80,Y,,,,,,
item_name_static,884000,8C1800,8632E0,0,3D800,N,,,,,,
map_name_static,8C2000,8E3800,8A0AE0,0,21800,N,,,,,,
do_action_static,8E4000,8E9700,8C22E0,0,5700,N,,,,,,
message_static,8EA000,8EE180,8C79E0,0,4180,N,,,,,,
message_texture_static,8EF000,8F0200,8CBB60,0,1200,N,,,,,,
cn_font_static,8F1000,92CC00,8CCD60,0,3BC00,N,,,,,,
jpn_message_data_static,92D000,967350,908960,0,3A350,N,,,,,,
cn_message_data_static,968000,98EB50,942CB0,0,26B50,N,,,,,,
staff_message_data_static,98F000,98FF50,969800,0,F50,N,,,,,,
map_grand_static,990000,99E350,96A750,0,E350,N,,,,,,
map_48x85_static,99F000,9C0DE0,978AA0,0,21DE0,N,,,,,,
map_i_static,9C1000,AAF110,99A880,0,EE110,N,,,,,,
code,AB0000,BB88C0,A88990,B07860,1088C0,Y,,,,,,
ovl_title,BB88C0,BB91F0,B07860,B07E30,930,Y,80800000,80800930,930,0,gamestate,2
ovl_select,BB91F0,BBBE70,B07E30,B09470,2C80,Y,80800930,808035B0,2C80,0,gamestate,1
ovl_opening,BBBE70,BBBFC0,B09470,B09580,150,Y,808035B0,80803700,150,0,gamestate,4
ovl_file_choose,BBBFC0,BCCA90,B09580,B10C80,10AD0,Y,80803700,808141F0,10AF0,20,gamestate,5
ovl_kaleido_scope,BCCA90,BE8AC0,B10C80,B1C5E0,1C030,Y,808141F0,80830290,1C0A0,70,kaleido,0
ovl_player_actor,BE8AC0,C0F1D0,B1C5E0,B310B0,26710,Y,80830290,80856A70,267E0,D0,kaleido,1
ovl_map_mark_data,C0F1D0,C15D30,B310B0,B313D0,6B60,Y,80856A70,8085D5D0,6B60,0,mapmarkdata,0
ovl_En_Test,C15D30,C1B5E0,B313D0,B33EF0,58B0,Y,8085D5D0,80862E80,58B0,0,actor,2
ovl_En_GirlA,C1B5E0,C1DF00,B33EF0,B34FD0,2920,Y,80862E80,808657A0,2920,0,actor,4
ovl_En_Part,C1DF00,C1F560,B34FD0,B35D60,1660,Y,808657A0,80866E00,1660,0,actor,7
ovl_En_Light,C1F560,C20360,B35D60,B365B0,E00,Y,80866E00,80867C00,E00,0,actor,8
ovl_En_Door,C20360,C211A0,B365B0,B36F70,E40,Y,80867C00,80868A40,E40,0,actor,9
ovl_En_Box,C211A0,C22CF0,B36F70,B37F90,1B50,Y,80868A40,8086A5A0,1B60,10,actor,A
ovl_En_Poh,C22CF0,C26EE0,B37F90,B3A340,41F0,Y,8086A5A0,8086E790,41F0,0,actor,D
ovl_En_Okuta,C26EE0,C294C0,B3A340,B3B980,25E0,Y,8086E790,80870D70,25E0,0,actor,E
ovl_En_Bom,C294C0,C2A390,B3B980,B3C330,ED0,Y,80870D70,80871C40,ED0,0,actor,10
ovl_En_Wallmas,C2A390,C2BDA0,B3C330,B3D250,1A10,Y,80871C40,80873650,1A10,0,actor,11
ovl_En_Dodongo,C2BDA0,C2EB40,B3D250,B3EC90,2DA0,Y,80873650,808763F0,2DA0,0,actor,12
ovl_En_Firefly,C2EB40,C30CB0,B3EC90,B3FFC0,2170,Y,808763F0,80878560,2170,0,actor,13
ovl_En_Horse,C30CB0,C3CF10,B3FFC0,B462D0,C260,Y,80878560,808847C0,C260,0,actor,14
ovl_En_Arrow,C3CF10,C3E610,B462D0,B470B0,1700,Y,808847C0,80885EC0,1700,0,actor,16
ovl_En_Elf,C3E610,C42FD0,B470B0,B49920,49C0,Y,80885EC0,8088A880,49C0,0,actor,18
