offset,vram,.text
0,80000460,boot_main.c
11A0,80001600,driverominit.c
1380,800017E0,mio0.s
1430,80001890,stackcheck.c
1640,80001AA0,logutils.c
1760,80001BC0,sleep.c
1900,80001D60,piacs.c
19C0,80001E20,osSendMesg.c
1B10,80001F70,osStopThread.c
1BD0,80002030,recvmesg.c
1D10,80002170,ll.c
1FD0,80002430,exceptasm.s
28D0,80002D30,__osDequeueThread.c
2910,80002D70,osDestroyThread.c
2A20,80002E80,bzero.s
2AC0,80002F20,osCreateThread.c
2C10,80003070,initialize.c
2F60,800033C0,[PADDING]
2FC0,80003420,__osSetSR.s
2FD0,80003430,__osGetSR.s
2FE0,80003440,osWritebackDCache.s
3060,800034C0,osViGetNextFramebuffer.c
30A0,80003500,pimgr.c
3210,80003670,[PADDING]
3220,80003680,__osDevMgrMain.c
3630,80003A90,__osPiRawStartDma.c
3700,80003B60,osVirtualToPhysical.c
3780,80003BE0,viblack.c
37F0,80003C50,__osSiRawReadIo.c
3840,80003CA0,osGetThreadId.c
3860,80003CC0,osSetIntMask.s
3900,80003D60,osViSetMode.c
3960,80003DC0,__osProbeTLB.s
3A30,80003E90,osGetMemSize.c
3B50,80003FB0,osSetEventMesg.c
3C10,80004070,osUnmapTLBAll.s
3D40,800041A0,osInvalICache.s
3DC0,80004220,osCreateMesgQueue.c
3DF0,80004250,osInvalDCache.s
3ED0,80004330,osJamMesg.c
4020,80004480,osSetThreadPri.c
4100,80004560,osGetThreadPri.c
4120,80004580,__osEPiRawReadIo.c
4280,800046E0,__osEPiRawStartDma.c
4460,800048C0,osGetTime.c
44F0,80004950,file_0044F0
4950,80004DB0,__osSetCompare.s
4960,80004DC0,bcopy.s
4C70,800050D0,__osResetGlobalIntMask.c
4CD0,80005130,__osDisableInt.s
4D40,800051A0,__osRestoreInt.s
4D60,800051C0,file_004D60
4EA0,80005300,__osViSwapContext.c
51A0,80005600,osPiGetCmdQueue.c
51D0,80005630,osEPiReadIo.c
5220,80005680,file_005220
5380,800057E0,__osSetFpcCsr.s
5390,800057F0,__osGetFpcCsr.s
53A0,80005800,osEPiWriteIo.c
53F0,80005850,file_0053F0
5A60,80005EC0,osStartThread.c
5BB0,80006010,__osSetHWIntrRoutine.c
