80000460,cleararena
80000498,bootproc
80000E6C,DmaMgr_Init
80000DF0,DmaMgr_SendRequest1
80002E80,bzero
800048C0,osGetTime
80007220,gMainThread
800110A0,EnAObj_SetupAction
80011478,func_8001D234
80011554,func_8001D310
800116C4,func_8001D480
8001180C,func_8001D5C8
80013A84,Item_DropCollectibleRandom
80013F30,EffectBlure_AddVertex
8001A0E0,func_80026230
8001A83C,func_80026A6C
8001A890,Effect_GetByIndex
8001AA5C,Effect_Add
8001EC20,Actor_ShapeInit
80020EB4,Actor_Kill
80020F88,Actor_SetScale
8002121C,Actor_MoveForward
80021E6C,Actor_UpdateBgCheckInfo
800223C8,func_8002EABC
80022930,func_8002F194
80022A90,func_8002F2F4
80022AD0,func_8002F334
80022FD0,Audio_PlayActorSound2
80025110,Actor_Spawn
800253F0,Actor_SpawnAsChilld
800265D4,Actor_ChangeCategory
80028048,Gfx_DrawDListOpa
800280C8,Gfx_DrawDListXlu
8002B024,func_80038290
800313A4,DynaPoly_SetBgActor
80031638,DynaPoly_DeleteBgActor
80033EF4,CollisionHeader_GetVirtual
80035260,DynaPolyActor_Init
80049DA4,func_8005B198
8004AB7C,Collider_InitCylinder
8004ACEC,Collider_SetCylinder
8004ABCC,Collider_DestroyCylinder
8004C130,CollisionCheck_SetOC
80050B00,Collider_UpdateCylinder
80058FF8,Audio_PlaySoundAtPosition
800625B0,func_8007672C
80063630,Lib_MemSet
80064178,Math_SmoothStepToF
80064780,func_80078914
80065BCC,Lights_PointNoGlowSetInfo
8006D8E0,Interface_ChangeAlpha
8007DFBC,Gfx_CallSetupDL
8007E298,func_80093D18
8007EE5C,func_80095248
80089D8C,SkelAnime_DrawFlexOpa
800900EC,Sram_InitDebugSave
800912C4,Sram_Alloc
80091858,View_Init
800A1C50,Main
800A4EBC,Math3D_Cos
800AA6B0,Matrix_Init
800AA7F4,Matrix_Translate
800AB900,Matrix_NewMtx
800CDCCC,Rand_ZeroOne
800CF470,sinf
80001890,StackCheck_Init
800CD390,SystemHeap_Init
801C7F90,n64dd_SetDiskVersion
80005130,__osDisableInt
800051A0,__osRestoreInt
