File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,7A40,1060,0,69E0,N,,,,,,
dmadata,7A40,D9B0,7A40,0,5F70,N,,,,,,
Audiobank,D9B0,39770,D9B0,0,2BDC0,N,,,,,,
Audioseq,39770,891F0,39770,0,4FA80,N,,,,,,
Audiotable,891F0,4DA580,891F0,0,451390,N,,,,,,
kanji,4DA580,556880,4DA580,0,7C300,N,,,,,,
link_animetion,557000,7BCC30,556880,0,265C30,N,,,,,object,
icon_item_static,7BD000,8458A0,7BC4B0,0,888A0,N,,,,,,
icon_item_24_static,846000,851400,844D50,0,B400,N,,,,,,
icon_item_field_static,852000,85D930,850150,856BB0,B930,Y,,,,,,
icon_item_dungeon_static,85E000,85FD80,856BB0,8571D0,1D80,Y,,,,,,
icon_item_gameover_static,860000,863300,8571D0,8588D0,3300,Y,,,,,,
icon_item_jpn_static,864000,871C80,8588D0,85DE80,DC80,Y,,,,,,
icon_item_nes_static,872000,87FC80,85DE80,863860,DC80,Y,,,,,,
item_name_static,880000,8BD800,863860,0,3D800,N,,,,,,
map_name_static,8BE000,8DF800,8A1060,0,21800,N,,,,,,
do_action_static,8E0000,8E5700,8C2860,0,5700,N,,,,,,
message_static,8E6000,8EA180,8C7F60,0,4180,N,,,,,,
jpn_message_data_static,8EB000,8EC200,8CC0E0,0,1200,N,,,,,,
message_texture_static,8ED000,8F1580,8CD2E0,0,4580,N,,,,,,
nes_font_static,8F2000,92C350,8D1860,0,3A350,N,,,,,,
nes_message_data_static,92D000,9650E0,90BBB0,0,380E0,N,,,,,,
staff_message_data_static,966000,966F60,943C90,0,F60,N,,,,,,
map_grand_static,967000,975350,944BF0,0,E350,N,,,,,,
map_i_static,976000,A64110,952F40,0,EE110,N,,,,,,
map_48x85_static,A65000,A86DE0,A41050,0,21DE0,N,,,,,,
code,A87000,B88F50,A62E30,AFC980,101F50,Y,,,,,,
n64dd,B88F50,B9BC00,AFC980,B06690,12CB0,Y,,,,,,
ovl_title,B9BC00,B9C5C0,B06690,B06E50,9C0,Y,80800000,808009C0,9C0,0,gamestate,2
ovl_select,B9C5C0,B9F320,B06E50,B089B0,2D60,Y,808009C0,80803720,2D60,0,gamestate,1
ovl_opening,B9F320,B9F480,B089B0,B08AE0,160,Y,80803720,80803880,160,0,gamestate,4
