offset,vram,.text
0,800117E0,z_en_a_keep
AA0,80012280,z_en_item00
2E90,80014670,z_eff_blure
6310,80017AF0,z_eff_shield_particle
7980,80019160,z_eff_spark
9040,8001A820,z_eff_ss_dead
97E0,8001AFC0,z_effect
9F60,8001B740,z_effect_soft_sprite
AA00,8001C1E0,z_effect_soft_sprite_old_init
D520,8001ED00,flg_set
D930,8001F110,z_DLF
DB80,8001F360,z_actor
1A0C0,8002B8A0,z_actor_dlftbls
1A2C0,8002BAA0,z_bgcheck
23EA0,80035680,z_bg_collect
241C0,800359A0,z_bg_item
24550,80035D30,z_camera
38D70,8004A550,z_collision_btltbls
38DD0,8004A5B0,z_collision_check
40A50,80052230,z_common_data
40B00,800522E0,z_debug
40E10,800525F0,z_debug_display
412C0,80052AA0,z_demo
45FE0,800577C0,z_memory_utils
46070,80057850,z_draw
47ED0,800596B0,z_sfx_source
48090,80059870,z_elf_message
48770,80059F50,z_face_reaction
487C0,80059FA0,z_env_flags
48940,8005A120,z_fcurve_data
48B80,8005A360,z_fcurve_data_skelanime
49370,8005AB50,z_horse
4A050,8005B830,z_jpeg
4A810,8005BFF0,z_kaleido_setup
4AC40,8005C420,z_kanfont
4AE50,8005C630,z_kankyo
52610,80063DF0,z_lib
537B0,80064F90,z_lifemeter
54B50,80066330,z_lights
55BF0,800673D0,z_malloc
55DD0,800675B0,z_map_mark
56420,80067C00,z_prenmi_buff
564E0,80067CC0,z_nulltask
56560,80067D40,z_olib
56C50,80068430,z_onepointdemo
5ABF0,8006C3D0,z_map_exp
5C860,8006E040,z_parameter
67F40,80079720,z_path
68110,800798F0,z_frame_advance
681C0,800799A0,z_player_lib
6BBF0,8007D3D0,z_prenmi
6BD90,8007D570,z_quake
6CC00,8007E3E0,z_rcp
6E500,8007FCE0,z_room
6FC90,80081470,z_sample
70090,80081870,z_inventory
70250,80081A30,z_scene
71700,80082EE0,z_scene_table
77D70,80089550,z_skelanime
7C6F0,8008DED0,z_skin
7D290,8008EA70,z_skin_awb
7DBA0,8008F380,z_skin_matrix
7EF40,80090720,z_sram
80280,80091A60,z_ss_sram
804A0,80091C80,z_rumble
80740,80091F20,z_view
81E70,80093650,z_vimode
829E0,800941C0,z_viscvg
82B80,80094360,z_vismono
833E0,80094BC0,z_viszbuf
836D0,80094EB0,z_vr_box
85FC0,800977A0,z_vr_box_draw
866C0,80097EA0,z_player_call
86830,80098010,z_fbdemo
87250,80098A30,z_fbdemo_triforce
87800,80098FE0,z_fbdemo_wipe1
87C70,80099450,z_fbdemo_circle
88330,80099B10,z_fbdemo_fade
88690,80099E70,shrink_window
88800,80099FE0,z_cutscene_spline
88CD0,8009A4B0,z_kaleido_manager
88F00,8009A6E0,z_kaleido_scope_call
891E0,8009A9C0,z_play
8CD50,8009E530,PreRender
8EF70,800A0750,TwoHeadGfxArena
8F180,800A0960,TwoHeadArena
8F340,800A0B20,audio_stop_all_sfx
8F390,800A0B70,audio_thread_manager
8F7A0,800A0F80,title_setup
8F810,800A0FF0,game
90050,800A1830,gamealloc
90190,800A1970,graph
90C20,800A2400,gfxalloc
90C80,800A2460,listalloc
