80000400,entrypoint
80000460,cleararena
800005A0,Main_ThreadEntry
80000FFC,DmaMgr_Init
80003010,bzero
80004BB0,osGetTime
800577C0,MemCpy
800577F0,MemSet
800A25B0,Main
800AA970,Math_GetAtan2Tbl
800AA9E8,Math_Atan2S
800AAB60,Math_Atan2F
800AABA0,Matrix_Init
800AABDC,Matrix_Push
800AAC14,Matrix_Pop
800AAC30,Matrix_Get
800AAC54,Matrix_Put
800AAC7C,Matrix_GetCurrent
800AAC8C,Matrix_Mult
800AACE4,Matrix_Translate
800AADEC,Matrix_Scale
800AAED0,Matrix_RotateX
800AB084,Matrix_RotateY
800AB23C,Matrix_RotateZ
800AB3F0,Matrix_RotateZYX
800AB6AC,Matrix_TranslateRotateZYX
800ABA00,Matrix_SetTranslateRotateYXZ
800ABBAC,Matrix_MtxFToMtx
800ABDC8,Matrix_ToMtx
800ABDF0,Matrix_NewMtx
800ABE1C,Matrix_MtxFToNewMtx
800ABE48,Matrix_MultVec3f
800ABF00,Matrix_MtxFCopy
800AC008,Matrix_MtxToMtxF
800AC25C,Matrix_MultVec3fExt
800AC30C,Matrix_Transpose
800AC344,Matrix_ReplaceRotation
800AC440,Matrix_MtxFToYXZRotS
800AC5D8,Matrix_MtxFToZYXRotS
800AC770,Matrix_RotateAxis
800ACBD8,Matrix_SetTranslateUniformScaleMtxF
800ACC40,Matrix_SetTranslateUniformScaleMtx
800ACC90,Matrix_SetTranslateUniformScaleMtx2
800ACD80,Matrix_SetTranslateScaleMtx1
800ACEA0,Matrix_SetTranslateScaleMtx2
800ACFA0,SysUcode_GetUCodeBoot
800ACFB0,SysUcode_GetUCodeBootSize
800ACFCC,SysUcode_GetUCode
800ACFDC,SysUcode_GetUCodeData
