File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,7950,1060,0,68F0,N,,,,,,
dmadata,7950,D8C0,7950,0,5F70,N,,,,,,
Audiobank,D8C0,39680,D8C0,0,2BDC0,N,,,,,,
Audioseq,39680,89100,39680,0,4FA80,N,,,,,,
Audiotable,89100,4DA490,89100,0,451390,N,,,,,,
link_animetion,4DA490,7400C0,4DA490,0,265C30,N,,,,,object,
icon_item_static,741000,7CACA0,7400C0,0,89CA0,N,,,,,,
icon_item_24_static,7CB000,7D6400,7C9D60,0,B400,N,,,,,,
icon_item_field_static,7D7000,7E2930,7D5160,7DBBC0,B930,Y,,,,,,
icon_item_dungeon_static,7E3000,7E4D80,7DBBC0,7DC1E0,1D80,Y,,,,,,
icon_item_gameover_static,7E5000,7E8C80,7DC1E0,7DDC20,3C80,Y,,,,,,
icon_item_nes_static,7E9000,7F6C80,7DDC20,7E3600,DC80,Y,,,,,,
icon_item_ger_static,7F7000,805B80,7E3600,7E8E00,EB80,Y,,,,,,
icon_item_fra_static,806000,815480,7E8E00,7EE720,F480,Y,,,,,,
item_name_static,816000,872400,7EE720,0,5C400,N,,,,,,
map_name_static,873000,8A5400,84AB20,0,32400,N,,,,,,
do_action_static,8A6000,8AE280,87CF20,0,8280,N,,,,,,
message_static,8AF000,8B3180,8851A0,0,4180,N,,,,,,
message_texture_static,8B4000,8B5200,889320,0,1200,N,,,,,,
nes_font_static,8B6000,8BA580,88A520,0,4580,N,,,,,,
nes_message_data_static,8BB000,8F3120,88EAA0,0,38120,N,,,,,,
ger_message_data_static,8F4000,92F9A0,8C6BC0,0,3B9A0,N,,,,,,
fra_message_data_static,930000,967310,902560,0,37310,N,,,,,,
staff_message_data_static,968000,968F50,939870,0,F50,N,,,,,,
map_grand_static,969000,977350,93A7C0,0,E350,N,,,,,,
map_i_static,978000,A66110,948B10,0,EE110,N,,,,,,
map_48x85_static,A67000,A88DE0,A36C20,0,21DE0,N,,,,,,
code,A89000,B8A4F0,A58A00,AF2B80,1014F0,Y,,,,,,
n64dd,B8A4F0,B9D180,AF2B80,AFC890,12C90,Y,,,,,,
ovl_title,B9D180,B9DB40,AFC890,AFD050,9C0,Y,80800000,808009C0,9C0,0,gamestate,2
ovl_select,B9DB40,BA08A0,AFD050,AFEBB0,2D60,Y,808009C0,80803720,2D60,0,gamestate,1
ovl_opening,BA08A0,BA0A00,AFEBB0,AFECE0,160,Y,80803720,80803880,160,0,gamestate,4
ovl_file_choose,BA0A00,BB10E0,AFECE0,B08320,106E0,Y,80803880,80813F90,10710,30,gamestate,5
ovl_kaleido_scope,BB10E0,BCDCE0,B08320,B174E0,1CC00,Y,80813F90,80830C00,1CC70,70,kaleido,0
ovl_player_actor,BCDCE0,BF4390,B174E0,B307E0,266B0,Y,80830C00,80857380,26780,D0,kaleido,1
ovl_map_mark_data,BF4390,BFAEF0,B307E0,B30B90,6B60,Y,80857380,8085DEE0,6B60,0,mapmarkdata,0
ovl_En_Test,BFAEF0,C007A0,B30B90,B34060,58B0,Y,8085DEE0,80863790,58B0,0,actor,2
ovl_En_GirlA,C007A0,C030C0,B34060,B354D0,2920,Y,80863790,808660B0,2920,0,actor,4
ovl_En_Part,C030C0,C046D0,B354D0,B36500,1610,Y,808660B0,808676C0,1610,0,actor,7
ovl_En_Light,C046D0,C054C0,B36500,B36EC0,DF0,Y,808676C0,808684B0,DF0,0,actor,8
ovl_En_Door,C054C0,C06300,B36EC0,B37A80,E40,Y,808684B0,808692F0,E40,0,actor,9
ovl_En_Box,C06300,C07E30,B37A80,B38D60,1B30,Y,808692F0,8086AE30,1B40,10,actor,A
ovl_En_Poh,C07E30,C0BFC0,B38D60,B3B7E0,4190,Y,8086AE30,8086EFC0,4190,0,actor,D
ovl_En_Okuta,C0BFC0,C0E5A0,B3B7E0,B3D220,25E0,Y,8086EFC0,808715A0,25E0,0,actor,E
ovl_En_Bom,C0E5A0,C0F470,B3D220,B3DDD0,ED0,Y,808715A0,80872470,ED0,0,actor,10
ovl_En_Wallmas,C0F470,C10E80,B3DDD0,B3EF70,1A10,Y,80872470,80873E80,1A10,0,actor,11
ovl_En_Dodongo,C10E80,C13C20,B3EF70,B40EB0,2DA0,Y,80873E80,80876C20,2DA0,0,actor,12
ovl_En_Firefly,C13C20,C15D90,B40EB0,B42530,2170,Y,80876C20,80878D90,2170,0,actor,13
ovl_En_Horse,C15D90,C21FF0,B42530,B49D30,C260,Y,80878D90,80884FF0,C260,0,actor,14
ovl_En_Arrow,C21FF0,C236E0,B49D30,B4ADB0,16F0,Y,80884FF0,808866E0,16F0,0,actor,16
ovl_En_Elf,C236E0,C280A0,B4ADB0,B4DD60,49C0,Y,808866E0,8088B0A0,49C0,0,actor,18
