80000400,entrypoint
80000460,cleararena
80000498,bootproc
800005A0,Main_ThreadEntry
8000063C,Idle_ThreadEntry
800007E0,ViConfig_UpdateVi
800008E0,ViConfig_UpdateBlack
80000930,DmaMgr_StrCmp
8000099C,DmaMgr_DmaRomToRam
80000B20,DmaMgr_AudioDmaHandler
80000B94,DmaMgr_DmaFromDriveRom
80000C38,DmaMgr_GetFileName
80000C4C,DmaMgr_ProcessRequest
80000DE8,DmaMgr_ThreadEntry
80000E68,DmaMgr_SendRequest
80000F30,DmaMgr_RequestSync
80000FAC,DmaMgr_Init
800010A0,Yaz0_FirstDMA
80001140,Yaz0_NextDMA
8000122C,Yaz0_DecompressImpl
80001394,Yaz0_Decompress
800013E0,Locale_Init
8000146C,Locale_ResetRegion
8000171C,osSyncPrintf
80001760,osDriveRomInit
80001940,Mio0_Decompress
800019F0,StackCheck_Init
80001AA8,StackCheck_Cleanup
80001AEC,StackCheck_GetState
80001C00,LogUtils_CheckFloatRange
80001C98,LogUtils_HungupThread
80001CE4,LogUtils_ResetHungup
80001D20,Sleep_Cycles
80001D8C,Sleep_Nsec
80001DDC,Sleep_Usec
80001E2C,Sleep_Msec
80001E80,Sleep_Sec
80001EC0,__osPiCreateAccessQueue
80001F10,__osPiGetAccess
80001F54,__osPiRelAccess
80001F80,osSendMesg
800020D0,osStopThread
80002190,osViExtendVStart
800021A0,osRecvMesg
800022E0,__ull_rshift
8000230C,__ull_rem
80002348,__ull_div
80002384,__ll_lshift
800023B0,__ll_rem
800023EC,__ll_div
80002448,__ll_mul
80002478,__ull_divremi
800024D8,__ll_mod
80002574,__ll_rshift
800025A0,__osExceptionPreamble
800025B0,__osException
80002BBC,__osEnqueueAndYield
80002CBC,__osEnqueueThread
80002D04,__osPopThread
80002D14,__osDispatchThread
80002E90,__osCleanupThread
80002EA0,__osDequeueThread
80002EE0,osDestroyThread
80002FF0,bzero
80003090,osCreateThread
800031E0,osInitialize
80003488,createSpeedParam
80003590,__osSetSR
800035A0,__osGetSR
800035B0,osWritebackDCache
80003630,osViGetNextFramebuffer
80003670,osCreatePiManager
800037E0,__osDevMgrMain
80003BF0,__osPiRawStartDma
80003CC0,osVirtualToPhysical
80003D40,osViBlack
80003DB0,__osSiRawReadIo
80003E00,osGetThreadId
80003E20,osSetIntMask
80003EC0,osViSetMode
80003F30,__osProbeTLB
80003FF0,osGetMemSize
80004110,osSetEventMesg
800041D0,osUnmapTLBAll
80004220,osEPiStartDma
80004300,osInvalICache
80004380,osCreateMesgQueue
800043B0,osInvalDCache
80004460,__osSiDeviceBusy
80004490,osJamMesg
800045E0,osSetThreadPri
800046C0,osGetThreadPri
800046E0,__osEPiRawReadIo
80004840,osViSwapBuffer
80004890,__osEPiRawStartDma
80004A70,osGetTime
80004B00,__osTimerServicesInit
80004B8C,__osTimerInterrupt
80004D04,__osSetTimerIntr
80004D78,__osInsertTimer
80004F00,osGetCount
80004F10,__osSetGlobalIntMask
80004F60,__osSetCompare
80004F70,bcopy
80005280,__osResetGlobalIntMask
800052E0,__osDisableInt
80005350,__osRestoreInt
80005370,__osViInit
800054B0,__osViSwapContext
800057B0,osPiGetCmdQueue
800057E0,osEPiReadIo
80005830,osViSetSpecialFeatures
80005990,osCartRomInit
80005AF0,__osSetFpcCsr
80005B00,__osGetFpcCsr
80005B10,osEPiWriteIo
80005B60,osMapTLBRdb
80005BC0,osYieldThread
80005C10,__osGetCause
80005C20,__osEPiRawWriteIo
80005D80,osSetTimer
80005E60,__osSiRawWriteIo
80005EC0,osCreateViManager
80006040,viMgrMain
800061D0,__osViGetCurrentContext
800061E0,osStartThread
80006330,osViSetYScale
80006390,osViSetXScale
800064C0,__osSetHWIntrRoutine
80006530,__osGetHWIntrRoutine
800116E0,EnAObj_SetupAction
800116EC,EnAObj_Init
80011A2C,EnAObj_Destroy
80011A88,EnAObj_WaitFinishedTalking
80011AB8,EnAObj_SetupWaitTalk
80011AE0,EnAObj_WaitTalk
80011B94,EnAObj_SetupBlockRot
80011BE4,EnAObj_BlockRot
80011D04,EnAObj_SetupBoulderFragment
80011D2C,EnAObj_BoulderFragment
80011E4C,EnAObj_SetupBlock
80011E8C,EnAObj_Block
80011F74,EnAObj_Update
80012090,EnAObj_Draw
80012180,EnItem00_SetupAction
8001218C,EnItem00_Init
800127F4,EnItem00_Destroy
80012820,func_8001DFC8
80012A20,func_8001E1C8
80012B5C,func_8001E304
80012E20,EnItem00_Collected
80012F78,EnItem00_Update
800135F8,EnItem00_Draw
80013790,EnItem00_DrawRupee
800138A8,EnItem00_DrawCollectible
800139E0,EnItem00_DrawHeartContainer
80013AD8,EnItem00_DrawHeartPiece
80013B70,func_8001F404
80013CB8,Item_DropCollectible
80013EF0,Item_DropCollectible2
800140C4,Item_DropCollectibleRandom
80014570,EffectBlure_AddVertex
80014894,EffectBlure_AddSpace
800148D8,EffectBlure_InitElements
80014990,EffectBlure_Init1
80014AA0,EffectBlure_Init2
80014BD4,EffectBlure_Destroy
80014BE0,EffectBlure_Update
80015044,EffectBlure_UpdateFlags
800151B4,EffectBlure_GetComputedValues
800156C8,EffectBlure_SetupSmooth
800156FC,EffectBlure_DrawElemNoInterpolation
80015BD0,EffectBlure_DrawElemHermiteInterpolation
800165A4,EffectBlure_DrawSmooth
80016874,EffectBlure_SetupSimple
800168AC,EffectBlure_SetupSimpleAlt
80016B08,EffectBlure_DrawSimpleVertices
80016FF4,EffectBlure_DrawSimple
80017500,EffectBlure_Draw
800179F0,EffectShieldParticle_Init
80017C28,EffectShieldParticle_Destroy
80017CB4,EffectShieldParticle_Update
80017E18,EffectShieldParticle_GetColors
80018B38,EffectShieldParticle_Draw
80019060,EffectSpark_Init
8001943C,EffectSpark_Destroy
80019448,EffectSpark_Update
8001950C,EffectSpark_Draw
8001A720,func_80026230
8001A8C8,func_80026400
8001AAA8,func_80026608
8001AAEC,func_80026690
8001AC94,func_80026860
8001AE7C,func_80026A6C
8001AEC0,Effect_GetPlayState
8001AED0,Effect_GetByIndex
8001AFE0,Effect_InitStatus
8001AFF4,Effect_InitContext
8001B09C,Effect_Add
8001B21C,Effect_DrawAll
8001B318,Effect_UpdateAll
8001B444,Effect_Delete
8001B550,Effect_DeleteAll
8001B640,EffectSs_InitInfo
8001B724,EffectSs_ClearAll
8001B7E4,EffectSs_Delete
8001B844,EffectSs_Reset
8001B8D8,EffectSs_FindSlot
8001BA10,EffectSs_Insert
8001BAA8,EffectSs_Spawn
8001BC50,EffectSs_Update
8001BCF0,EffectSs_UpdateAll
8001BDAC,EffectSs_Draw
8001BDF0,EffectSs_DrawAll
8001BF3C,func_80027DD4
8001BFA0,func_80027E34
8001BFF4,func_80027E84
8001C0E0,EffectSs_DrawGEffect
8001C320,EffectSsDust_Spawn
8001C3D4,func_8002829C
8001C43C,func_80028304
8001C4A4,func_8002836C
8001C50C,func_800283D4
8001C574,func_8002843C
8001C5DC,func_800284A4
8001C648,func_80028510
8001C6B4,func_8002857C
8001C724,func_800285EC
8001C794,func_8002865C
8001C804,func_800286CC
8001C874,func_8002873C
8001C8E4,func_800287AC
8001C954,func_8002881C
8001C990,func_80028858
8001C9CC,func_80028894
8001CAC8,func_80028990
8001CB8C,func_80028A54
8001CC50,EffectSsKiraKira_SpawnSmallYellow
8001CCAC,EffectSsKiraKira_SpawnSmall
8001CCE8,EffectSsKiraKira_SpawnDispersed
8001CE24,EffectSsKiraKira_SpawnFocused
8001CEFC,EffectSsBomb_Spawn
8001CF54,EffectSsBomb2_SpawnFade
8001CFBC,EffectSsBomb2_SpawnLayered
8001D02C,EffectSsBlast_Spawn
8001D0BC,EffectSsBlast_SpawnWhiteCustomScale
8001D110,EffectSsBlast_SpawnShockwave
8001D15C,EffectSsBlast_SpawnWhiteShockwave
8001D198,EffectSsGSpk_SpawnAccel
8001D228,EffectSsGSpk_SpawnNoAccel
8001D2BC,EffectSsGSpk_SpawnFuse
8001D310,EffectSsGSpk_SpawnRandColor
8001D414,EffectSsGSpk_SpawnSmall
8001D458,EffectSsDFire_Spawn
8001D4D8,EffectSsDFire_SpawnFixedScale
8001D51C,EffectSsBubble_Spawn
8001D57C,EffectSsGRipple_Spawn
8001D5D4,EffectSsGSplash_Spawn
8001D668,EffectSsGMagma_Spawn
8001D6A0,EffectSsGFire_Spawn
8001D6D8,EffectSsLightning_Spawn
8001D750,EffectSsDtBubble_SpawnColorProfile
8001D7CC,EffectSsDtBubble_SpawnCustomColor
8001D85C,EffectSsHahen_Spawn
8001D8DC,EffectSsHahen_SpawnBurst
8001DA24,EffectSsStick_Spawn
8001DA78,EffectSsSibuki_Spawn
8001DAE8,EffectSsSibuki_SpawnBurst
8001DC6C,EffectSsSibuki2_Spawn
8001DCCC,EffectSsGMagma2_Spawn
8001DD3C,EffectSsStone1_Spawn
8001DD90,EffectSsHitMark_Spawn
8001DDE8,EffectSsHitMark_SpawnFixedScale
8001DE0C,EffectSsHitMark_SpawnCustomScale
8001DE38,EffectSsFhgFlash_SpawnLightBall
8001DEA4,EffectSsFhgFlash_SpawnShock
8001DF08,EffectSsKFire_Spawn
8001DF70,EffectSsSolderSrchBall_Spawn
8001DFD8,EffectSsKakera_Spawn
8001E090,EffectSsIcePiece_Spawn
8001E0F8,EffectSsIcePiece_SpawnBurst
8001E28C,EffectSsEnIce_SpawnFlyingVec3f
8001E32C,EffectSsEnIce_SpawnFlyingVec3s
8001E3F8,EffectSsEnIce_Spawn
8001E480,EffectSsFireTail_Spawn
8001E518,EffectSsFireTail_SpawnFlame
8001E5DC,EffectSsFireTail_SpawnFlameOnPlayer
8001E62C,EffectSsEnFire_SpawnVec3f
8001E6A4,EffectSsEnFire_SpawnVec3s
8001E750,EffectSsExtra_Spawn
8001E7B8,EffectSsFCircle_Spawn
8001E814,EffectSsDeadDb_Spawn
8001E8CC,EffectSsDeadDd_Spawn
8001E980,EffectSsDeadDd_SpawnRandYellow
8001E9F0,EffectSsDeadDs_Spawn
8001EA68,EffectSsDeadDs_SpawnStationary
8001EAB8,EffectSsDeadSound_Spawn
8001EB50,EffectSsDeadSound_SpawnStationary
8001EBA0,EffectSsIceSmoke_Spawn
8001EC00,FlagSet_Update
8001F010,Overlay_LoadGameState
8001F138,Overlay_FreeGameState
8001F260,ActorShape_Init
8001F284,ActorShadow_Draw
8001F634,ActorShadow_DrawCircle
8001F65C,ActorShadow_DrawWhiteCircle
8001F68C,ActorShadow_DrawHorse
8001F6B4,ActorShadow_DrawFoot
8001F8C0,ActorShadow_DrawFeet
8001FD8C,Actor_SetFeetPos
8001FDE0,Actor_ProjectPos
8001FE44,func_8002BE64
8001FE7C,func_8002BE98
8001FF44,Actor_SetNaviToActor
800200A8,func_8002C0C0
8002010C,func_8002C124
80020748,func_8002C7BC
80020ADC,Flags_GetSwitch
80020B10,Flags_SetSwitch
80020B50,Flags_UnsetSwitch
80020B94,Flags_GetUnknown
80020BC8,Flags_SetUnknown
80020C08,Flags_UnsetUnknown
80020C4C,Flags_GetTreasure
80020C64,Flags_SetTreasure
80020C80,Flags_GetClear
80020C98,Flags_SetClear
80020CB4,Flags_UnsetClear
80020CD4,Flags_GetTempClear
80020CEC,Flags_SetTempClear
80020D08,Flags_UnsetTempClear
80020D28,Flags_GetCollectible
80020D5C,Flags_SetCollectible
80020DA0,TitleCard_Init
80020DC0,TitleCard_InitBossName
80020E04,TitleCard_InitPlaceName
80020EA0,TitleCard_Update
80020F5C,TitleCard_Draw
800214AC,TitleCard_Clear
800214E0,Actor_Kill
80021500,Actor_SetWorldToHome
80021530,Actor_SetFocus
80021574,Actor_SetWorldRotToShape
80021594,Actor_SetShapeRotToWorld
800215B4,Actor_SetScale
800215D0,Actor_SetObjectDependency
80021608,Actor_Init
8002171C,Actor_Destroy
80021750,Actor_UpdatePos
800217D0,Actor_UpdateVelocityXZGravity
80021848,Actor_MoveForward
80021874,Actor_UpdateVelocityXYZ
800218E4,Actor_MoveXYZ
80021910,Actor_SetProjectileSpeed
80021964,Actor_UpdatePosByAnimation
800219E0,Actor_WorldYawTowardActor
80021A0C,Actor_FocusYawTowardActor
80021A38,Actor_WorldYawTowardPoint
80021A5C,Actor_WorldPitchTowardActor
80021A88,Actor_FocusPitchTowardActor
80021AB4,Actor_WorldPitchTowardPoint
80021AD8,Actor_WorldDistXYZToActor
80021B04,Actor_WorldDistXYZToPoint
80021B28,Actor_WorldDistXZToActor
80021B54,Actor_WorldDistXZToPoint
80021B78,func_8002DBD0
80021C18,Actor_HeightDiff
80021C2C,Player_GetHeight
80021C8C,func_8002DCE4
80021D14,func_8002DD6C
80021D24,func_8002DD78
80021D58,func_8002DDA8
80021D94,func_8002DDE4
80021DA8,func_8002DDF4
80021DBC,func_8002DE04
80021E2C,func_8002DE74
80021E84,Actor_MountHorse
80021EA8,func_8002DEEC
80021ED4,func_8002DF18
80021EF4,func_8002DF38
80021F18,func_8002DF54
80021F54,func_8002DF90
80021F6C,func_8002DFA4
80021F94,Player_IsFacingActor
80021FEC,Actor_ActorBIsFacingActorA
80022054,Actor_IsFacingPlayer
800220A0,Actor_ActorAIsFacingActorB
80022100,Actor_IsFacingAndNearPlayer
80022180,Actor_ActorAIsFacingAndNearActorB
80022214,func_8002E234
8002228C,func_8002E2AC
80022498,Actor_UpdateBgCheckInfo
80022818,func_8002E830
