offset,vram,.text
0,80000460,boot_main.c
140,800005A0,idle.c
380,800007E0,viconfig.c
4D0,80000930,z_std_dma.c
C40,800010A0,yaz0.c
F80,800013E0,z_locale.c
1300,80001760,driverominit.c
14E0,80001940,mio0.s
1590,800019F0,stackcheck.c
1A60,80001EC0,piacs.c
1B20,80001F80,osSendMesg.c
1C70,800020D0,osStopThread.c
1D30,80002190,osViExtendVStart.c
1D40,800021A0,recvmesg.c
1E80,800022E0,ll.c
2140,800025A0,exceptasm.s
2A40,80002EA0,__osDequeueThread.c
2A80,80002EE0,osDestroyThread.c
2B90,80002FF0,bzero.s
2C30,80003090,osCreateThread.c
3130,80003590,__osSetSR.s
3140,800035A0,__osGetSR.s
3150,800035B0,osWritebackDCache
31D0,80003630,file_0031D0
3210,80003670,pimgr.c
3380,800037E0,__osDevMgrMain.c
3790,80003BF0,__osPiRawStartDma.c
3860,80003CC0,osVirtualToPhysical.c
38E0,80003D40,file_0038E0
3950,80003DB0,__osSiRawReadIo.c
39A0,80003E00,osGetThreadId.c
39C0,80003E20,osSetIntMask.s
3A60,80003EC0,file_003A60
3AC0,80003F20,__osProbeTLB
3B90,80003FF0,osGetMemSize.c
3CB0,80004110,osSetEventMesg.c
3D70,800041D0,osUnmapTLBAll
3DC0,80004220,file_003DC0
3EA0,80004300,osInvalICache.s
3F20,80004380,osCreateMesgQueue.c
3F50,800043B0,osInvalDCache.s
4000,80004460,file_004000
4030,80004490,osJamMesg.c
4180,800045E0,osSetThreadPri.c
4260,800046C0,osGetThreadPri.c
4280,800046E0,__osEPiRawReadIo.c
43E0,80004840,file_0043E0
4430,80004890,__osEPiRawStartDma.c
4610,80004A70,osGetTime.c
46A0,80004B00,timerintr.c
4AA0,80004F00,osGetCount.s
4AB0,80004F10,__osSetGlobalIntMask.c
4B00,80004F60,__osSetCompare.s
4B10,80004F70,bcopy.s
4E20,80005280,__osResetGlobalIntMask.c
4E80,800052E0,__osDisableInt
4EF0,80005350,__osRestoreInt
4F10,80005370,file_004F10
5050,800054B0,__osViSwapContext.c
5350,800057B0,file_005350
5380,800057E0,osEPiReadIo.c
53D0,80005830,osViSetSpecialFeatures.c
5530,80005990,osCartRomInit.c
5690,80005AF0,__osSetFpcCsr.s
56A0,80005B00,__osGetFpcCsr.s
56B0,80005B10,file_0056B0
5700,80005B60,osMapTLBRdb
5760,80005BC0,osYieldThread.c
57B0,80005C10,__osGetCause
57C0,80005C20,__osEPiRawWriteIo.c
5920,80005D80,file_005920
5A00,80005E60,__osSiRawWriteIo.c
5A50,80005EB0,file_005A50
5A60,80005EC0,vimgr.c
5D70,800061D0,__osViGetCurrentContext.c
5D80,800061E0,osStartThread.c
5ED0,80006330,file_005ED0
6060,800064C0,__osSetHWIntrRoutine.c
60D0,80006530,file_0060D0
