,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,
Debug rom,,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
boot_main,,,60F0,80006550,10,60F0,80006550,10,60F0,80006550,10,6610,80006A70,10,6620,80006A80,,6610,80006A70,10,6700,80006B60,,5F40,800063A0,10,5F40,800063A0,10,5F40,800063A0,10,5F40,800063A0,10,5F40,800063A0,10,,,,,,,5F40,800063A0,10,AB60,8000AFC0,10,5F40,800063A0,10,9D40,8000A190,10,,,
idle,,,6100,80006560,10,6100,80006560,10,6100,80006560,10,6620,80006A80,10,,,,6620,80006A80,10,,,,5F50,800063B0,10,5F50,800063B0,10,5F50,800063B0,10,5F50,800063B0,10,5F50,800063B0,10,,,,,,,5F50,800063B0,10,AB70,8000AFD0,270,5F50,800063B0,10,9D50,8000A1A0,250,,,
viconfig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADE0,8000B240,40,,,,,,,,,
z_std_dma,,,6110,80006570,80,6110,80006570,80,6110,80006570,80,6630,80006A90,80,,,,6630,80006A90,80,,,,5F60,800063C0,60,5F60,800063C0,60,5F60,800063C0,60,5F60,800063C0,60,5F60,800063C0,60,,,,,,,5F60,800063C0,60,AE20,8000B280,6AA0,5F60,800063C0,60,9FA0,8000A3F0,,,,
z_locale,,,6190,800065F0,10,6190,800065F0,10,6190,800065F0,10,66B0,80006B10,10,,,,66B0,80006B10,10,,,,5FC0,80006420,10,5FC0,80006420,10,5FC0,80006420,10,5FC0,80006420,10,5FC0,80006420,10,,,,,,,5FC0,80006420,10,118C0,80011D20,90,5FC0,80006420,10,,,,,,
CIC6105,,,61A0,80006600,60,61A0,80006600,60,61A0,80006600,60,66C0,80006B20,60,,,,66C0,80006B20,60,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,,,,,
assert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11950,80011DB0,50,,,,,,,,,
is_debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119A0,80011E00,20,,,,,,,,,
stackcheck,,,6200,80006660,40,6200,80006660,40,6200,80006660,40,6720,80006B80,40,,,,6720,80006B80,40,,,,5FD0,80006430,10,5FD0,80006430,10,5FD0,80006430,10,5FD0,80006430,10,5FD0,80006430,10,,,,,,,5FD0,80006430,10,119C0,80011E20,D0,5FD0,80006430,10,,,,,,
logutils,,,6240,800066A0,70,6240,800066A0,70,6240,800066A0,70,6760,80006BC0,70,,,,6760,80006BC0,70,,,,5FE0,80006440,10,5FE0,80006440,10,5FE0,80006440,10,5FE0,80006440,10,5FE0,80006440,10,,,,,,,5FE0,80006440,10,11A90,80011EF0,200,5FE0,80006440,10,,,,,,
exceptasm,,,62B0,80006710,50,62B0,80006710,50,62B0,80006710,50,67D0,80006C30,50,,,,67D0,80006C30,50,,,,5FF0,80006450,50,5FF0,80006450,50,5FF0,80006450,50,5FF0,80006450,50,5FF0,80006450,50,,,,,,,5FF0,80006450,50,11C90,800120F0,50,5FF0,80006450,50,,,,,,
devmgr,,,6300,80006760,20,6300,80006760,20,6300,80006760,20,6820,80006C80,20,,,,6820,80006C80,20,,,,6040,800064A0,20,6040,800064A0,20,6040,800064A0,20,6040,800064A0,20,6040,800064A0,20,,,,,,,6040,800064A0,20,11CE0,80012140,20,6040,800064A0,20,,,,,,
setintmask,,,6320,80006780,80,6320,80006780,80,6320,80006780,80,6840,80006CA0,80,,,,6840,80006CA0,80,,,,6060,800064C0,80,6060,800064C0,80,6060,800064C0,80,6060,800064C0,80,6060,800064C0,80,,,,,,,6060,800064C0,80,11D00,80012160,80,6060,800064C0,80,,,,,,
xprintf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11D80,800121E0,100,,,,,,,,,
xldtob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11E80,800122E0,60,,,,,,,,,
build,,,63A0,80006800,30,63A0,80006800,30,63A0,80006800,30,68C0,80006D20,30,,,,68C0,80006D20,30,0069B0,80006E10,30,60E0,80006540,30,60E0,80006540,30,60E0,80006540,30,60E0,80006540,30,60E0,80006540,30,,,,,,,60E0,80006540,30,11EE0,80012340,30,60E0,80006540,30,,,,,,
.bss,,,63D0,80006830,,63D0,80006830,,63D0,80006830,,68F0,80006D50,,6900,80006D60,,68F0,80006D50,,,,,6110,80006570,,6110,80006570,,6110,80006570,,6110,80006570,,6110,80006570,,,,,,,,6110,80006570,,11F10,80012370,,6110,80006570,,,,,,,
