,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,
Debug rom,,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
boot_main,,,0,80000460,140,0,80000460,140,0,80000460,140,0,80000460,140,0,80000460,140,0,80000460,140,0,80000460,140,0,80000460,140,0,80000460,140,0,80000460,140,0,80000460,140,0,80000460,140,0,80000460,,0,80000460,,0,80000460,140,0,80000460,140,0,80000460,140,0,80000450,140,0,80000450,
idle,,,140,800005A0,250,140,800005A0,250,140,800005A0,250,140,800005A0,240,0140,800005A0,290,140,800005A0,240,140,800005A0,290,140,800005A0,290,140,800005A0,290,140,800005A0,290,140,800005A0,290,140,800005A0,290,,,,,,,140,800005A0,290,140,800005a0,470,140,800005A0,290,140,80000590,,,,
viconfig,,new in np0,-,-,-,-,-,-,-,-,-,380,800007E0,150,03D0,80000830,150,380,800007E0,150,3D0,80000830,150,3D0,80000830,150,3D0,80000830,150,3D0,80000830,150,3D0,80000830,150,3D0,80000830,150,,,,,,,3D0,80000830,150,5B0,80000a10,180,3D0,80000830,150,,,,,,
z_std_dma,,"Several functions are gone, others have shrunk considerably",390,800007F0,770,390,800007F0,770,390,800007F0,770,4D0,80000930,770,520,80000980,770,4D0,80000930,770,520,80000980,770,520,80000980,640,520,80000980,640,520,80000980,640,520,80000980,640,520,80000980,640,,,,,,,520,80000980,640,730,80000b90,fa0,520,80000980,640,,,,,,
yaz0,,,B00,80000F60,340,B00,80000F60,340,B00,80000F60,340,C40,800010A0,340,C90,800010F0,340,C40,800010A0,340,C90,800010F0,340,B60,80000FC0,340,B60,80000FC0,340,B60,80000FC0,340,B60,80000FC0,340,B60,80000FC0,340,,,,,,,B60,80000FC0,340,16D0,80001b30,330,B60,80000FC0,340,,,,,,
z_locale,,longer from np0,E40,800012A0,80,E40,800012A0,80,E40,800012A0,80,F80,800013E0,A0,FD0,80001430,A0,F80,800013E0,A0,FD0,80001430,90,EA0,80001300,C0,EA0,80001300,C0,EA0,80001300,C0,EA0,80001300,C0,EA0,80001300,C0,,,,,,,EA0,80001300,C0,1A00,80001e60,190,EA0,80001300,C0,,,,,,
CIC6105,n64 only,,EC0,80001320,280,EC0,80001320,280,EC0,80001320,280,1020,80001480,280,1070,800014D0,280,1020,80001480,280,1060,800014C0,260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
assert,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,1B90,80001ff0,80,-,-,-,,,,,,
[PADDING],,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,1C10,80002070,10,-,-,-,,,,,,
is_debug,,,1140,800015A0,60,1140,800015A0,60,1140,800015A0,60,12A0,80001700,60,12F0,80001750,60,12A0,80001700,60,12C0,80001720,60,F60,800013C0,60,F60,800013C0,60,F60,800013C0,60,F60,800013C0,60,F60,800013C0,60,,,,,,,F60,800013C0,60,1C20,80002080,350,F60,800013C0,60,,,,,,
driverominit,,,11A0,80001600,1E0,11A0,80001600,1E0,11A0,80001600,1E0,1300,80001760,1E0,1350,800017B0,1E0,1300,80001760,1E0,1320,80001780,1E0,FC0,80001420,1E0,FC0,80001420,1E0,FC0,80001420,1E0,FC0,80001420,1E0,FC0,80001420,1E0,,,,,,,FC0,80001420,1E0,1F70,800023d0,1e0,FC0,80001420,1E0,,,,,,
mio0,,,1380,800017E0,B0,1380,800017E0,B0,1380,800017E0,B0,14E0,80001940,B0,1530,80001990,B0,14E0,80001940,B0,1500,80001960,B0,11A0,80001600,B0,11A0,80001600,B0,11A0,80001600,B0,11A0,80001600,B0,11A0,80001600,B0,,,,,,,11A0,80001600,B0,2150,800025b0,b0,11A0,80001600,B0,,,,,,
stackcheck,,,1430,80001890,210,1430,80001890,210,1430,80001890,210,1590,800019F0,210,15E0,80001A40,210,1590,800019F0,210,15B0,80001A10,210,1250,800016B0,250,1250,800016B0,250,1250,800016B0,250,1250,800016B0,250,1250,800016B0,250,,,,,,,1250,800016B0,250,2200,80002660,390,1250,800016B0,250,,,,,,
logutils,,Retail has only last two functions,1640,80001AA0,120,1640,80001AA0,120,1640,80001AA0,120,17A0,80001C00,120,17F0,80001C50,120,17A0,80001C00,120,17C0,80001C20,120,14A0,80001900,60,14A0,80001900,60,14A0,80001900,60,14A0,80001900,60,14A0,80001900,60,,,,,,,14A0,80001900,60,2590,800029f0,4e0,14A0,80001900,60,,,,,,
sleep,,In code in gc and iQue,1760,80001BC0,1A0,1760,80001BC0,1A0,1760,80001BC0,1A0,18C0,80001D20,1A0,1910,80001D70,1A0,18C0,80001D20,1A0,18E0,80001D40,1A0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,,,,-,-,-,-,-,-,,,
sprintf,,In code on retail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,2A70,80002ed0,d0,-,-,-,,,,,,
piacs,,,1900,80001D60,C0,1900,80001D60,C0,1900,80001D60,C0,1A60,80001EC0,C0,1AB0,80001F10,C0,1A60,80001EC0,C0,1A80,80001EE0,C0,1500,80001960,C0,1500,80001960,C0,1500,80001960,C0,1500,80001960,C0,1500,80001960,C0,,,,,,,1500,80001960,C0,2B40,80002fa0,c0,1500,80001960,C0,,,,,,
sendmesg,,,19C0,80001E20,150,19C0,80001E20,150,19C0,80001E20,150,1B20,80001F80,150,1B70,80001FD0,150,1B20,80001F80,150,1B40,80001FA0,150,15C0,80001A20,150,15C0,80001A20,150,15C0,80001A20,150,15C0,80001A20,150,15C0,80001A20,150,,,,,,,15C0,80001A20,150,2C00,80003060,150,15C0,80001A20,150,,,,,,
stopthread,,,1B10,80001F70,C0,1B10,80001F70,C0,1B10,80001F70,C0,1C70,800020D0,C0,1CC0,80002120,C0,1C70,800020D0,C0,1C90,800020F0,C0,1710,80001B70,C0,1710,80001B70,C0,1710,80001B70,C0,1710,80001B70,C0,1710,80001B70,C0,,,,,,,1710,80001B70,C0,2D50,800031b0,c0,1710,80001B70,C0,,,,,,
