,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,,
Debug rom,Other versions,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_en_item00,,,,,,103D30,80114DD0,,,,,,,,,,,,,,101F50,80113730,,,,,,,,,,,,,,,,,,,,,,,102230,80113130,10,13AF30,80157D90,10,,,,108FA0,80121F40,,,,,
z_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102240,80113140,3DF0,13AF40,80157DA0,3DF0,,,,,,,,,,
flg_set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106030,80116F30,10,13ED30,8015BB90,10,,,,,,,,,,
z_actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106040,80116F40,80,13ED40,8015BBA0,80,,,,,,,,,,
z_actor_dlftbls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060C0,80116FC0,10,13EDC0,8015BC20,10,,,,,,,,,,
z_bgcheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060D0,80116FD0,120,13EDD0,8015BC30,120,,,,,,,,,,
z_camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061F0,801170F0,E0,13EEF0,8015BD50,11B0,,,,,,,,,,
z_collision_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062D0,801171D0,1760,1400A0,8015CF00,1760,,,,,,,,,,
z_common_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107A30,80118930,1430,141800,8015E660,1430,,,,,,,,,,
z_debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108E60,80119D60,220,142C30,8015FA90,220,,,,,,,,,,
z_debug_display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109080,80119F80,10,142E50,8015FCB0,10,,,,,,,,,,
z_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109090,80119F90,30,142E60,8015FCC0,30,,,,,,,,,,
z_kankyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090C0,80119FC0,D0,142E90,8015FCF0,D0,,,,,,,,,,
z_lifemeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109190,8011A090,30,142F60,8015FDC0,30,,,,,,,,,,
z_lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091C0,8011A0C0,190,142F90,8015FDF0,190,,,,,,,,,,
z_malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109350,8011A250,30,143120,8015FF80,30,,,,,,,,,,
z_map_mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109380,8011A280,10,143150,8015FFB0,10,,,,,,,,,,
z_moji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143160,8015FFC0,10,,,,,,,,,,
z_map_exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109390,8011A290,10,143170,8015FFD0,10,,,,,,,,,,
z_parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093A0,8011A2A0,20,143180,8015FFE0,20,,,,,,,,,,
z_player_lib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093C0,8011A2C0,20,1431A0,80160000,20,,,,,,,,,,
z_quake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093E0,8011A2E0,90,1431C0,80160020,90,,,,,,,,,,
z_skelanime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109470,8011A370,10,143250,801600B0,10,,,,,,,,,,
z_skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109480,8011A380,F10,143260,801600C0,F10,,,,,,,,,,
z_rumble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10A390,8011B290,110,144170,80160FD0,110,,,,,,,,,,
z_vr_box_draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10A4A0,8011B3A0,10,144280,801610E0,10,,,,,,,,,,
z_player_call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10A4B0,8011B3B0,10,144290,801610F0,10,,,,,,,,,,
db_camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1442A0,80161100,1F0,,,,,,,,,,
mempak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144490,801612F0,A0,,,,,,,,,,
z_kaleido_scope_call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10A4C0,8011B3C0,20,144530,80161390,20,,,,,,,,,,
z_play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10A4E0,8011B3E0,110,144550,801613B0,5120,,,,,,,,,,
game,,,,,,10C0D0,8011D170,E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10A5F0,8011B4F0,E0,149670,801664D0,100,,,,,,,,,,
graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10A6D0,8011B5D0,70,149770,801665D0,90,,,,,,,,,,
main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10A740,8011B640,3E90,149800,80166660,3E90,,,,,,,,,,
padmgr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10E5D0,8011F4D0,10,14D690,8016A4F0,10,,,,,,,,,,
sched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10E5E0,8011F4E0,20,14D6A0,8016A500,20,,,,,,,,,,
speed_meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10E600,8011F500,70,14D6C0,8016A520,70,,,,,,,,,,
sys_cfb,,,,,,10FF30,80120FD0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10E670,8011F570,10,14D730,8016A590,10,,,,,,,,,,
sys_math3d,,,,,,10FF40,80120FE0,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10E680,8011F580,220,14D740,8016A5A0,220,,,,,,,,,,
sys_matrix,,,,,,110160,80121200,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10E8A0,8011F7A0,10,14D960,8016A7C0,10,,,,,,,,,,
debug_malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14D970,8016A7D0,30,,,,,,,,,,
fault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10E8B0,8011F7B0,E80,14D9A0,8016A800,E80,,,,,,,,,,
fault_drawer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10F730,80120630,60,14E820,8016B680,60,,,,,,,,,,
audio_lib_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10F790,80120690,C0,14E880,8016B6E0,C0,,,,,,,,,,
audio_general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10F850,80120750,200,14E940,8016B7A0,330,,,,,,,,,,
audio_sfx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10FA50,80120950,2810,14EC70,8016BAD0,2850,,,,,,,,,,
audio_sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112260,80123160,DC0,1514C0,8016E320,DC0,,,,,,,,,,
audio_session_config,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113020,80123F20,6510,152280,8016F0E0,6510,,,,,,,,,,
gfxprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119530,8012A430,10,158790,801755F0,10,,,,,,,,,,
code_800FCE80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119540,8012A440,10,1587A0,80175600,10,,,,,,,,,,
,__osMalloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,11EEA0,80137E50,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,
system_malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119550,8012A450,30,1587B0,80175610,30,,,,11EEB0,80137E50,30,,,,
code_800FD970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119580,8012A480,10,1587E0,80175640,10,,,,,,,,,,
__osMalloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119590,8012A490,10,1587F0,80175650,10,,,,,,,,,,
jpegdecoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195A0,8012A4A0,10,158800,80175660,10,,,,,,,,,,
sptask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195B0,8012A4B0,40,158810,80175670,40,,,,,,,,,,
motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195F0,8012A4F0,100,158850,801756B0,100,,,,,,,,,,
siacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196F0,8012A5F0,20,158950,801757B0,20,,,,,,,,,,
controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119710,8012A610,90,158970,801757D0,90,,,,,,,,,,
pfsreadwritefile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197A0,8012A6A0,100,158A00,80175860,100,,,,,,,,,,
pfsgetstatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198A0,8012A7A0,40,158B00,80175960,40,,,,,,,,,,
z_message_PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198E0,8012A7E0,20,158B40,801759A0,20,,,,,,,,,,
.end,,,,,,11AD90,8012BE30,,,,,,,,,,,,,,118F80,8012A760,,,,,,,,,,,,,,,,,,,,,,,119900,8012A800,,158B60,801759C0,,,,,120440,801393E0,,,,,
