,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_en_a_keep,,,0F4AB0,80105B50,,0F4CC0,80105D60,,0F4E80,80105F20,,0F25D0,80103CB0,,0F4D10,801063F0,,0F2610,80103CF0,,F2EC0,801046A0,,0F3F60,80104E40,,0F3F40,80104E20,,0F3F40,80104E20,,0F3F20,80104E00,,,,,117ED0,80134D30,,117EF0,80134D50,,F1880,80102780,50,117ED0,80134D30,90,0F3F40,80104E20,,0F69A0,8010F940,,0F62C0,8010ED00,,
z_en_item00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F18D0,801027D0,270,117F60,80134DC0,370,,,,,,,,,,
z_eff_blure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1B40,80102A40,30,1182D0,80135130,320,,,,,,,,,,
z_eff_shield_particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1B70,80102A70,10,1185F0,80135450,90,,,,,,,,,,
z_eff_spark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1B80,80102A80,10,118680,801354E0,E0,,,,,,,,,,
z_eff_ss_dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1B90,80102A90,10,118760,801355C0,100,,,,,,,,,,
z_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118860,801356C0,90,,,,,,,,,,
z_effect_soft_sprite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188F0,80135750,4B0,,,,,,,,,,
z_effect_soft_sprite_old_init,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1BA0,80102AA0,20,118DA0,80135C00,60,,,,,,,,,,
flg_set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1BC0,80102AC0,390,118E00,80135C60,3B0,,,,,,,,,,
z_DLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191B0,80136010,80,,,,,,,,,,
z_actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1F50,80102E50,5B0,119230,80136090,FB0,,,,,,,,,,
z_actor_dlftbls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F2500,80103400,50,11A1E0,80137040,1630,,,,,,,,,,
z_bgcheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F2550,80103450,A0,11B810,80138670,960,,,,F77E0,80110780,,,,,
code_800430A0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11C170,80138FD0,80,,,,,,,,,,
code_80043480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F25F0,801034F0,10,11C1F0,80139050,10,,,,,,,,,,
z_camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F2600,80103500,780,11C200,80139060,1520,,,,,,,,,,
z_collision_btltbls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11D720,8013A580,30,,,,,,,,,,
z_collision_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F2D80,80103C80,50,11D750,8013A5B0,790,,,,,,,,,,
z_debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F2DD0,80103CD0,10,11DEE0,8013AD40,60,,,,,,,,,,
z_debug_display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11DF40,8013ADA0,90,,,,,,,,,,
z_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F2DE0,80103CE0,4E0,11DFD0,8013AE30,5A0,,,,,,,,,,
z_draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F32C0,801041C0,10,11E570,8013B3D0,460,,,,,,,,,,
z_elf_message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F32D0,801041D0,120,11E9D0,8013B830,1A0,,,,,,,,,,
z_fcurve_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F33F0,801042F0,10,11EB70,8013B9D0,10,,,,,,,,,,
z_fcurve_data_skelanime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3400,80104300,10,11EB80,8013B9E0,140,,,,,,,,,,
z_horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3410,80104310,10,11ECC0,8013BB20,220,,,,,,,,,,
z_jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3420,80104320,90,11EEE0,8013BD40,420,,,,,,,,,,
z_kaleido_setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11F300,8013C160,30,,,,,,,,,,
z_kanfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11F330,8013C190,B0,,,,,,,,,,
z_kankyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F34B0,801043B0,B0,11F3E0,8013C240,600,,,,,,,,,,
z_lib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3560,80104460,10,11F9E0,8013C840,20,,,,,,,,,,
z_lifemeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3570,80104470,20,11FA00,8013C860,40,,,,,,,,,,
z_lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3590,80104490,10,11FA40,8013C8A0,60,,,,,,,,,,
z_malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11FAA0,8013C900,120,,,,,,,,,,
z_map_mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F35A0,801044A0,60,11FBC0,8013CA20,100,,,,,,,,,,
z_moji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11FCC0,8013CB20,60,,,,,,,,,,
z_olib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3600,80104500,20,11FD20,8013CB80,20,,,,,,,,,,
z_onepointdemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3620,80104520,8C0,11FD40,8013CBA0,B60,,,,,,,,,,
z_map_exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3EE0,80104DE0,320,1208A0,8013D700,5F0,,,,,,,,,,
z_parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4200,80105100,210,120E90,8013DCF0,A70,,,,,,,,,,
z_path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4410,80105310,10,121900,8013E760,10,,,,,,,,,,
z_player_lib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4420,80105320,60,121910,8013E770,1F0,,,,,,,,,,
