,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpm,,,cjc,,,cpod1,,,cpod2,,,cpmd,,,iqs,,,iqt,,,
File,Other versions,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_en_a_keep,,,0,800110A0,AA0,0,800110A0,AA0,0,800110A0,AA0,0,800116E0,AA0,0,800116E0,AA0,0,800116E0,AA0,0,800117E0,AA0,0,80010EE0,AA0,0,80010EE0,AA0,0,80010EE0,AA0,0,80010EE0,AA0,0,80010F00,AA0,0,80010F00,AA0,0,80010EE0,AA0,0,8001CE60,AD0,0,8001CE60,AD0,0,8001CE60,AD0,0,80018FA0,AA0,0,80018A40,AA0,
z_en_item00,,,000AA0,80011B40,23F0,000AA0,80011B40,23F0,000AA0,80011B40,23F0,000AA0,80012180,23F0,AA0,80012180,23F0,AA0,80012180,23F0,AA0,80012280,23F0,000AA0,80011980,2400,AA0,80011980,2400,AA0,80011980,2400,000AA0,80011980,2400,000AA0,800119A0,2400,000AA0,800119A0,2400,AA0,80011980,2400,AD0,8001D930,24C0,AD0,8001D930,24C0,AD0,8001D930,24C0,000AA0,80019A40,2400,000AA0,800194E0,2400,
z_eff_blure,,,002E90,80013F30,3480,002E90,80013F30,3480,002E90,80013F30,3480,002E90,80014570,3480,2E90,80014570,3480,2E90,80014570,3480,2E90,80014670,3480,002EA0,80013D80,3430,2EA0,80013D80,3430,2EA0,80013D80,3430,002EA0,80013D80,3430,002EA0,80013DA0,3430,002EA0,80013DA0,3430,2EA0,80013D80,3430,002F90,8001FDF0,3660,002F90,8001FDF0,3660,2F90,8001FDF0,3660,002EA0,8001BE40,3430,002EA0,8001B8E0,3430,
z_eff_shield_particle,,,006310,800173B0,1670,006310,800173B0,1670,006310,800173B0,1670,006310,800179F0,1670,6310,800179F0,1670,6310,800179F0,1670,6310,80017AF0,1670,0062D0,800171B0,1660,62D0,800171B0,1660,62D0,800171B0,1660,0062D0,800171B0,1660,0062D0,800171D0,1660,0062D0,800171D0,1660,62D0,800171B0,1660,0065F0,80023450,16B0,0065F0,80023450,16B0,65F0,80023450,16B0,0062D0,8001F270,1660,0062D0,8001ED10,1660,
z_eff_spark,,,007980,80018A20,16C0,007980,80018A20,16C0,007980,80018A20,16C0,007980,80019060,16C0,7980,80019060,16C0,7980,80019060,16C0,7980,80019160,16C0,007930,80018810,16B0,7930,80018810,16B0,7930,80018810,16B0,007930,80018810,16B0,007930,80018830,16B0,007930,80018830,16B0,7930,80018810,16B0,007CA0,80024B00,1730,007CA0,80024B00,1730,7CA0,80024B00,1730,007930,800208D0,16B0,007930,80020370,16B0,
z_eff_ss_dead,,,009040,8001A0E0,7A0,009040,8001A0E0,7A0,009040,8001A0E0,7A0,009040,8001A720,7A0,9040,8001A720,7A0,9040,8001A720,7A0,9040,8001A820,7A0,008FE0,80019EC0,7B0,8FE0,80019EC0,7B0,8FE0,80019EC0,7B0,008FE0,80019EC0,7B0,008FE0,80019EE0,7B0,008FE0,80019EE0,7B0,8FE0,80019EC0,7B0,0093D0,80026230,8D0,0093D0,80026230,8D0,93D0,80026230,8D0,008FE0,80021F80,7B0,008FE0,80021A20,7B0,
z_effect,,,97E0,8001A880,780,97E0,8001A880,780,97E0,8001A880,780,97E0,8001AEC0,780,97E0,8001AEC0,780,97E0,8001AEC0,780,97E0,8001AFC0,780,009790,8001A670,780,9790,8001A670,780,9790,8001A670,780,009790,8001A670,780,009790,8001A690,780,009790,8001A690,780,9790,8001A670,780,009CA0,80026B00,7B0,009CA0,80026B00,7B0,9CA0,80026B00,7B0,009790,80022730,780,009790,800221D0,780,
z_effect_soft_sprite,,,009F60,8001B000,AA0,009F60,8001B000,AA0,009F60,8001B000,AA0,009F60,8001B640,AA0,9F60,8001B640,AA0,9F60,8001B640,AA0,9F60,8001B740,AA0,009F10,8001ADF0,AA0,9F10,8001ADF0,AA0,9F10,8001ADF0,AA0,009F10,8001ADF0,AA0,009F10,8001AE10,AA0,009F10,8001AE10,AA0,9F10,8001ADF0,AA0,00A450,800272B0,CD0,00A450,800272B0,CD0,A450,800272B0,CD0,009F10,80022EB0,AA0,009F10,80022950,AA0,
z_effect_soft_sprite_old_init,,,00AA00,8001BAA0,2B20,00AA00,8001BAA0,2B20,00AA00,8001BAA0,2B20,00AA00,8001C0E0,2B20,AA00,8001C0E0,2B20,AA00,8001C0E0,2B20,AA00,8001C1E0,2B20,00A9B0,8001B890,2B20,A9B0,8001B890,2B20,A9B0,8001B890,2B20,00A9B0,8001B890,2B20,00A9B0,8001B8B0,2B20,00A9B0,8001B8B0,2B20,A9B0,8001B890,2B20,00B120,80027F80,2B30,00B120,80027F80,2B30,B120,80027F80,2B30,00A9B0,80023950,2B20,00A9B0,800233F0,2B20,
flg_set,,,00D520,8001E5C0,410,00D520,8001E5C0,410,00D520,8001E5C0,410,00D520,8001EC00,410,D520,8001EC00,410,D520,8001EC00,410,D520,8001ED00,410,00D4D0,8001E3B0,420,D4D0,8001E3B0,420,D4D0,8001E3B0,420,00D4D0,8001E3B0,420,00D4D0,8001E3D0,420,00D4D0,8001E3D0,420,D4D0,8001E3B0,420,00DC50,8002AAB0,450,00DC50,8002AAB0,450,DC50,8002AAB0,450,00D4D0,80026470,420,00D4D0,80025F10,420,
